vx,vy,vz,omega_z
0.5675289034843445,0.27058857679367065,0.003518560668453574,1.1097766160964966
0.5418951511383057,0.06384806334972382,0.0024803553242236376,1.0028308629989624
0.4673976004123688,-0.08291858434677124,-0.003776754252612591,0.9135817885398865
0.3576258420944214,-0.196416974067688,-0.006810424849390984,0.8178579807281494
0.24346888065338135,-0.2559657096862793,-0.009316409938037395,0.7295119166374207
0.15887367725372314,-0.27420738339424133,-0.009759771637618542,0.6600099802017212
0.07908134907484055,-0.2725960314273834,-0.0096739511936903,0.5857686996459961
0.02207573503255844,-0.2563241422176361,-0.009505935944616795,0.5187102556228638
-0.013066782616078854,-0.23776113986968994,-0.00948520377278328,0.4663373529911041
-0.03990501910448074,-0.2150212526321411,-0.009247521869838238,0.4105849266052246
-0.05625880882143974,-0.1937047839164734,-0.009108067490160465,0.3610072731971741
-0.06480524688959122,-0.1767410933971405,-0.008960683830082417,0.32237139344215393
-0.06975594907999039,-0.15962553024291992,-0.009247330948710442,0.28219276666641235
-0.07146245241165161,-0.14432446658611298,-0.00934353843331337,0.24616846442222595
-0.07113504409790039,-0.13264508545398712,-0.008979741483926773,0.21844016015529633
-0.06950504332780838,-0.12034086883068085,-0.009012585505843163,0.18993590772151947
-0.06684625893831253,-0.10915447026491165,-0.00894265715032816,0.16477228701114655
-0.06417729705572128,-0.10042701661586761,-0.00865391455590725,0.14567796885967255
-0.06059001013636589,-0.09105119854211807,-0.008611258119344711,0.12580442428588867
-0.05673735588788986,-0.08234404772520065,-0.008220013231039047,0.10861494392156601
-0.05355934426188469,-0.07563377916812897,-0.007939094677567482,0.09568662941455841
-0.04970119893550873,-0.06838669627904892,-0.00762957613915205,0.08239983767271042
-0.04596785083413124,-0.061735011637210846,-0.007492109201848507,0.07081671059131622
-0.042855702340602875,-0.056583281606435776,-0.007225347682833672,0.061989542096853256
-0.03933829441666603,-0.05109638720750809,-0.006604250520467758,0.05330931767821312
-0.036004818975925446,-0.046078409999608994,-0.0061713759787380695,0.04541478678584099
-0.03332563862204552,-0.04221510887145996,-0.006277440581470728,0.040106046944856644
-0.030440088361501694,-0.038172170519828796,-0.005770091433078051,0.0342925488948822
-0.027729181572794914,-0.03441814333200455,-0.005747529678046703,0.02909201569855213
-0.025562601163983345,-0.031621966511011124,-0.005253257695585489,0.025462288409471512
-0.02322991192340851,-0.028608130291104317,-0.005014805123209953,0.022092783823609352
-0.021082278341054916,-0.025909315794706345,-0.004595392849296331,0.0189030934125185
-0.019371820613741875,-0.023785248398780823,-0.00440205167979002,0.016271790489554405
-0.01757955551147461,-0.021478820592164993,-0.004155787639319897,0.0138000613078475
-0.01588950678706169,-0.01952718012034893,-0.004185258410871029,0.012009475380182266
-0.014607865363359451,-0.017919272184371948,-0.003842744277790189,0.009989429265260696
-0.013112549670040607,-0.01615234650671482,-0.003946519922465086,0.009119446389377117
-0.011884210631251335,-0.014776142314076424,-0.002500243717804551,0.007457331754267216
-0.01099590677767992,-0.013522499240934849,-0.003931842278689146,0.005767954979091883
-0.009833099320530891,-0.01218574307858944,-0.0030194809660315514,0.005877205636352301
-0.008914025500416756,-0.010999967344105244,-0.003046296536922455,0.005900258664041758
-0.007965446449816227,-0.010172994807362556,-0.0018049279460683465,0.004091901239007711
-0.00709106121212244,-0.009559277445077896,-0.0022092903964221478,0.0020786088425666094
-0.006792423315346241,-0.008165759034454823,-0.0019148128340020776,0.0022298689000308514
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
