vx,vy,vz,omega_z
-0.42210373282432556,0.027508890256285667,-0.1936952769756317,0.8428729176521301
-0.3272387385368347,0.08137045800685883,-0.16782283782958984,0.7480579614639282
-0.2539561092853546,0.09586342424154282,-0.14719939231872559,0.6733084917068481
-0.1915292888879776,0.09193892776966095,-0.12850825488567352,0.6011020541191101
-0.14017833769321442,0.07666458189487457,-0.11151158064603806,0.5302925109863281
-0.10479289293289185,0.05904381349682808,-0.09615234285593033,0.46885693073272705
-0.07980900257825851,0.042087819427251816,-0.08388368785381317,0.41481631994247437
-0.0630621686577797,0.028548723086714745,-0.07328867167234421,0.3675505816936493
-0.05030366778373718,0.017217233777046204,-0.06368877738714218,0.3233290910720825
-0.040983449667692184,0.009059467352926731,-0.05579771474003792,0.28427356481552124
-0.03371649608016014,0.003283190540969372,-0.04880199953913689,0.24911007285118103
-0.02777579240500927,-0.0009704408003017306,-0.04267817363142967,0.21798452734947205
-0.022589359432458878,-0.004205869045108557,-0.03722688928246498,0.18930305540561676
-0.018564103171229362,-0.006062274798750877,-0.032881807535886765,0.1655447781085968
-0.015150537714362144,-0.00735435402020812,-0.02900679036974907,0.14435476064682007
-0.012249116785824299,-0.008229347877204418,-0.025426752865314484,0.12517999112606049
-0.009824493899941444,-0.008779499679803848,-0.02237345091998577,0.10769624263048172
-0.007957085967063904,-0.00902137253433466,-0.019719278439879417,0.09309803694486618
-0.0062830825336277485,-0.009256280027329922,-0.017524493858218193,0.07890753448009491
-0.005311780143529177,-0.00909047294408083,-0.015389878302812576,0.06823907792568207
-0.0046033659018576145,-0.008990396745502949,-0.013895479962229729,0.06077387556433678
-0.0038190053310245275,-0.008738926611840725,-0.012165961787104607,0.050585322082042694
-0.00332097290083766,-0.00849519856274128,-0.01066724956035614,0.04303956776857376
-0.003025798359885812,-0.008169758133590221,-0.009616433642804623,0.03747457638382912
-0.0026908875443041325,-0.007925075478851795,-0.008506333455443382,0.03211193159222603
-0.002498275600373745,-0.007494654506444931,-0.007738324347883463,0.027528461068868637
-0.002263938542455435,-0.007148925215005875,-0.00693340040743351,0.02345772087574005
-0.002142349723726511,-0.006799898575991392,-0.006445792503654957,0.019714048132300377
-0.0019916899036616087,-0.006442897953093052,-0.005562671460211277,0.01697116158902645
-0.0018364639254286885,-0.0060095093213021755,-0.005269778426736593,0.014686068519949913
-0.00176523020491004,-0.005590596701949835,-0.005306998733431101,0.012533162720501423
-0.0015900383004918694,-0.005280547309666872,-0.004227593075484037,0.010673210956156254
-0.001400073291733861,-0.004907150287181139,-0.0030603089835494757,0.008852335624396801
-0.0013794711558148265,-0.004640938714146614,-0.0027205622754991055,0.007816730067133904
-0.0013082210207358003,-0.004331504926085472,-0.002709178486838937,0.006674553267657757
-0.0011393921449780464,-0.0038948114961385727,-0.0029140557162463665,0.005187023431062698
-0.000934113166294992,-0.0035834279842674732,-0.002495175926014781,0.004270260687917471
-0.0006941015017218888,-0.00327489385381341,-0.0019368102075532079,0.0030786863062530756
-0.0005411729798652232,-0.003174435580149293,-0.0019374717958271503,0.002687513828277588
-0.0004452875582501292,-0.0030398410744965076,-0.002016407670453191,0.00255096354521811
-0.00034091368434019387,-0.0029017669148743153,-0.002092883223667741,0.0022262088023126125
-0.00020691599638666958,-0.00261292839422822,-0.002011458156630397,0.0021454717498272657
-0.00010015018051490188,-0.0021971657406538725,-0.0017488653538748622,0.0023687693756073713
-7.969595753820613e-05,-0.0017672079848125577,-0.001798434415832162,0.0025575694162398577
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
