vx,vy,vz,omega_z
0.12867006659507751,-0.4678778648376465,-0.6461979150772095,1.117618441581726
-0.005036740098148584,-0.4692911207675934,-0.5610780715942383,1.0142390727996826
-0.11849228292703629,-0.4206730127334595,-0.48751115798950195,0.9118684530258179
-0.19193828105926514,-0.3490452766418457,-0.4226178228855133,0.8181154727935791
-0.22962988913059235,-0.2698831856250763,-0.3638916015625,0.7282481789588928
-0.23712019622325897,-0.2134057730436325,-0.32148221135139465,0.6598743200302124
-0.22855351865291595,-0.15590280294418335,-0.2759024500846863,0.5827787518501282
-0.2105829119682312,-0.116701140999794,-0.23930540680885315,0.5172600746154785
-0.19063150882720947,-0.08992020785808563,-0.20949804782867432,0.4603113532066345
-0.16892462968826294,-0.07017485797405243,-0.1806153953075409,0.40494397282600403
-0.14980275928974152,-0.05721132084727287,-0.157487690448761,0.3561505079269409
-0.13453704118728638,-0.04899986833333969,-0.13987122476100922,0.31865793466567993
-0.11975475400686264,-0.04230654984712601,-0.12161356210708618,0.27906596660614014
-0.10635451227426529,-0.03676806017756462,-0.10586114227771759,0.24337227642536163
-0.09405120462179184,-0.032203465700149536,-0.09132333099842072,0.21008086204528809
-0.08424890041351318,-0.028566759079694748,-0.07996156811714172,0.183555006980896
-0.07710450887680054,-0.026007354259490967,-0.07160946726799011,0.16270430386066437
-0.06925716996192932,-0.023129861801862717,-0.0627078264951706,0.1411558985710144
-0.06196025758981705,-0.020578430965542793,-0.05511930212378502,0.12201192229986191
-0.05605127289891243,-0.018499648198485374,-0.04862532392144203,0.10590405762195587
-0.05043422803282738,-0.016593994572758675,-0.042842525988817215,0.09191577136516571
-0.045313749462366104,-0.01485284510999918,-0.03855717182159424,0.07899496704339981
-0.04061492905020714,-0.01340846810489893,-0.03314166143536568,0.06736733019351959
-0.03698676452040672,-0.012222827412188053,-0.029754988849163055,0.05922776833176613
-0.03325992822647095,-0.011095657013356686,-0.026378832757472992,0.05045546591281891
-0.03002982772886753,-0.010145790874958038,-0.023405060172080994,0.043278053402900696
-0.026977377012372017,-0.009298226796090603,-0.020882854238152504,0.03720453754067421
-0.024262288585305214,-0.008547761477530003,-0.018385326489806175,0.031399425119161606
-0.021913869306445122,-0.007905784994363785,-0.016498230397701263,0.026919608935713768
-0.0197574682533741,-0.007299746852368116,-0.014726965688169003,0.022850727662444115
-0.0178515762090683,-0.006733205169439316,-0.01279700268059969,0.019487228244543076
-0.016530156135559082,-0.006433122791349888,-0.01220675092190504,0.017585832625627518
-0.014926435425877571,-0.00585627555847168,-0.011134102009236813,0.014834854751825333
-0.013311319053173065,-0.005401320289820433,-0.009828349575400352,0.012645503506064415
-0.012187865562736988,-0.00509247463196516,-0.008911346085369587,0.01193020399659872
-0.010957740247249603,-0.00469674076884985,-0.007952199317514896,0.00950513407588005
-0.010044281370937824,-0.004254933446645737,-0.0075020138174295425,0.007890399545431137
-0.00915346946567297,-0.003991720732301474,-0.006651075091212988,0.006250771693885326
-0.008193518035113811,-0.003748970804736018,-0.005916777532547712,0.0056143030524253845
-0.007336243521422148,-0.0034848584327846766,-0.0051451995968818665,0.005803353618830442
-0.006487115286290646,-0.0031718420796096325,-0.0037537377793341875,0.00441032974049449
-0.006001991685479879,-0.002912198891863227,-0.004210409242659807,0.004151606000959873
-0.00563488993793726,-0.0028485916554927826,-0.005539284087717533,0.004153244663029909
-0.004874915815889835,-0.002751519437879324,-0.005564997438341379,0.004188280086964369
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
