vx,vy,vz,omega_z
-0.014858151,0.05760341,0.007140167,0.20620258
-0.01080248,0.047552917,0.0062715653,0.18282488
-0.0069226064,0.033900835,0.004945779,0.1571427
-0.00432094,0.021125851,0.003868432,0.13363977
-0.0028376651,0.010249079,0.002918136,0.113158576
-0.0021195512,0.0020460878,0.0020510312,0.09524973
-0.0017596227,-0.0036589329,0.0011291724,0.08036438
-0.0015494715,-0.0073773316,0.0008891909,0.06751941
-0.0013467498,-0.00948983,0.0010280408,0.056720205
-0.0013113016,-0.01033374,0.00019303043,0.04744818
-0.0011865502,-0.010460793,0.00011434643,0.039680406
-0.0010633226,-0.01017227,-0.00048967183,0.033401933
-0.0009427301,-0.009524516,-0.00045179809,0.027766827
-0.000684736,-0.008886115,-0.0006231639,0.023023738
-0.00068696734,-0.008151394,-0.00062281644,0.019458748
-0.00059484417,-0.007373136,-0.0006897909,0.015743254
-0.00037485786,-0.006707556,-0.00042174823,0.013281579
-0.00038880052,-0.0060911444,-0.00069863856,0.011921473
-0.00042183476,-0.005369759,-0.0006091107,0.0094609605
-0.00044371778,-0.005040517,-0.00067450973,0.008290409
-0.00047012104,-0.004631276,-0.0009135682,0.0063984254
-0.00031325553,-0.0041500055,-0.0006292546,0.0038295425
-0.00012739246,-0.0035643692,-0.00052213133,0.0007608528
-8.353574e-05,-0.0033393274,-0.00034078181,0.00049771916
-5.4315504e-05,-0.002919309,-0.00043914453,0.001893706
-2.3798566e-05,-0.002549978,-0.00039500304,0.0027315677
-1.7236025e-05,-0.0023154614,-0.00039908531,0.0031823334
-1.7856994e-05,-0.0021210902,-0.0005238333,0.0033495394
-1.7977161e-05,-0.0019520901,-0.0005855372,0.0034532968
-2.150411e-05,-0.0018124883,-0.0007173082,0.0034373417
-2.8058163e-05,-0.0015806172,-0.0009189496,0.0033017797
-3.412951e-05,-0.0011530039,-0.0011330822,0.0027101608
-9.268728e-07,-0.00017777692,-2.8921411e-05,3.259448e-05
-1.7584997e-06,-0.00010232898,1.7763693e-15,-0.0
-1.9221749e-05,-0.00023281237,-0.00059388595,0.0005578267
-4.971833e-05,-0.0014954527,-0.001731203,0.0026182223
-4.0569603e-06,-0.0029760923,-1.7646342e-06,-2.6173518e-07
-3.8846833e-06,-0.0004147087,1.7764077e-15,8.881784e-17
-1.4561889e-06,-0.00014066222,1.776374e-15,1.3322677e-16
-7.206373e-07,-7.577033e-05,1.7763662e-15,1.3322677e-16
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
