vx,vy,vz,omega_z
0.7643186,0.006903239,-0.87525654,0.5094172
0.6745238,-0.09843902,-0.77981085,0.4608669
0.54823124,-0.18803462,-0.679903,0.404822
0.426674,-0.23196256,-0.5919843,0.3553674
0.31764722,-0.24754865,-0.51611537,0.31338543
0.24711984,-0.24576099,-0.4605941,0.27859083
0.17607029,-0.23230009,-0.4006462,0.2432555
0.123739064,-0.21223414,-0.34626916,0.21002416
0.0903762,-0.19461049,-0.30774936,0.18446301
0.06272989,-0.17339036,-0.2637138,0.15882064
0.046932504,-0.15801492,-0.23423605,0.14033008
0.034335487,-0.14259902,-0.20558624,0.121527046
0.025522368,-0.12888494,-0.1792014,0.10467857
0.019403651,-0.116953805,-0.15625586,0.08929182
0.015674155,-0.10788964,-0.1394682,0.078338526
0.01225233,-0.097876765,-0.12146464,0.066311605
0.010552811,-0.09124872,-0.1091117,0.058178045
0.008586424,-0.083125405,-0.09505808,0.049187493
0.0073748603,-0.07713941,-0.085598245,0.04294981
0.0060987943,-0.07040552,-0.075560294,0.036498282
0.0051206853,-0.06456224,-0.06744707,0.031503923
0.004336137,-0.059737086,-0.06072209,0.027634872
0.003522544,-0.054050006,-0.05359517,0.02288922
0.0028889058,-0.049792904,-0.048713602,0.019947393
0.0023703002,-0.044920508,-0.043169066,0.016841387
0.001929699,-0.040774383,-0.03874081,0.014596471
0.0014909296,-0.037042394,-0.03462702,0.012707456
0.0012125126,-0.0339639,-0.031776775,0.011500175
0.0010209101,-0.030802896,-0.028314756,0.009390172
0.00076868397,-0.027884249,-0.02588662,0.006417512
0.0006725923,-0.025416441,-0.023093581,0.006909344
0.00048635362,-0.022969995,-0.021560872,0.0073183337
0.00026258806,-0.020793412,-0.020016247,0.0028033725
5.4465954e-06,-0.018758308,-0.017170958,0.005240622
4.8410213e-05,-0.01700987,-0.017834216,0.0023727699
0.0002899425,-0.015312819,-0.013391988,0.0036148576
0.00030757504,-0.0143297585,-0.016063077,0.0032802403
0.0006381868,-0.012103196,-0.01197381,0.0025983197
0.0009075775,-0.011951054,-0.011126894,0.0015866794
0.0011023688,-0.011568803,-0.011196221,0.0012105127
0.0007597707,-0.00889797,-0.0087722335,0.0013619605
-0.00068255316,-0.008532718,-0.0069531165,0.0003971808
-0.0012980377,-0.008433083,-0.008978902,0.00086091313
-4.8259513e-05,-0.007113479,-0.0014306488,0.0009646897
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
