vx,vy,vz,omega_z
-0.5259600877761841,-0.3791019916534424,-1.1059311628341675,1.0786730397782662e-09
-0.47606346011161804,-0.3393491208553314,-0.9095322489738464,0.00200000056065619
-0.36035966873168945,-0.25680816173553467,-0.6950149536132812,-5.493761818797793e-07
-0.2542661726474762,-0.17941446602344513,-0.524591863155365,-0.0055860900320112705
-0.16219547390937805,-0.11966928094625473,-0.3850385248661041,-6.069573282729834e-05
-0.11425023525953293,-0.08147308230400085,-0.31006690859794617,0.004892909433692694
-0.07733874768018723,-0.05600382760167122,-0.21730151772499084,0.004688969347625971
-0.058787986636161804,-0.040336575359106064,-0.17402303218841553,0.004587755538523197
-0.04442308843135834,-0.03355405852198601,-0.11233046650886536,-2.9874752272007754e-06
-0.038311924785375595,-0.025292009115219116,-0.09254758059978485,-0.004397626034915447
-0.031128618866205215,-0.02141488343477249,-0.07331966608762741,-1.5412152833960135e-06
-0.025435777381062508,-0.01957714930176735,-0.054346710443496704,-0.004300945438444614
-0.01941995695233345,-0.01618257164955139,-0.035897932946681976,-6.217248832021758e-16
-0.018698029220104218,-0.015200572088360786,-0.034081436693668365,-0.0021718305069953203
-0.01312738936394453,-0.010163916274905205,-0.03590051829814911,-4.884981414229807e-16
-0.012366924434900284,-0.009684023447334766,-0.03591081127524376,-4.884981414229807e-16
-0.009261752478778362,-0.006661425344645977,9.443683666177094e-06,1.332267682489747e-16
-0.008173812180757523,-0.006329293362796307,1.5900723155937158e-06,1.332267682489747e-16
-0.0061693922616541386,-0.003998009487986565,-0.0359109491109848,-1.332267682489747e-16
-0.0056821247562766075,-0.0033939466811716557,-0.035913966596126556,-8.88178432935015e-17
-0.002413158304989338,-0.0009264364489354193,-4.618414534135603e-15,-0.0
-0.0019293675431981683,-0.00027006943128071725,-4.618494578749119e-15,-0.0
-0.0016991232987493277,-4.835790241486393e-05,-4.26325065473656e-15,-0.0
-0.0019438479794189334,-0.0030095321126282215,-0.01767437718808651,-0.004210424143821001
-0.0019388399086892605,-0.002398475306108594,-0.017676059156656265,-0.004210584796965122
-0.001618354581296444,-0.00042824624688364565,-4.618475520507806e-15,-0.0
-0.0016276751412078738,-0.00017553454381413758,-4.6185064372103804e-15,-4.440892164675075e-17
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
