vx,vy,vz,omega_z
-0.046743434,-0.15441608,0.44091663,-9.770854e-05
-0.04138407,-0.13733788,0.39004174,-4.2256313e-05
-0.035470303,-0.116733916,0.33644933,0.0012160983
-0.030016577,-0.097497694,0.29230896,0.0001258445
-0.025553681,-0.082827255,0.25606772,-0.0015040879
-0.020181851,-0.068152376,0.224751,0.0024954297
-0.018018251,-0.056765355,0.19387586,0.0018369865
-0.015289542,-0.048095323,0.17010343,0.0008130972
-0.012566658,-0.040079135,0.14754908,-0.0018670151
-0.010596421,-0.03502971,0.12579691,0.0019695938
-0.009903643,-0.030723346,0.11056966,-0.001977491
-0.00739575,-0.026516778,0.09874699,9.123024e-06
-0.007975015,-0.02344995,0.08243655,4.429778e-06
-0.0068897423,-0.021991283,0.07403528,3.883579e-06
-0.0057385312,-0.02044806,0.06545551,2.99709e-06
-0.004367201,-0.018956227,0.056695186,1.7243395e-06
-0.004457707,-0.016044563,0.056698762,1.9939453e-06
-0.0048038764,-0.014488986,0.04322074,0.002162802
-0.004950951,-0.012995196,0.038615823,4.9775764e-07
-0.0037801664,-0.012799448,0.033983372,0.0021862944
-0.0038443317,-0.011364727,0.029278653,3.8232852e-07
-0.0038075827,-0.011183758,0.02927492,1.5808032e-08
-0.0027760456,-0.009849387,0.019737167,6.237198e-07
-0.0025195396,-0.0085752215,0.023037111,-0.0001651055
-0.0025948577,-0.0069629177,0.019738987,4.4546934e-07
-0.002571926,-0.0066278875,0.019735228,1.4728333e-07
-0.0011885479,-0.006556977,0.014897182,0.0022347677
-0.0014057595,-0.005040236,0.009978994,2.0743447e-07
-0.0013499702,-0.005035171,0.009978802,1.5733598e-07
-0.0013175895,-0.0049394565,0.009977935,5.178324e-08
-0.0013035365,-0.0049027093,0.009977598,9.9239275e-09
-0.0012923611,-0.004874311,0.009977336,-2.2684489e-08
-0.0014552986,-0.0033113973,0.005031147,-0.0022598559
-0.0012976174,-0.0020206554,0.009978581,-8.881784e-17
-0.001288531,-0.0018310125,0.009978042,-8.881784e-17
-0.0011911956,-0.0017345886,0.009652767,-0.00033390988
5.2928185e-06,-0.0016826901,0.005031124,0.0022599425
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
