vx,vy,vz,omega_z
-0.12089226,-0.11944305,-1.105931,-0.62831855
-0.11071531,-0.1187988,-1.0738848,-0.5938219
-0.08424159,-0.10370898,-0.95010906,-0.53444165
-0.06446831,-0.08668054,-0.84089994,-0.481063
-0.045376703,-0.06258344,-0.721543,-0.42556593
-0.033826176,-0.042257424,-0.6363129,-0.37991878
-0.02516889,-0.020527251,-0.54690975,-0.33276615
-0.019655455,-0.0022072932,-0.46984679,-0.2929449
-0.017201904,0.010594005,-0.40619993,-0.2558843
-0.015407821,0.01885808,-0.35480624,-0.22699884
-0.014362352,0.025781894,-0.30631113,-0.19725993
-0.013385922,0.028807513,-0.27142742,-0.17513189
-0.012530509,0.031355258,-0.23373899,-0.15176806
-0.01143877,0.03137864,-0.20201357,-0.13149059
-0.010554374,0.031432915,-0.17786565,-0.11620796
-0.009673592,0.030353343,-0.15471257,-0.09930822
-0.008546694,0.028620748,-0.13313013,-0.085671216
-0.007752521,0.027227543,-0.118062824,-0.075739704
-0.006964489,0.025399817,-0.10303715,-0.066039205
-0.006103054,0.023486497,-0.08979592,-0.054770246
-0.005646716,0.022132045,-0.07922782,-0.048369117
-0.005026347,0.020357344,-0.06938207,-0.042540275
-0.004707015,0.018613802,-0.061085213,-0.0358336
-0.0042049536,0.01716392,-0.053762395,-0.030571098
-0.003954738,0.016030904,-0.04817556,-0.025993876
-0.0036062857,0.0147144785,-0.043169662,-0.022432655
-0.0033375947,0.0136469975,-0.037510876,-0.016981257
-0.002821187,0.012651418,-0.033474248,-0.015039508
-0.0026002424,0.0115109775,-0.029738123,-0.014590757
-0.0024190217,0.010388491,-0.024806863,-0.01260292
-0.0022595415,0.009480882,-0.023084112,-0.011302029
-0.0021453549,0.0086794635,-0.021244656,-0.010203074
-0.0019152967,0.008182591,-0.016085315,-0.009052857
-0.0016297431,0.0076054865,-0.01052469,-0.0070683514
-0.0013898065,0.006671662,-0.0053665196,-0.004051619
-0.0013564718,0.006170255,-0.0053697717,-0.003932443
-0.0013908106,0.0057501965,-0.0065554045,-0.004986147
-0.0015148865,0.0053472593,-0.0077314093,-0.005777084
-0.0017420258,0.0048815697,-0.0088556465,-0.005894697
-0.0017888943,0.0044705733,-0.011117422,-0.0060573486
-0.0018953609,0.0036233664,-0.01676147,-0.004699721
-0.0019235074,0.00343144,-0.017673224,-0.0042103105
-0.0019445688,0.0033044505,-0.017673569,-0.004210337
-0.0019586831,0.0032364707,-0.017673751,-0.004210352
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
