vx,vy,vz,omega_z
0.30578834,0.37707365,0.7711471,1.259818
0.3419286,0.31987742,0.74497116,1.2107205
0.36946595,0.19579753,0.6669983,1.1260625
0.35540265,0.045840498,0.57684076,1.0201391
0.29566303,-0.07844267,0.49216995,0.9159734
0.22746147,-0.14907147,0.43009382,0.8328537
0.1471729,-0.19592999,0.36794978,0.74236226
0.077773444,-0.21195607,0.31629202,0.6619003
0.031426415,-0.21052109,0.27776438,0.59757453
-0.008786421,-0.19989304,0.23873037,0.5287043
-0.035799522,-0.18425447,0.20561056,0.46672663
-0.05039074,-0.17032272,0.18070336,0.4186617
-0.059808847,-0.15491763,0.15616673,0.3681332
-0.06469537,-0.14092883,0.13383304,0.32181263
-0.065838225,-0.130149,0.11834653,0.28787136
-0.06533035,-0.118647926,0.101543225,0.25172323
-0.06357127,-0.108423986,0.08659267,0.21900783
-0.061293367,-0.10035601,0.076491505,0.1937763
-0.058004193,-0.09150388,0.066048644,0.16827266
-0.054649077,-0.08337318,0.056845553,0.1456957
-0.0514775,-0.076896936,0.051275034,0.12771131
-0.047941253,-0.06959232,0.044912193,0.111612044
-0.044422895,-0.06326979,0.037449244,0.09556756
-0.0414911,-0.058126476,0.03375161,0.08315822
-0.038022593,-0.052699834,0.029196378,0.07329125
-0.035059832,-0.047441527,0.024860838,0.062357586
-0.032393698,-0.043457545,0.022601074,0.054555103
-0.029626062,-0.03930115,0.020589376,0.046386566
-0.027159587,-0.035652608,0.01627891,0.04026436
-0.024986617,-0.032623466,0.014854996,0.035084378
-0.02270545,-0.029450407,0.0127710365,0.030159023
-0.020714547,-0.02660157,0.010428642,0.024167651
-0.018731805,-0.024284504,0.01154246,0.02166534
-0.017028397,-0.022097873,0.009621621,0.017647477
-0.015618219,-0.019976286,0.009367115,0.018430121
-0.014004755,-0.018019559,0.00895516,0.014435079
-0.012649113,-0.016684024,0.005373459,0.013154795
-0.011611416,-0.015279668,0.0052839397,0.013218675
-0.010628196,-0.01378635,0.0060501928,0.0087178275
-0.009164881,-0.013069641,0.003133704,0.0024315023
-0.008324375,-0.012004186,0.003556601,0.003955211
-0.008100554,-0.010558929,0.0038267865,0.0072992286
-0.0079161255,-0.008566653,0.0040356615,0.0058497884
-0.007891769,-0.0070613665,9.1212925e-05,6.656335e-05
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
