vx,vy,vz,omega_z
0.3533085882663727,0.04309821501374245,-0.8281000852584839,1.008959412574768
0.21525132656097412,-0.15529201924800873,-0.6064578294754028,0.8114033341407776
0.061141237616539,-0.2096695750951767,-0.4593430757522583,0.643503725528717
-0.025436503812670708,-0.1860143393278122,-0.32456621527671814,0.4869871735572815
-0.05627612769603729,-0.15342682600021362,-0.2407924085855484,0.3772704303264618
-0.06421143561601639,-0.12411811202764511,-0.17647936940193176,0.28447455167770386
-0.06095995381474495,-0.10159443318843842,-0.12998540699481964,0.2124394327402115
-0.05459696426987648,-0.0846928209066391,-0.09852952510118484,0.1602185070514679
-0.04701637849211693,-0.06945948302745819,-0.07389332354068756,0.11725644022226334
-0.03988233208656311,-0.056425709277391434,-0.05564074218273163,0.08552256226539612
-0.03352666273713112,-0.04635539650917053,-0.04237886518239975,0.06264413893222809
-0.02759954147040844,-0.0373692512512207,-0.032000668346881866,0.04542647674679756
-0.02261393889784813,-0.030226383358240128,-0.02536848746240139,0.03278879448771477
-0.018777962774038315,-0.024636726826429367,-0.022885018959641457,0.02369222231209278
-0.015173941850662231,-0.02001871168613434,-0.017908381298184395,0.017496895045042038
-0.01206327136605978,-0.01626824587583542,-0.009869125671684742,0.013061805628240108
-0.009680827148258686,-0.013348911888897419,-0.009335520677268505,0.0066125462763011456
-0.008160993456840515,-0.010802376084029675,-0.007304005324840546,0.005567959509789944
-0.0072580245323479176,-0.007669220212846994,-0.009082543663680553,0.005990041885524988
-0.003869710024446249,-0.006587460171431303,-0.0076969088986516,0.005506744608283043
-0.002103501698002219,-0.006290317978709936,8.461999101427864e-08,1.9801657913376403e-07
-0.0017768596298992634,-0.006211884319782257,-0.00017565696907695383,0.00018669498967938125
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
