vx,vy,vz,omega_z
0.2563775,0.34155396,0.017490791,0.6324421
0.2563775,0.34155396,0.017490793,0.6324421
0.2563775,0.34155396,0.017490795,0.6324421
0.26810527,0.35076785,0.041527957,0.6228316
0.26810527,0.35076785,0.041527957,0.6228316
0.2670397,0.33951205,0.018446302,0.6216126
0.26790085,0.3292113,0.017534852,0.6138505
0.26790085,0.3292113,0.017534852,0.6138505
0.27203903,0.32079512,0.016727308,0.6077774
0.27203903,0.32079512,0.016727308,0.6077774
0.27512282,0.30968052,0.016100481,0.60045534
0.2782145,0.29716453,0.015802592,0.5931093
0.281752,0.28515533,0.016669553,0.58387995
0.281752,0.28515533,0.016669553,0.58387995
0.28618616,0.27435896,0.016818052,0.57528156
0.28618616,0.27435896,0.016818052,0.57528156
0.28764847,0.26185235,0.017212324,0.56620395
0.28904483,0.24784495,0.016524745,0.5581716
0.28904483,0.24784495,0.016524745,0.5581716
0.29058218,0.2348564,0.015266848,0.5490832
0.29473615,0.2262098,0.018662622,0.54016227
0.29198033,0.20968653,0.0172304,0.53204745
0.29198033,0.20968653,0.0172304,0.53204745
0.29448506,0.20061046,0.01799467,0.522303
0.29448506,0.20061046,0.01799467,0.522303
0.2927161,0.18521199,0.016887536,0.5132199
0.29124963,0.17275728,0.015827885,0.50499415
0.29124963,0.17275728,0.015827885,0.50499415
0.29046136,0.16127905,0.01535053,0.4952723
0.28705356,0.14764687,0.014451001,0.4865585
0.2836018,0.13487676,0.012688791,0.47877297
0.2836018,0.13487676,0.012688791,0.47877297
0.27965227,0.12218069,0.013655841,0.47083485
0.27965227,0.12218069,0.013655841,0.47083485
0.27690142,0.111785874,0.013025053,0.46224487
0.27203888,0.10032913,0.012967564,0.4539384
0.27203888,0.10032913,0.012967564,0.4539384
0.26748833,0.08876653,0.01117298,0.44626847
0.26261202,0.078698,0.011203975,0.4384896
0.26261202,0.078698,0.011203975,0.4384896
0.2583025,0.068498105,0.010001477,0.43028334
0.25261533,0.058883484,0.009799773,0.42233992
0.25261533,0.058883484,0.009799773,0.42233992
0.2491318,0.05050503,0.010553589,0.4144607
0.24283956,0.040337894,0.009361023,0.40647364
0.24283956,0.040337894,0.009361023,0.40647364
0.23602524,0.032031484,0.009275035,0.40003726
0.2314552,0.02406205,0.007860318,0.39096907
0.2314552,0.02406205,0.007860318,0.39096907
0.22548044,0.016584367,0.0076714554,0.38526616
0.21930337,0.008875473,0.007561243,0.37819394
0.21930337,0.008875473,0.007561243,0.37819394
0.21354178,0.0022017427,0.0065559186,0.37216917
0.20700708,-0.0044202115,0.0067976187,0.36442593
0.20700708,-0.0044202115,0.0067976187,0.36442593
0.2007895,-0.010624425,0.005850215,0.35727555
0.19509026,-0.01684052,0.005044229,0.35048643
0.19509026,-0.01684052,0.005044229,0.35048643
0.18880083,-0.02225996,0.0061318954,0.34448642
0.18289264,-0.027004648,0.006404365,0.33803663
0.18289264,-0.027004648,0.006404365,0.33803663
0.17691769,-0.031918023,0.0060463827,0.33144286
0.17152116,-0.036375545,0.0053426106,0.32518488
0.1655669,-0.04054497,0.006270662,0.3185407
0.1655669,-0.04054497,0.006270662,0.3185407
0.15883999,-0.045657977,0.00586974,0.31392497
0.15883999,-0.045657977,0.00586974,0.31392497
0.15454854,-0.048345126,0.0040317853,0.3083109
0.14929746,-0.051406782,0.004013305,0.3015296
0.14929746,-0.051406782,0.004013305,0.3015296
0.14427006,-0.054434564,0.0039881887,0.29572925
0.13894834,-0.05710174,0.0050277556,0.2907973
0.13894834,-0.05710174,0.0050277556,0.2907973
0.13400458,-0.059936583,0.002790709,0.2852356
0.12904988,-0.062353503,0.004207415,0.2797264
0.12904988,-0.062353503,0.004207415,0.2797264
0.12408238,-0.06458635,0.003731048,0.2742002
0.119264126,-0.06688072,0.0032398892,0.26906
0.119264126,-0.06688072,0.0032398892,0.26906
0.11514707,-0.068647,0.0024031163,0.26371783
0.11060641,-0.0703612,0.003042329,0.2589188
0.11060641,-0.0703612,0.003042329,0.2589188
0.10646982,-0.071799874,0.0026054361,0.2532908
0.102358125,-0.07314955,0.0030765424,0.24852821
0.102358125,-0.07314955,0.0030765424,0.24852821
0.09886289,-0.074065454,0.002177341,0.24403547
0.095067136,-0.075087346,0.0018414125,0.23911773
0.095067136,-0.075087346,0.0018414125,0.23911773
0.091985025,-0.07621177,0.00078895426,0.2352437
0.08752277,-0.07684392,0.0027770107,0.22919428
0.08752277,-0.07684392,0.0027770107,0.22919428
0.08449538,-0.07754034,0.0023022024,0.22526062
0.08141243,-0.07803184,0.0025711968,0.22090441
0.08141243,-0.07803184,0.0025711968,0.22090441
0.07856415,-0.07862213,0.0013397285,0.21625924
0.07530268,-0.078813985,0.0015393699,0.2131863
0.072159074,-0.07951104,0.00050388614,0.20821847
0.072159074,-0.07951104,0.00050388614,0.20821847
0.06930595,-0.07937248,0.0015636291,0.20434469
0.06930595,-0.07937248,0.0015636291,0.20434469
0.066478945,-0.07976281,0.001605218,0.19984256
0.063661166,-0.079831526,0.0032557696,0.19569132
0.063661166,-0.079831526,0.0032557696,0.19569132
0.062026408,-0.07970914,0.0026677812,0.19169508
0.05976742,-0.07964001,0.002873026,0.1881237
0.05976742,-0.07964001,0.002873026,0.1881237
0.05684957,-0.079609685,0.003174103,0.1874601
0.05543744,-0.07926977,0.0014864816,0.18094172
0.05543744,-0.07926977,0.0014864816,0.18094172
0.053128526,-0.079168744,0.0011320492,0.17712669
0.051188614,-0.07897123,0.001218481,0.17364563
0.051188614,-0.07897123,0.001218481,0.17364563
0.04937132,-0.078770876,0.001270528,0.17029414
0.047478884,-0.07844803,0.0010278223,0.16658741
0.047478884,-0.07844803,0.0010278223,0.16658741
0.045978375,-0.07800823,0.00068676716,0.16325514
0.044489823,-0.07761278,0.0005897729,0.15993235
0.044489823,-0.07761278,0.0005897729,0.15993235
0.043027047,-0.077248864,0.00096106675,0.15687856
0.04159993,-0.076802135,0.00025752233,0.15377048
0.04159993,-0.076802135,0.00025752233,0.15377048
0.040292613,-0.076365076,0.00049849367,0.14967605
0.039000317,-0.0759295,0.0015673588,0.14682752
0.039000317,-0.0759295,0.0015673588,0.14682752
0.03765811,-0.07546803,0.0011766884,0.14429678
0.036646694,-0.07496935,-5.4013606e-05,0.14114864
0.036646694,-0.07496935,-5.4013606e-05,0.14114864
0.03523825,-0.074429095,0.0014237987,0.13870773
0.03434338,-0.07392699,9.5564916e-05,0.13567385
0.03434338,-0.07392699,9.5564916e-05,0.13567385
0.033129927,-0.073348396,-0.0003016321,0.1327273
0.03243877,-0.072261,0.0013150218,0.12921166
0.03243877,-0.072261,0.0013150218,0.12921166
0.03133707,-0.07234646,0.0006766314,0.12753633
0.030399801,-0.071649306,0.0014723507,0.12446532
0.030399801,-0.071649306,0.0014723507,0.12446532
0.02941152,-0.071079105,0.00060761085,0.12200277
0.028602315,-0.07065835,-0.00017977145,0.11953479
0.028602315,-0.07065835,-0.00017977145,0.11953479
0.027940255,-0.06986799,-0.00026944221,0.11644623
0.02726878,-0.06941939,-0.0008510471,0.114452645
0.02726878,-0.06941939,-0.0008510471,0.114452645
0.026659006,-0.06887551,-0.00041014722,0.11240967
0.025858078,-0.06819113,-0.00027723028,0.10956325
0.025858078,-0.06819113,-0.00027723028,0.10956325
0.025248006,-0.06757245,0.00018986902,0.107623085
0.024711464,-0.0670454,-0.0002766943,0.10551893
0.024711464,-0.0670454,-0.0002766943,0.10551893
0.024087297,-0.06649167,-0.0014056406,0.10265646
0.023596015,-0.065797426,-0.00023273783,0.1015541
0.023596015,-0.065797426,-0.00023273783,0.1015541
0.022516103,-0.0648626,0.00026178686,0.09884158
0.022399655,-0.064807944,2.0329064e-05,0.09742904
0.022399655,-0.064807944,2.0329064e-05,0.09742904
0.02208449,-0.06400147,5.8052414e-05,0.0946308
0.021657571,-0.06358322,-0.00028010804,0.09272348
0.021096358,-0.06283208,-0.00028712768,0.09034454
