vx,vy,vz,omega_z
-0.5223841,-0.3766623,-1.4879509,0.0031999326
-0.5223841,-0.3766623,-1.4879509,0.0031999326
-0.52238417,-0.3766623,-1.4879509,0.0031999326
-0.52238417,-0.3766623,-1.4879509,0.0031999326
-0.5472661,-0.39162397,-1.4638921,0.004118839
-0.5494432,-0.3918977,-1.5121236,0.016984586
-0.5494432,-0.3918977,-1.5121236,0.016984586
-0.5442458,-0.38923168,-1.5030757,-0.0017066448
-0.51985866,-0.37338772,-1.4807318,0.0071822475
-0.51985866,-0.37338772,-1.4807318,0.0071822475
-0.52986276,-0.38090676,-1.4823292,-0.0033894912
-0.5193924,-0.3718319,-1.4500983,0.0052186735
-0.5193924,-0.3718319,-1.4500983,0.0052186735
-0.51257765,-0.36944848,-1.4292109,-0.00033600762
-0.5137228,-0.36791128,-1.4375632,0.0109621845
-0.5137228,-0.36791128,-1.4375632,0.0109621845
-0.50880885,-0.36464217,-1.4107776,0.0046194494
-0.4998519,-0.35927683,-1.3982729,0.014442565
-0.4998519,-0.35927683,-1.3982729,0.014442565
-0.4933231,-0.35053414,-1.3686155,-0.0041355803
-0.49290487,-0.35397232,-1.3625108,-0.003401806
-0.49290487,-0.35397232,-1.3625108,-0.003401806
-0.48104206,-0.34162092,-1.3254682,0.0019809415
-0.47150362,-0.33629975,-1.3155935,0.0012016902
-0.47150362,-0.33629975,-1.3155935,0.0012016902
-0.45778674,-0.32583633,-1.2730155,0.003847662
-0.45436648,-0.32755557,-1.2642689,0.0037005045
-0.45436648,-0.32755557,-1.2642689,0.0037005045
-0.44578338,-0.31608778,-1.2581123,0.0036347138
-0.4347402,-0.30908072,-1.2114261,0.0037312491
-0.4347402,-0.30908072,-1.2114261,0.0037312491
-0.43263116,-0.30492792,-1.2237505,-0.005295981
-0.4243318,-0.3031,-1.204829,-0.0027548622
-0.4243318,-0.3031,-1.204829,-0.0027548622
-0.41322953,-0.2889476,-1.1647841,0.003403358
-0.40546227,-0.29133275,-1.1378028,-0.0051677893
-0.40546227,-0.29133275,-1.1378028,-0.0051677893
-0.39488968,-0.28267318,-1.1212854,0.009273565
-0.39138585,-0.27555487,-1.1195114,0.009248198
