vx,vy,vz,omega_z
-0.32930753,-0.18128596,0.011804871,5.1969623e-10
-0.32930753,-0.18128596,0.011804871,5.1969623e-10
-0.32930753,-0.18128596,0.011804871,5.025248e-10
-0.32930753,-0.18128596,0.011804871,5.025248e-10
-0.34308085,-0.19000539,0.019405004,-0.0024160084
-0.32866472,-0.18183678,0.0057506384,0.0011605925
-0.32866472,-0.18183678,0.0057506384,0.0011605925
-0.328546,-0.18235947,0.0032669536,0.0027831867
-0.32394704,-0.18032369,0.001302941,0.0002023894
-0.3199053,-0.1782196,0.0025933788,-1.2916876e-05
-0.3199053,-0.1782196,0.0025933788,-1.2916876e-05
-0.32406113,-0.18009117,0.0037681838,0.0004947703
-0.31778973,-0.17723353,0.0006725713,-0.0022713363
-0.31778973,-0.17723353,0.0006725713,-0.0022713363
-0.31541008,-0.17484431,0.008011737,-0.0005336355
-0.31541008,-0.17484431,0.008011737,-0.0005336355
-0.31109685,-0.1726319,0.009298132,0.0005868164
-0.30877966,-0.17136736,0.009253251,-3.1566804e-05
-0.30466843,-0.16948777,0.008333461,-0.001728344
-0.30466843,-0.16948777,0.008333461,-0.001728344
-0.30124104,-0.16762008,0.0041064406,0.0017886554
-0.30124104,-0.16762008,0.0041064406,0.0017886554
-0.2973818,-0.16499525,0.0035332972,-0.0014551723
-0.29084003,-0.16041417,0.008867793,-0.00012350877
-0.2863516,-0.15876997,0.007585376,0.002797138
-0.2863516,-0.15876997,0.007585376,0.002797138
-0.27955428,-0.154857,0.009149315,-0.0016643845
-0.27955428,-0.154857,0.009149315,-0.0016643845
-0.27508253,-0.15272027,0.010812043,-0.0019594787
-0.27053615,-0.15145946,0.0066188807,0.00035494965
-0.2646435,-0.14856763,0.0074416697,0.00029685357
-0.2646435,-0.14856763,0.0074416697,0.00029685357
-0.26007888,-0.14517358,0.0048767813,0.0007827922
-0.25427085,-0.14033906,0.0071748537,0.001215973
-0.25427085,-0.14033906,0.0071748537,0.001215973
-0.24952857,-0.13769023,0.0109839775,5.7518122e-05
-0.24268574,-0.13434757,0.011155056,4.488541e-05
-0.24268574,-0.13434757,0.011155056,4.488541e-05
-0.23754163,-0.13207775,0.012160502,-2.5649098e-05
-0.23754163,-0.13207775,0.012160502,-2.5649098e-05
-0.23148632,-0.12906478,0.012630405,-5.71455e-05
-0.2287089,-0.12668784,0.0071823015,0.0023683077
-0.2287089,-0.12668784,0.0071823015,0.0023683077
-0.22220674,-0.12339657,0.0074102604,0.0023536137
-0.21602929,-0.119536296,0.013517037,-0.0001170474
-0.20943761,-0.116294466,0.013673602,-0.00012682244
-0.20943761,-0.116294466,0.013673602,-0.00012682244
-0.20594071,-0.11402822,0.010254855,0.0033329593
-0.20102955,-0.11131112,0.008719933,0.0022632251
-0.20102955,-0.11131112,0.008719933,0.0022632251
-0.19476457,-0.107825175,0.0117625855,0.003165514
-0.19476457,-0.107825175,0.0117625855,0.003165514
-0.19259146,-0.10715755,0.0029697355,-0.0001956037
-0.1857442,-0.10375349,0.0029700624,-0.0001934268
-0.18215021,-0.10013586,0.002891655,-0.00019302819
-0.18215021,-0.10013586,0.002891655,-0.00019302819
-0.17496234,-0.09728695,0.010937086,0.00049405737
