vx,vy,vz,omega_z
-0.4624456,-0.33085737,-1.5722332,0.006954361
-0.4167144,-0.2979631,-1.4494451,0.007983524
-0.34460813,-0.2482765,-1.2710806,-8.44812e-06
-0.29666206,-0.21405882,-1.1749234,-0.0054979133
-0.25265172,-0.1809953,-1.0893288,-1.7693183e-05
-0.2017665,-0.14352667,-0.9162806,-0.00481747
-0.17043804,-0.12220125,-0.83049643,-0.00457941
-0.13763407,-0.09944376,-0.6974885,1.6514856e-05
-0.11380613,-0.08281304,-0.6140627,0.004055895
-0.096089914,-0.07167153,-0.5384946,2.3151573e-05
-0.081841655,-0.058117583,-0.46975455,0.003680547
-0.07234287,-0.049385145,-0.40695772,7.141256e-06
-0.062009495,-0.04262021,-0.3548894,-0.0012829228
-0.05417674,-0.038426634,-0.31045055,-0.004645143
-0.049077887,-0.03417483,-0.26845682,0.0007924372
-0.041977517,-0.030505208,-0.23816493,4.2943025e-06
-0.039537825,-0.027658146,-0.21094953,-0.0030047004
-0.03610246,-0.026367001,-0.18499836,2.7428564e-06
-0.032331795,-0.021834953,-0.16103142,0.0015507903
-0.031020138,-0.021151742,-0.14411043,-0.0028354865
-0.02771492,-0.020520683,-0.12182102,-0.0012971892
-0.024929786,-0.018137516,-0.10606549,1.2291699e-06
-0.02202752,-0.0162253,-0.09154874,1.3780466e-06
-0.019156765,-0.013754208,-0.07743355,6.114284e-07
-0.0192049,-0.01381667,-0.07743166,7.656417e-07
-0.016845096,-0.011924116,-0.06367185,1.3418195e-06
-0.014265621,-0.011564223,-0.05691582,-0.002613802
-0.014086388,-0.009708056,-0.05028027,7.2667115e-07
-0.011759645,-0.009505174,-0.0436931,-0.002580233
-0.010441759,-0.007947266,-0.04368941,0.0025825105
-0.008559534,-0.0076184315,-0.03917459,-0.0010893994
-0.008036688,-0.007514474,-0.037231244,9.0746454e-07
-0.0076050316,-0.005809674,-0.03080568,0.0025484848
-0.0074799317,-0.0056683123,-0.030806858,0.0025480147
-0.005679281,-0.005572928,-0.02450775,8.270893e-07
-0.005336707,-0.0042766468,-0.019926086,9.989269e-05
-0.005194731,-0.0038556526,-0.018243514,0.0025161593
-0.005136995,-0.0037607818,-0.018243965,0.002515887
-0.00473474,-0.0036809137,-0.017118605,0.0006680553
-0.0035276802,-0.0035289791,-0.013328009,-0.0014163789
-0.0032859675,-0.0033124003,-0.013304338,-0.0018817432
-0.0031410106,-0.0017971584,-0.011638846,-0.0041427314
-0.003099968,-0.00042733268,-0.012098986,6.6190603e-07
-0.003043401,-0.00055880984,-0.010940745,-0.0008351727
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
