vx,vy,vz,omega_z
-0.65295565,-0.23965634,-1.0656034,0.6283185
-0.5059696,-0.18617387,-1.1482772,0.6241088
-0.5059696,-0.18617387,-1.1482772,0.6241088
-0.62548006,-0.22370473,-1.1276704,0.6242868
-0.62548006,-0.22370473,-1.1276704,0.6242868
-0.6842434,-0.2328536,-1.0840546,0.61554796
-0.6842434,-0.2328536,-1.0840546,0.61554796
-0.6453382,-0.20693378,-1.0967517,0.6071283
-0.6576454,-0.19975956,-1.0850585,0.5974134
-0.6576454,-0.19975956,-1.0850585,0.5974134
-0.6824678,-0.19450004,-1.0528997,0.58955723
-0.6824678,-0.19450004,-1.0528997,0.58955723
-0.68516845,-0.17802499,-1.0228456,0.5769054
-0.68516845,-0.17802499,-1.0228456,0.5769054
-0.681209,-0.15904489,-1.0032713,0.5678797
-0.67722625,-0.14193733,-0.9829345,0.55521554
-0.67722625,-0.14193733,-0.9829345,0.55521554
-0.67722625,-0.14193733,-0.9829345,0.55521554
-0.670265,-0.12487281,-0.9636963,0.5469368
-0.6616657,-0.10723192,-0.942268,0.5370719
-0.6616657,-0.10723192,-0.942268,0.5370719
-0.6651221,-0.094714575,-0.90987587,0.5258813
-0.6651221,-0.094714575,-0.90987587,0.5258813
-0.64635825,-0.07265094,-0.8880002,0.51418763
-0.64635825,-0.07265094,-0.8880002,0.51418763
-0.63014036,-0.055722233,-0.86983716,0.5018465
-0.6267258,-0.043228257,-0.8439956,0.4924402
-0.6267258,-0.043228257,-0.8439956,0.4924402
-0.61355245,-0.03019542,-0.8236324,0.482387
-0.61355245,-0.03019542,-0.8236324,0.482387
-0.59669936,-0.016337186,-0.80760336,0.47367796
-0.59669936,-0.016337186,-0.80760336,0.47367796
-0.58577424,-0.0019881737,-0.7850365,0.46416664
-0.5700882,0.0101335775,-0.7649708,0.45304218
-0.5700882,0.0101335775,-0.7649708,0.45304218
-0.55386806,0.01920822,-0.7496604,0.44261536
-0.55386806,0.01920822,-0.7496604,0.44261536
-0.5376015,0.029280217,-0.7302686,0.435494
-0.5376015,0.029280217,-0.7302686,0.435494
-0.5196966,0.039612643,-0.7128346,0.42522705
-0.5039633,0.047248784,-0.6942436,0.4157217
-0.5039633,0.047248784,-0.6942436,0.4157217
-0.49445695,0.05338907,-0.67658144,0.40806976
-0.49445695,0.05338907,-0.67658144,0.40806976
-0.47788587,0.060721863,-0.6626462,0.39955923
-0.45832318,0.0672194,-0.646709,0.39001638
-0.45832318,0.0672194,-0.646709,0.39001638
-0.4463131,0.07072276,-0.63273597,0.38279566
-0.4463131,0.07072276,-0.63273597,0.38279566
-0.43158045,0.07504678,-0.6181957,0.37515604
-0.43158045,0.07504678,-0.6181957,0.37515604
