vx,vy,vz,omega_z
0.692116916179657,-1.304046630859375,-0.3284189999103546,1.1674363613128662
0.3183438181877136,-1.2907527685165405,-0.2853474020957947,1.0795650482177734
-0.06742383539676666,-1.155247688293457,-0.24353022873401642,0.974401593208313
-0.31896328926086426,-0.9275299310684204,-0.20900680124759674,0.8731109499931335
-0.41933968663215637,-0.7049299478530884,-0.18360407650470734,0.7933844327926636
-0.43364033102989197,-0.4745000898838043,-0.15869204699993134,0.7075205445289612
-0.3826542794704437,-0.30052638053894043,-0.13479240238666534,0.6309868693351746
-0.3193047046661377,-0.20723697543144226,-0.11976330727338791,0.5676335692405701
-0.24484051764011383,-0.1406514048576355,-0.10323004424571991,0.5021958351135254
-0.18533912301063538,-0.10624010115861893,-0.0918651595711708,0.44345346093177795
-0.14827878773212433,-0.0919215977191925,-0.07966034859418869,0.39630675315856934
-0.11772574484348297,-0.08194275200366974,-0.07020989060401917,0.3480890691280365
-0.10071947425603867,-0.07443930953741074,-0.06189911440014839,0.3048914074897766
-0.0913010761141777,-0.06758260726928711,-0.05542520433664322,0.2714284062385559
-0.0833003968000412,-0.05899187922477722,-0.048929374665021896,0.23681725561618805
-0.07733090221881866,-0.04962313920259476,-0.04334845393896103,0.20617720484733582
-0.07239251583814621,-0.04186123609542847,-0.03928128629922867,0.1823609173297882
-0.06625309586524963,-0.03384501114487648,-0.03431841731071472,0.15834391117095947
-0.060262445360422134,-0.026868293061852455,-0.03035685606300831,0.13693873584270477
-0.054901301860809326,-0.022018326446413994,-0.027361417189240456,0.1205475777387619
-0.04888531565666199,-0.017765764147043228,-0.024572201073169708,0.10426466166973114
-0.043158479034900665,-0.014625020325183868,-0.021520335227251053,0.08958983421325684
-0.03874855861067772,-0.012582121416926384,-0.01876058429479599,0.07811017334461212
-0.033745523542165756,-0.011202060617506504,-0.01745399832725525,0.06770917773246765
-0.029446501284837723,-0.01019718125462532,-0.015401381067931652,0.0581965371966362
-0.026219317689538002,-0.009521045722067356,-0.014090308919548988,0.05095984786748886
-0.022905781865119934,-0.00898289866745472,-0.012682578526437283,0.043722596019506454
-0.020102698355913162,-0.00847812369465828,-0.011539862491190434,0.03744322434067726
-0.017952337861061096,-0.008084881119430065,-0.010257424786686897,0.03284823149442673
-0.01585589535534382,-0.007519485894590616,-0.009401656687259674,0.02788323163986206
-0.013829352334141731,-0.007159869652241468,-0.008585825562477112,0.023710131645202637
-0.012506803497672081,-0.006643190048635006,-0.007665712386369705,0.02128671109676361
-0.010993802919983864,-0.005996428895741701,-0.007268414366990328,0.017878912389278412
-0.009685061872005463,-0.005656974855810404,-0.006280191242694855,0.015531906858086586
-0.008673264645040035,-0.005228420719504356,-0.005645021330565214,0.013446206226944923
-0.007752405945211649,-0.004825242795050144,-0.005297489929944277,0.011525080539286137
-0.006805773358792067,-0.004328500479459763,-0.00502826226875186,0.009341064840555191
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
