vx,vy,vz,omega_z
0.82551223,-1.2778862,-1.095166,1.2037514
0.7721233,-1.2952851,-1.077237,1.1906431
0.72137845,-1.3083998,-1.0489225,1.1769403
0.72137845,-1.3083998,-1.0489225,1.1769403
0.65437347,-1.314172,-1.0280505,1.16199
0.5910047,-1.3166405,-1.0081787,1.1491212
0.5910047,-1.3166405,-1.0081787,1.1491212
0.5267528,-1.3193723,-0.98518187,1.1339839
0.4906391,-1.3299559,-0.9378682,1.1189297
0.4906391,-1.3299559,-0.9378682,1.1189297
0.41273394,-1.3165306,-0.93047756,1.1035589
0.3502369,-1.3060966,-0.91080993,1.088404
0.3502369,-1.3060966,-0.91080993,1.088404
0.27592134,-1.2936224,-0.89399636,1.0745608
0.24676801,-1.2992916,-0.8543303,1.0584424
0.24676801,-1.2992916,-0.8543303,1.0584424
0.18867473,-1.2833928,-0.8365919,1.0425204
0.12688716,-1.2677786,-0.8214603,1.0279186
0.12688716,-1.2677786,-0.8214603,1.0279186
0.07252028,-1.2438055,-0.80527943,1.0135316
0.01582223,-1.2173449,-0.78999984,0.9984133
0.01582223,-1.2173449,-0.78999984,0.9984133
-0.033449017,-1.1938505,-0.7746953,0.98342013
-0.08097458,-1.1661581,-0.7584399,0.9687632
-0.08097458,-1.1661581,-0.7584399,0.9687632
-0.12445098,-1.1382542,-0.7417195,0.9539912
-0.16835222,-1.1101295,-0.7346254,0.94020474
-0.16835222,-1.1101295,-0.7346254,0.94020474
-0.20697004,-1.0708424,-0.7121813,0.9243341
-0.24171941,-1.037913,-0.699426,0.91092515
-0.24171941,-1.037913,-0.699426,0.91092515
-0.27463248,-1.0030756,-0.68441147,0.89630026
-0.30285126,-0.9682429,-0.6716567,0.88263524
-0.30285126,-0.9682429,-0.6716567,0.88263524
-0.32996288,-0.9310726,-0.6555264,0.86856884
-0.35169557,-0.89049584,-0.6439189,0.85454506
-0.35169557,-0.89049584,-0.6439189,0.85454506
-0.37631202,-0.85867304,-0.6270535,0.8407575
-0.39502105,-0.8192743,-0.61452425,0.8273177
-0.39502105,-0.8192743,-0.61452425,0.8273177
-0.41029784,-0.78841704,-0.6032886,0.8160555
-0.42216274,-0.7436049,-0.5898845,0.80180216
-0.42216274,-0.7436049,-0.5898845,0.80180216
-0.43020564,-0.7061667,-0.57832795,0.7889888
-0.43780714,-0.66998786,-0.566699,0.7765248
-0.43780714,-0.66998786,-0.566699,0.7765248
-0.44441184,-0.6354718,-0.5540629,0.76361054
-0.44635046,-0.6003095,-0.5435552,0.7512661
-0.44635046,-0.6003095,-0.5435552,0.7512661
-0.44755855,-0.56598604,-0.53228974,0.7388018
-0.44694933,-0.5346034,-0.5214703,0.72676486
-0.44694933,-0.5346034,-0.5214703,0.72676486
-0.4463274,-0.50374466,-0.5103467,0.71527356
-0.44136265,-0.47373742,-0.500939,0.7034836
-0.44136265,-0.47373742,-0.500939,0.7034836
-0.435722,-0.44522232,-0.49049217,0.69190073
-0.42947504,-0.41837743,-0.4802454,0.68038213
-0.42947504,-0.41837743,-0.4802454,0.68038213
-0.4235121,-0.39146587,-0.47038212,0.669068
-0.4145646,-0.36786008,-0.460662,0.65817356
-0.4145646,-0.36786008,-0.460662,0.65817356
-0.4047988,-0.34426907,-0.45074758,0.64706767
-0.39575484,-0.32287613,-0.44272384,0.63984865
-0.39575484,-0.32287613,-0.44272384,0.63984865
-0.38543513,-0.30230713,-0.43447092,0.6242034
-0.37600777,-0.28302282,-0.42417973,0.6140678
-0.37600777,-0.28302282,-0.42417973,0.6140678
-0.3644654,-0.2652101,-0.41459328,0.6045083
-0.35474026,-0.24586947,-0.4066658,0.5941187
-0.35474026,-0.24586947,-0.4066658,0.5941187
-0.3436533,-0.2308474,-0.39854267,0.58421046
-0.33145133,-0.21483679,-0.3898991,0.5737407
-0.33145133,-0.21483679,-0.3898991,0.5737407
-0.32056883,-0.2030775,-0.38183746,0.5648505
-0.3084409,-0.19019514,-0.3735287,0.5545227
-0.3084409,-0.19019514,-0.3735287,0.5545227
-0.29832217,-0.17905542,-0.36684543,0.5449223
-0.28607893,-0.16855408,-0.35876665,0.53570724
-0.28607893,-0.16855408,-0.35876665,0.53570724
-0.275313,-0.16004275,-0.35111082,0.52636254
-0.26469168,-0.15151042,-0.34438324,0.516811
-0.26469168,-0.15151042,-0.34438324,0.516811
-0.25407913,-0.14354952,-0.3372768,0.508302
-0.24294998,-0.13535894,-0.32888827,0.498764
-0.24294998,-0.13535894,-0.32888827,0.498764
-0.23366633,-0.12993944,-0.32317188,0.49009123
-0.22474316,-0.12476619,-0.31656423,0.48129916
-0.22474316,-0.12476619,-0.31656423,0.48129916
-0.2155498,-0.11947716,-0.31045637,0.47286236
-0.20614146,-0.114207566,-0.30381268,0.46406898
-0.20614146,-0.114207566,-0.30381268,0.46406898
-0.19788454,-0.11033157,-0.2971122,0.45638058
-0.19033836,-0.10676504,-0.2919055,0.44711742
-0.19033836,-0.10676504,-0.2919055,0.44711742
-0.18187124,-0.10277356,-0.28596416,0.44118324
-0.17497443,-0.10010703,-0.27997765,0.43213782
-0.17497443,-0.10010703,-0.27997765,0.43213782
-0.16825615,-0.0974622,-0.2746204,0.42424372
-0.16218111,-0.09525769,-0.26919717,0.4165221
-0.16218111,-0.09525769,-0.26919717,0.4165221
-0.15390803,-0.09191778,-0.26390764,0.4090011
-0.14754744,-0.08980149,-0.2584728,0.40153506
-0.14754744,-0.08980149,-0.2584728,0.40153506
-0.1426613,-0.08835898,-0.25310922,0.39479008
-0.13723814,-0.08675172,-0.24810989,0.38690874
-0.13723814,-0.08675172,-0.24810989,0.38690874
-0.13232315,-0.08534167,-0.24305436,0.379564
-0.1272344,-0.083926186,-0.2382729,0.37288454
-0.1272344,-0.083926186,-0.2382729,0.37288454
-0.123576485,-0.082748026,-0.23369609,0.3663634
-0.11999976,-0.08180268,-0.22921613,0.35937744
-0.11999976,-0.08180268,-0.22921613,0.35937744
-0.1162372,-0.080691755,-0.2242421,0.3522819
-0.112741195,-0.07975251,-0.2201431,0.3459701
-0.112741195,-0.07975251,-0.2201431,0.3459701
-0.10916161,-0.07863501,-0.21620618,0.33971092
-0.1064991,-0.07773141,-0.21167591,0.333442
-0.1064991,-0.07773141,-0.21167591,0.333442
-0.103638045,-0.076810315,-0.20727326,0.32666352
-0.10032705,-0.07588128,-0.20280215,0.32067084
-0.10032705,-0.07588128,-0.20280215,0.32067084
-0.098980375,-0.07525132,-0.20281771,0.31509775
-0.096827134,-0.07420387,-0.1954554,0.3086732
-0.096827134,-0.07420387,-0.1954554,0.3086732
-0.094849706,-0.07311558,-0.19203335,0.3032798
-0.092803776,-0.07207025,-0.18783827,0.29726836
-0.092803776,-0.07207025,-0.18783827,0.29726836
-0.090590164,-0.071319565,-0.18427391,0.29145804
-0.08923596,-0.07011823,-0.18066798,0.28602913
-0.08923596,-0.07011823,-0.18066798,0.28602913
-0.087782376,-0.06913769,-0.17713848,0.28051186
-0.086650535,-0.067923896,-0.17360659,0.27503493
-0.086650535,-0.067923896,-0.17360659,0.27503493
-0.08427585,-0.06759606,-0.17114566,0.26991427
-0.082802154,-0.06618812,-0.16721,0.2647831
-0.082802154,-0.06618812,-0.16721,0.2647831
-0.0818217,-0.065205924,-0.16400094,0.25956187
-0.08051018,-0.064037025,-0.16080368,0.2547735
-0.08051018,-0.064037025,-0.16080368,0.2547735
-0.07955603,-0.063007526,-0.15753826,0.24981616
-0.07921125,-0.061410062,-0.15483297,0.24462943
-0.07921125,-0.061410062,-0.15483297,0.24462943
-0.077712074,-0.060515303,-0.15177433,0.23998325
-0.076335825,-0.059200246,-0.1475028,0.23527005
-0.076335825,-0.059200246,-0.1475028,0.23527005
-0.07604065,-0.058025062,-0.14600721,0.23076728
-0.075031675,-0.0567705,-0.14313507,0.22635075
-0.075031675,-0.0567705,-0.14313507,0.22635075
-0.07435868,-0.055498242,-0.14018017,0.22171675
-0.07356454,-0.054409266,-0.13807458,0.21735735
-0.07356454,-0.054409266,-0.13807458,0.21735735
-0.07268612,-0.053180974,-0.13513264,0.2130994
-0.07196088,-0.05179586,-0.13261765,0.20889856
-0.07196088,-0.05179586,-0.13261765,0.20889856
-0.07122542,-0.05049513,-0.12970482,0.20481601
-0.07059048,-0.049225703,-0.12750293,0.20095849
-0.07059048,-0.049225703,-0.12750293,0.20095849
-0.06983369,-0.048012666,-0.12495061,0.19688445
-0.06899835,-0.046806417,-0.12278745,0.1930268
-0.06899835,-0.046806417,-0.12278745,0.1930268
-0.06793812,-0.045821737,-0.12018592,0.18907893
-0.06716083,-0.043916076,-0.11599195,0.18551722
-0.06716083,-0.043916076,-0.11599195,0.18551722
-0.06646066,-0.043216564,-0.11574354,0.18169078
-0.065978624,-0.041918125,-0.113664836,0.17769347
-0.065978624,-0.041918125,-0.113664836,0.17769347
-0.065145425,-0.040900934,-0.11155204,0.17448707
-0.06444717,-0.039782643,-0.10970078,0.1707826
-0.06444717,-0.039782643,-0.10970078,0.1707826
-0.063618705,-0.03883951,-0.10739343,0.1673966
-0.06283426,-0.037587106,-0.10517564,0.16383445
-0.06283426,-0.037587106,-0.10517564,0.16383445
-0.062138416,-0.036446653,-0.1032093,0.16065884
-0.06139213,-0.035320796,-0.101370305,0.15713018
-0.06139213,-0.035320796,-0.101370305,0.15713018
-0.060631342,-0.034309763,-0.09948988,0.15393934
-0.05990587,-0.03328942,-0.097769044,0.15128504
-0.05990587,-0.03328942,-0.097769044,0.15128504
-0.059071656,-0.032288294,-0.09562042,0.14786232
-0.05833856,-0.03133407,-0.09421181,0.14498629
-0.05833856,-0.03133407,-0.09421181,0.14498629
-0.057451513,-0.030349493,-0.09203625,0.1416838
-0.05665025,-0.029443601,-0.090497606,0.13912818
-0.05665025,-0.029443601,-0.090497606,0.13912818
-0.05586268,-0.028574172,-0.08862024,0.13631856
-0.05505549,-0.027709445,-0.08709925,0.13348605
-0.05505549,-0.027709445,-0.08709925,0.13348605
-0.05426654,-0.026844438,-0.08535928,0.13098301
-0.05366241,-0.025877113,-0.08357455,0.12789045
-0.05366241,-0.025877113,-0.08357455,0.12789045
-0.052663747,-0.025242114,-0.08238921,0.12521933
-0.05182647,-0.024559291,-0.08069349,0.122636124
-0.05182647,-0.024559291,-0.08069349,0.122636124
-0.051093627,-0.02375403,-0.07930986,0.11993347
-0.05027366,-0.023019237,-0.07798661,0.11754478
-0.05027366,-0.023019237,-0.07798661,0.11754478
-0.049444985,-0.022397485,-0.07631544,0.11488856
-0.048633114,-0.021768566,-0.074913226,0.11272116
-0.048633114,-0.021768566,-0.074913226,0.11272116
-0.04788307,-0.021088662,-0.07351059,0.11021921
-0.047145873,-0.020504534,-0.07238066,0.107996896
-0.047145873,-0.020504534,-0.07238066,0.107996896
-0.046284776,-0.019977916,-0.070929796,0.105825454
-0.0455334,-0.019331736,-0.06961653,0.103640385
-0.0455334,-0.019331736,-0.06961653,0.103640385
-0.044762254,-0.018872615,-0.06830175,0.10133237
-0.043965917,-0.018418744,-0.06704641,0.099433124
-0.043965917,-0.018418744,-0.06704641,0.099433124
-0.04327881,-0.017821783,-0.06594116,0.09718462
-0.0425106,-0.017472584,-0.064719684,0.09484987
-0.0425106,-0.017472584,-0.064719684,0.09484987
-0.041726686,-0.016985748,-0.0634669,0.09309421
-0.0410644,-0.016666455,-0.062351055,0.09136132
-0.0410644,-0.016666455,-0.062351055,0.09136132
-0.040347707,-0.016181357,-0.0612297,0.0890613
-0.039540887,-0.015827784,-0.060368206,0.08688434
-0.039540887,-0.015827784,-0.060368206,0.08688434
-0.0388742,-0.015454895,-0.059145644,0.085214555
-0.038145524,-0.0151332775,-0.05788798,0.083565146
-0.038145524,-0.0151332775,-0.05788798,0.083565146
-0.03747759,-0.014818814,-0.056829043,0.08175856
-0.036782462,-0.014532047,-0.05593175,0.0798844
-0.036782462,-0.014532047,-0.05593175,0.0798844
-0.03611805,-0.014131924,-0.05541003,0.07821585
