timestamp,e_v_x,e_v_y,e_v_a,e_alpha
20.714,[ 0.93010226  0.8558276  -1.28989749],[ 1.16411278  1.08983812 -1.05588697],[4.91865331 4.84437865 2.69865356],[3.69662467]
20.764,[ 0.92197933  0.84770467 -1.29802041],[ 1.15579471  1.08152005 -1.06420504],[4.93231433 4.85803967 2.71231458],[3.70441898]
20.815,[ 0.92292126  0.8486466  -1.29707849],[ 1.16167692  1.08740226 -1.05832283],[4.99952563 4.92525097 2.77952588],[3.70928207]
20.864,[ 0.92735433  0.85307967 -1.29264542],[ 1.15994277  1.08566811 -1.06005698],[5.04720263 4.97292798 2.82720289],[3.6987367]
20.91,[ 0.92674368  0.85246902 -1.29325606],[ 1.16037248  1.08609783 -1.05962726],[5.09496958 5.02069492 2.87496983],[3.68422178]
20.959,[ 0.92461411  0.85033945 -1.29538564],[ 1.16429015  1.09001549 -1.0557096 ],[5.1341697  5.05989504 2.91416995],[3.73200534]
21.009,[ 0.91762883  0.84335417 -1.30237092],[ 1.15359673  1.07932207 -1.06640302],[5.19269603 5.11842137 2.97269628],[3.71554451]
21.062,[ 0.90177718  0.82750252 -1.31822257],[ 1.12573121  1.05145655 -1.09426854],[5.25886355 5.18458889 3.0388638 ],[3.65934038]
21.115,[ 0.8988307   0.82455604 -1.32116905],[ 1.11794624  1.04367159 -1.1020535 ],[5.27312418 5.19884952 3.05312443],[3.61771983]
21.16,[ 0.90947919  0.83520453 -1.31052056],[ 1.14145629  1.06718163 -1.07854346],[5.30860732 5.23433266 3.08860757],[3.66823441]
21.209,[ 0.91146979  0.83719513 -1.30852996],[ 1.16337302  1.08909836 -1.05662673],[5.3213269  5.24705224 3.10132715],[3.69939858]
21.259,[ 0.89574008  0.82146542 -1.32425966],[ 1.1508206   1.07654594 -1.06917915],[5.26473048 5.19045582 3.04473073],[3.69186405]
21.31,[ 0.91339218  0.83911752 -1.30660757],[ 1.16585539  1.09158073 -1.05414435],[5.29374133 5.21946667 3.07374158],[3.67428576]
21.362,[ 0.90958422  0.83530956 -1.31041553],[ 1.16899119  1.09471654 -1.05100855],[5.26757897 5.19330431 3.04757923],[3.68562719]
21.408,[ 0.90194062  0.82766597 -1.31805912],[ 1.17323313  1.09895847 -1.04676662],[5.23473827 5.16046361 3.01473852],[3.70489738]
21.462,[ 0.89486202  0.82058736 -1.32513772],[ 1.18002249  1.10574783 -1.03997726],[5.14958621 5.07531155 2.92958647],[3.71788843]
