timestamp,e_v_x,e_v_y,e_v_a,e_alpha
210.708,[ 1.10818686  1.0339122  -1.11181289],[ 0.87748671  0.80321205 -1.34251304],[4.95233125 4.8780566  2.73233151],[3.21126406]
210.758,[ 1.10662322  1.03234856 -1.11337652],[ 0.8763539   0.80207925 -1.34364584],[4.99234232 4.91806766 2.77234257],[3.21242687]
210.804,[ 1.10599773  1.03172307 -1.11400202],[ 0.87641324  0.80213858 -1.34358651],[5.03428171 4.96000705 2.81428196],[3.21106134]
210.856,[ 1.10773632  1.03346166 -1.11226343],[ 0.8772237   0.80294904 -1.34277605],[5.08769176 5.0134171  2.86769201],[3.21203796]
210.905,[ 1.10743979  1.03316514 -1.11255995],[ 0.87757128  0.80329662 -1.34242846],[5.13247237 5.05819771 2.91247262],[3.21121226]
210.957,[ 1.09679654  1.02252188 -1.12320321],[ 0.86606849  0.79179383 -1.35393126],[5.18205236 5.1077777  2.96205261],[3.21030512]
211.01,[ 1.08432764  1.01005298 -1.13567211],[ 0.85748912  0.78321447 -1.36251062],[5.23337257 5.15909791 3.01337282],[3.21423446]
211.058,[ 1.07734713  1.00307247 -1.14265262],[ 0.8546341   0.78035944 -1.36536565],[5.25965613 5.18538147 3.03965638],[3.22000544]
211.106,[ 1.08093901  1.00666435 -1.13906074],[ 0.85855321  0.78427855 -1.36144654],[5.28025029 5.20597563 3.06025054],[3.2248168]
211.157,[ 1.08651204  1.01223738 -1.13348771],[ 0.86473874  0.79046408 -1.35526101],[5.28538741 5.21111275 3.06538766],[3.22189239]
211.206,[ 1.09266316  1.0183885  -1.12733659],[ 0.87486282  0.80058816 -1.34513693],[5.27337783 5.19910317 3.05337809],[3.22895902]
211.257,[ 1.09764108  1.02336642 -1.12235866],[ 0.8859551   0.81168044 -1.33404465],[5.25818638 5.18391172 3.03818663],[3.23224776]
211.309,[ 1.09877141  1.02449675 -1.12122834],[ 0.89381035  0.81953569 -1.3261894 ],[5.22666092 5.15238626 3.00666117],[3.24125618]
211.358,[ 1.0991107   1.02483604 -1.12088905],[ 0.90183807  0.82756341 -1.31816168],[5.19654888 5.12227422 2.97654914],[3.25020971]
211.407,[ 1.09658387  1.02230921 -1.12341588],[ 0.90609854  0.83182389 -1.3139012 ],[5.15990565 5.08563099 2.9399059 ],[3.25791066]
211.461,[ 1.09129451  1.01701985 -1.12870524],[ 0.90703807  0.83276341 -1.31296168],[5.11544384 5.04116918 2.89544409],[3.26128943]
211.507,[ 1.08363583  1.00936117 -1.13636392],[ 0.90764652  0.83337186 -1.31235323],[5.0754527  5.00117804 2.85545295],[3.26971642]
211.556,[ 1.07713628  1.00286162 -1.14286347],[ 0.90720231  0.83292765 -1.31279744],[5.03417688 4.95990222 2.81417713],[3.26944283]
211.606,[ 1.06388584  0.98961118 -1.15611391],[ 0.90452946  0.8302548  -1.31547029],[4.99000373 4.91572907 2.77000398],[3.27456903]
211.658,[ 1.05856327  0.98428861 -1.16143648],[ 0.90266418  0.82838952 -1.31733557],[4.97303153 4.89875687 2.75303178],[3.26973263]
211.708,[ 1.04151299  0.96723833 -1.17848676],[ 0.89515687  0.82088221 -1.32484288],[4.91046468 4.83619002 2.69046493],[3.27098489]
211.757,[ 1.03058398  0.95630932 -1.18941577],[ 0.89373439  0.81945973 -1.32626536],[4.87721633 4.80294167 2.65721658],[3.27154821]
211.81,[ 1.01712758  0.94285292 -1.20287217],[ 0.89189934  0.81762468 -1.32810041],[4.83231481 4.75804015 2.61231506],[3.27827262]
211.858,[ 1.00632897  0.93205431 -1.21367078],[ 0.89094617  0.81667151 -1.32905358],[4.79035069 4.71607603 2.57035094],[3.28509303]
211.908,[ 0.99778688  0.92351222 -1.22221287],[ 0.88956351  0.81528885 -1.33043623],[4.74591477 4.67164011 2.52591502],[3.28490817]
211.958,[ 0.98648522  0.91221056 -1.23351453],[ 0.88887707  0.81460241 -1.33112268],[4.70292568 4.62865102 2.48292594],[3.29164221]
212.005,[ 0.97606447  0.90178981 -1.24393528],[ 0.88949393  0.81521927 -1.33050582],[4.66565888 4.59138422 2.44565913],[3.30238604]
212.059,[ 0.9655351   0.89126044 -1.25446465],[ 0.88995771  0.81568305 -1.33004204],[4.62425847 4.54998381 2.40425872],[3.3138922]
212.107,[ 0.95603329  0.88175863 -1.26396645],[ 0.89019158  0.81591692 -1.32980817],[4.58055131 4.50627665 2.36055156],[3.32498121]
212.157,[ 0.94831188  0.87403722 -1.27168787],[ 0.89175057  0.81747592 -1.32824917],[4.54097409 4.46669943 2.32097434],[3.34057509]
212.208,[ 0.9401191   0.86584444 -1.27988065],[ 0.89395031  0.81967565 -1.32604944],[4.49500727 4.42073261 2.27500752],[3.36076921]
212.257,[ 0.93507231  0.86079765 -1.28492744],[ 0.89774858  0.82347392 -1.32225117],[4.4553246  4.38104994 2.23532485],[3.38135649]
212.304,[ 0.93049376  0.8562191  -1.28950599],[ 0.89877252  0.82449786 -1.32122723],[4.41627775 4.3420031  2.19627801],[3.39633481]
212.356,[ 0.92547872  0.85120406 -1.29452103],[ 0.895994    0.82171934 -1.32400574],[4.3713496  4.29707494 2.15134985],[3.4004611]
212.403,[ 0.92132287  0.84704821 -1.29867687],[ 0.89363341  0.81935875 -1.32636634],[4.3306037  4.25632904 2.11060395],[3.40398452]
212.458,[ 0.91467847  0.84040381 -1.30532128],[ 0.89336808  0.81909342 -1.32663167],[4.28555499 4.21128034 2.06555525],[3.41218005]
212.508,[ 0.91041384  0.83613918 -1.30958591],[ 0.89371077  0.81943611 -1.32628898],[4.25209938 4.17782473 2.03209964],[3.41297132]
212.555,[ 0.90256911  0.82829445 -1.31743064],[ 0.8901969   0.81592224 -1.32980285],[4.20656807 4.13229341 1.98656832],[3.4153462]
212.61,[ 0.89571752  0.82144286 -1.32428223],[ 0.88853638  0.81426172 -1.33146337],[4.16789114 4.09361649 1.9478914 ],[3.41667303]
212.658,[ 0.88826626  0.8139916  -1.33173349],[ 0.8866575   0.81238284 -1.33334225],[4.1280699  4.05379524 1.90807015],[3.41703805]
212.705,[ 0.88114202  0.80686737 -1.33885772],[ 0.88527734  0.81100269 -1.3347224 ],[4.08935819 4.01508354 1.86935845],[3.4157634]
212.757,[ 0.87219418  0.79791953 -1.34780556],[ 0.88475939  0.81048473 -1.33524036],[4.05132128 3.97704662 1.83132153],[3.42194052]
212.805,[ 0.86250965  0.78823499 -1.3574901 ],[ 0.88352786  0.8092532  -1.33647189],[4.00837226 3.9340976  1.78837251],[3.42523614]
212.855,[ 0.85511199  0.78083733 -1.36488776],[ 0.88463814  0.81036349 -1.3353616 ],[3.97247989 3.89820523 1.75248014],[3.43758095]
212.909,[ 0.84768999  0.77341534 -1.37230975],[ 0.88330009  0.80902543 -1.33669966],[3.93673838 3.86246372 1.71673863],[3.44638741]
212.959,[ 0.84081838  0.76654372 -1.37918136],[ 0.88030011  0.80602545 -1.33969964],[3.89635673 3.82208207 1.67635698],[3.44729708]
213.009,[ 0.83258198  0.75830732 -1.38741777],[ 0.87766762  0.80339296 -1.34233213],[3.85753684 3.78326218 1.6375371 ],[3.45342307]
213.059,[ 0.82509863  0.75082397 -1.39490112],[ 0.87651014  0.80223548 -1.3434896 ],[3.81972203 3.74544737 1.59972228],[3.45839914]
213.105,[ 0.818281    0.74400635 -1.40171874],[ 0.87509948  0.80082482 -1.34490027],[3.78093234 3.70665769 1.5609326 ],[3.46855447]
213.159,[ 0.81124609  0.73697144 -1.40875365],[ 0.87295991  0.79868525 -1.34703984],[3.74237003 3.66809537 1.52237028],[3.47220615]
213.203,[ 0.80482916  0.7305545  -1.41517058],[ 0.8720765   0.79780184 -1.34792325],[3.70758105 3.63330639 1.4875813 ],[3.48117991]
213.254,[ 0.79738982  0.72311516 -1.42260993],[ 0.86851722  0.79424256 -1.35148253],[3.66665577 3.59238111 1.44665603],[3.48601272]
213.304,[ 0.79088647  0.71661181 -1.42911327],[ 0.86451906  0.7902444  -1.35548069],[3.63230644 3.55803178 1.41230669],[3.48552012]
213.362,[ 0.78310311  0.70882846 -1.43689663],[ 0.86008282  0.78580816 -1.35991693],[3.59356935 3.51929469 1.3735696 ],[3.48542527]
213.409,[ 0.77704676  0.7027721  -1.44295299],[ 0.85618209  0.78190744 -1.36381765],[3.55636443 3.48208977 1.33636468],[3.48422131]
213.455,[ 0.77110893  0.69683427 -1.44889082],[ 0.85357879  0.77930413 -1.36642095],[3.52049621 3.44622155 1.30049646],[3.48360213]
213.506,[ 0.76573553  0.69146087 -1.45426422],[ 0.85112351  0.77684885 -1.36887624],[3.48147337 3.40719871 1.26147362],[3.48458127]
213.555,[ 0.75976638  0.68549172 -1.46023337],[ 0.84844958  0.77417492 -1.37155017],[3.4450261  3.37075144 1.22502635],[3.48658394]
213.609,[ 0.7536814   0.67940674 -1.46631834],[ 0.84319523  0.76892057 -1.37680452],[3.40804546 3.3337708  1.18804571],[3.48536728]
213.657,[ 0.74726496  0.6729903  -1.47273478],[ 0.83571114  0.76143648 -1.38428861],[3.37095282 3.29667816 1.15095307],[3.47932007]
213.707,[ 0.74141407  0.66713941 -1.47858568],[ 0.82807766  0.753803   -1.39192209],[3.33573048 3.26145582 1.11573073],[3.46573404]
213.765,[ 0.73517282  0.66089816 -1.48482693],[ 0.82361659  0.74934193 -1.39638316],[3.30068355 3.22640889 1.0806838 ],[3.46676773]
213.807,[ 0.72758329  0.65330863 -1.49241646],[ 0.8188725   0.74459785 -1.40112724],[3.26118677 3.18691211 1.04118702],[3.4724107]
213.857,[ 0.72056389  0.64628923 -1.49943586],[ 0.81283506  0.7385604  -1.40716469],[3.22857031 3.15429565 1.00857056],[3.48012041]
213.903,[ 0.71590392  0.64162926 -1.50409583],[ 0.80453361  0.73025895 -1.41546614],[3.19441431 3.12013965 0.97441456],[3.48050697]
213.955,[ 0.70882418  0.63454952 -1.51117557],[ 0.79559806  0.7213234  -1.42440169],[3.15732341 3.08304875 0.93732366],[3.48234657]
214.008,[ 0.70444451  0.63016985 -1.51555524],[ 0.78988554  0.71561088 -1.43011421],[3.11931827 3.04504361 0.89931852],[3.49037729]
214.054,[ 0.70072234  0.62644768 -1.51927741],[ 0.78297887  0.70870422 -1.43702087],[3.08524098 3.01096632 0.86524124],[3.49427731]
214.11,[ 0.69630566  0.622031   -1.52369409],[ 0.77391141  0.69963675 -1.44608834],[3.04608778 2.97181312 0.82608803],[3.49389845]
214.164,[ 0.69256313  0.61828847 -1.52743662],[ 0.76613717  0.69186251 -1.45386258],[3.00960797 2.93533331 0.78960822],[3.49576816]
214.212,[ 0.68789577  0.61362111 -1.53210397],[ 0.75923462  0.68495996 -1.46076513],[2.97323657 2.89896191 0.75323682],[3.50225456]
214.254,[ 0.68263688  0.60836222 -1.53736287],[ 0.74918083  0.67490617 -1.47081892],[2.93762594 2.86335128 0.71762619],[3.50199747]
214.305,[ 0.67679716  0.6025225  -1.54320259],[ 0.73958712  0.66531246 -1.48041263],[2.90375246 2.82947781 0.68375272],[3.5027359]
214.355,[ 0.67170343  0.59742878 -1.54829631],[ 0.73004442  0.65576976 -1.48995533],[2.8706826  2.79640794 0.65068285],[3.50186345]
214.409,[ 0.66549078  0.59121612 -1.55450897],[ 0.71856698  0.64429232 -1.50143276],[2.83572241 2.76144775 0.61572266],[3.49444946]
214.457,[ 0.66044169  0.58616704 -1.55955805],[ 0.70942775  0.63515309 -1.510572  ],[2.80509314 2.73081848 0.58509339],[3.48651024]
214.505,[ 0.65519719  0.58092253 -1.56480256],[ 0.70174473  0.62747007 -1.51825502],[2.77628208 2.70200742 0.55628233],[3.47863144]
214.557,[ 0.64943214  0.57515749 -1.5705676 ],[ 0.69443943  0.62016477 -1.52556032],[2.74911952 2.67484486 0.52911977],[3.47455188]
214.606,[ 0.6447652   0.57049054 -1.57523455],[ 0.68729475  0.61302009 -1.532705  ],[2.72436596 2.65009131 0.50436622],[3.46901502]
214.658,[ 0.64044746  0.5661728  -1.57955229],[ 0.68005157  0.60577691 -1.53994818],[2.70465193 2.63037727 0.48465219],[3.4654552]
214.708,[ 0.63627306  0.5619984  -1.58372669],[ 0.67288505  0.5986104  -1.54711469],[2.68970096 2.6154263  0.46970121],[3.45502528]
214.754,[ 0.63092765  0.55665299 -1.58907209],[ 0.6662395   0.59196484 -1.55376024],[2.674957   2.60068234 0.45495726],[3.44533517]
214.807,[ 0.6260343   0.55175964 -1.59396545],[ 0.66024813  0.58597347 -1.55975162],[2.66320041 2.58892575 0.44320066],[3.44118109]
214.858,[ 0.62137304  0.54709839 -1.5986267 ],[ 0.65503467  0.58076001 -1.56496507],[2.6548145  2.58053984 0.43481475],[3.43820966]
214.907,[ 0.61694642  0.54267176 -1.60305332],[ 0.6507816   0.57650695 -1.56921814],[2.64602058 2.57174592 0.42602083],[3.43842295]
214.959,[ 0.61423881  0.53996415 -1.60576093],[ 0.64864791  0.57437325 -1.57135184],[2.63842404 2.56414938 0.41842429],[3.44004814]
215.01,[ 0.61002701  0.53575235 -1.60997274],[ 0.64309772  0.56882306 -1.57690203],[2.62972791 2.55545325 0.40972816],[3.44210625]
215.057,[ 0.60705911  0.53278445 -1.61294064],[ 0.63962489  0.56535023 -1.58037486],[2.62539991 2.55112525 0.40540016],[3.4458637]
215.105,[ 0.60197122  0.52769656 -1.61802852],[ 0.63212955  0.55785489 -1.5878702 ],[2.61992181 2.54564715 0.39992207],[3.44551527]
