timestamp,e_v_x,e_v_y,e_v_a,e_alpha
30.111,[-2.50822037e-03 -7.67828792e-02 -3.22250797e+00],[ 0.65618877  0.58191411 -2.56381098],[ 1.33601377  1.26173911 -1.88398598],[4.68386245]
30.16,[-2.11696736e-05 -7.42958285e-02 -3.22002092e+00],[ 0.65373413  0.57945948 -2.56626561],[ 1.38043223  1.30615757 -1.83956752],[4.67750099]
30.214,[-2.54568187e-03 -7.68203407e-02 -3.22254543e+00],[ 0.65550282  0.58122816 -2.56449693],[ 1.43240413  1.35812947 -1.78759562],[4.67880519]
30.266,[-9.22231161e-06 -7.42838811e-02 -3.22000897e+00],[ 0.65497692  0.58070226 -2.56502283],[ 1.47961411  1.40533946 -1.74038563],[4.67300161]
30.31,[-3.77796485e-06 -7.42784368e-02 -3.22000353e+00],[ 0.65214736  0.5778727  -2.56785239],[ 1.52446267  1.45018801 -1.69553708],[4.66811014]
30.362,[ 3.21657648e-06 -7.42714422e-02 -3.21999653e+00],[ 0.65437335  0.58009869 -2.5656264 ],[ 1.5778927   1.50361804 -1.64210705],[4.67395757]
30.412,[ 5.38596945e-04 -7.37360619e-02 -3.21946115e+00],[ 0.64599934  0.57172468 -2.57400041],[ 1.62221449  1.54793983 -1.59778526],[4.64242397]
30.466,[ 0.00454353 -0.06973113 -3.21545622],[ 0.64077089  0.56649624 -2.57922885],[ 1.68061536  1.6063407  -1.53938439],[4.55198941]
30.514,[ 8.46244017e-04 -7.34284148e-02 -3.21915350e+00],[ 0.64399403  0.56971938 -2.57600571],[ 1.72221161  1.64793695 -1.49778814],[4.51941155]
30.564,[-1.38065097e-03 -7.56553098e-02 -3.22138040e+00],[ 0.64419971  0.56992505 -2.57580003],[ 1.76241587  1.68814121 -1.45758388],[4.46188785]
30.617,[-3.43427507e-04 -7.46180863e-02 -3.22034318e+00],[ 0.6377228   0.56344814 -2.58227695],[ 1.7901647   1.71589004 -1.42983505],[4.40365444]
30.663,[ 1.18292413e-03 -7.30917347e-02 -3.21881682e+00],[ 0.64470628  0.57043162 -2.57529347],[ 1.82271862  1.74844397 -1.39728112],[4.37501805]
30.718,[ 1.37295234e-03 -7.29017065e-02 -3.21862680e+00],[ 0.64395711  0.56968245 -2.57604264],[ 1.84555764  1.77128298 -1.37444211],[4.37055796]
30.768,[-0.00442188 -0.07869654 -3.22442163],[ 0.63932153  0.56504688 -2.58067821],[ 1.87066948  1.79639482 -1.34933027],[4.38284619]
30.814,[-0.00794666 -0.08222132 -3.22794641],[ 0.63287127  0.55859661 -2.58712848],[ 1.89314884  1.81887418 -1.32685091],[4.39742714]
30.861,[-0.00995221 -0.08422687 -3.22995196],[ 0.62861218  0.55433752 -2.59138757],[ 1.91246347  1.83818882 -1.30753627],[4.43304412]
30.911,[-0.01196268 -0.08623734 -3.23196242],[ 0.62162399  0.54734933 -2.59837576],[ 1.93096291  1.85668825 -1.28903684],[4.4641018]
30.964,[-0.01439573 -0.08867039 -3.23439548],[ 0.61122786  0.5369532  -2.60877189],[ 1.95050309  1.87622843 -1.26949666],[4.47046713]
31.017,[-0.01743979 -0.09171445 -3.23743954],[ 0.60485914  0.53058449 -2.6151406 ],[ 1.96929466  1.89502001 -1.25070508],[4.48860625]
31.064,[-0.02018068 -0.09445534 -3.24018043],[ 0.59419275  0.51991809 -2.625807  ],[ 1.9890078   1.91473314 -1.23099195],[4.49178097]
31.113,[-0.02326032 -0.09753498 -3.24326006],[ 0.58353044  0.50925578 -2.63646931],[ 2.00872272  1.93444806 -1.21127703],[4.498321]
31.164,[-0.02476723 -0.09904189 -3.24476698],[ 0.57429542  0.50002077 -2.64570432],[ 2.02682432  1.95254966 -1.19317543],[4.50500485]
31.212,[-0.02527415 -0.09954881 -3.2452739 ],[ 0.56503802  0.49076336 -2.65496173],[ 2.04452915  1.97025449 -1.17547059],[4.50790436]
31.267,[-0.02857833 -0.10285298 -3.24857807],[ 0.55385939  0.47958473 -2.66614036],[ 2.06204737  1.98777271 -1.15795238],[4.50831365]
31.318,[-0.0289387  -0.10321336 -3.24893845],[ 0.54080773  0.46653307 -2.67919202],[ 2.07990108  2.00562642 -1.14009866],[4.47383721]
31.365,[-0.02761346 -0.10188812 -3.24761321],[ 0.53185803  0.45758337 -2.68814172],[ 2.09675624  2.02248159 -1.1232435 ],[4.4391549]
31.417,[-0.02602074 -0.1002954  -3.24602049],[ 0.52301402  0.44873936 -2.69698573],[ 2.11325156  2.0389769  -1.10674819],[4.39274237]
31.464,[-0.02372657 -0.09800123 -3.24372632],[ 0.51620925  0.44193459 -2.7037905 ],[ 2.12851079  2.05423613 -1.09148896],[4.3416703]
31.513,[-0.02276045 -0.09703511 -3.2427602 ],[ 0.5101964   0.43592174 -2.70980335],[ 2.14487303  2.07059837 -1.07512672],[4.29167397]
31.561,[-0.02245467 -0.09672933 -3.24245442],[ 0.5033881   0.42911344 -2.71661165],[ 2.1591665   2.08489184 -1.06083325],[4.23856675]
31.611,[-0.02229772 -0.09657238 -3.24229747],[ 0.49566477  0.42139011 -2.72433498],[ 2.17587747  2.10160281 -1.04412228],[4.17235337]
31.665,[-0.02245783 -0.09673249 -3.24245758],[ 0.48851444  0.41423978 -2.73148531],[ 2.19111682  2.11684216 -1.02888293],[4.10061695]
31.715,[-0.02053588 -0.09481054 -3.24053563],[ 0.48439559  0.41012093 -2.73560415],[ 2.20658289  2.13230823 -1.01341686],[4.03300049]
31.767,[-0.01770432 -0.09197898 -3.23770407],[ 0.47862501  0.40435035 -2.74137474],[ 2.22129787  2.14702321 -0.99870188],[3.93225681]
31.818,[-0.0158092  -0.09008386 -3.23580895],[ 0.4702749   0.39600024 -2.74972485],[ 2.23574244  2.16146778 -0.98425731],[3.80365863]
31.864,[-0.01559811 -0.08987277 -3.23559786],[ 0.46174009  0.38746544 -2.75825965],[ 2.25290498  2.17863032 -0.96709477],[3.67761925]
31.912,[-0.01448047 -0.08875512 -3.23448021],[ 0.45501067  0.38073601 -2.76498907],[ 2.26877536  2.1945007  -0.95122439],[3.54851422]
31.962,[-0.01410523 -0.08837989 -3.23410497],[ 0.44822931  0.37395465 -2.77177044],[ 2.28358149  2.20930683 -0.93641826],[3.41805514]
32.015,[-0.01435807 -0.08863273 -3.23435781],[ 0.44242337  0.36814871 -2.77757638],[ 2.29885708  2.22458243 -0.92114266],[3.31113988]
32.062,[-0.01436527 -0.08863993 -3.23436502],[ 0.43742784  0.36315318 -2.78257191],[ 2.31305842  2.23878376 -0.90694132],[3.21552859]
32.115,[-0.01471069 -0.08898535 -3.23471044],[ 0.43114877  0.35687411 -2.78885098],[ 2.32674834  2.25247368 -0.89325141],[3.12249276]
32.161,[-0.01555118 -0.08982584 -3.23555092],[ 0.42508058  0.35080592 -2.79491917],[ 2.34005646  2.2657818  -0.87994329],[3.03057554]
32.216,[-0.01536849 -0.08964315 -3.23536824],[ 0.41961138  0.34533672 -2.80038836],[ 2.35195826  2.2776836  -0.86804149],[2.94434703]
32.266,[-0.01620089 -0.09047554 -3.23620063],[ 0.41275518  0.33848052 -2.80724457],[ 2.36439754  2.29012289 -0.8556022 ],[2.85710845]
32.314,[-0.01792894 -0.0922036  -3.23792869],[ 0.40634804  0.33207338 -2.81365171],[ 2.37698031  2.30270566 -0.84301943],[2.77080343]
32.361,[-0.01869399 -0.09296865 -3.23869374],[ 0.40147049  0.32719584 -2.81852925],[ 2.388093    2.31381835 -0.83190674],[2.68911827]
32.417,[-0.01870156 -0.09297622 -3.23870131],[ 0.39640265  0.32212799 -2.8235971 ],[ 2.39769093  2.32341627 -0.82230881],[2.58062779]
32.463,[-0.01918746 -0.09346212 -3.23918721],[ 0.3915981   0.31732344 -2.82840165],[ 2.40557818  2.33130352 -0.81442157],[2.48793806]
32.515,[-0.02074005 -0.09501471 -3.2407398 ],[ 0.38683573  0.31256107 -2.83316402],[ 2.41966755  2.34539289 -0.8003322 ],[2.39303427]
32.571,[-0.02124524 -0.0955199  -3.24124499],[ 0.38317698  0.30890232 -2.83682277],[ 2.42801337  2.35373872 -0.79198637],[2.28968005]
32.618,[-0.02055079 -0.09482545 -3.24055053],[ 0.38005194  0.30577728 -2.83994781],[ 2.43709701  2.36282235 -0.78290273],[2.18498362]
32.665,[-0.02054688 -0.09482154 -3.24054663],[ 0.37744987  0.30317521 -2.84254988],[ 2.44645937  2.37218471 -0.77354038],[2.06692973]
32.714,[-0.02068055 -0.09495521 -3.2406803 ],[ 0.3768556   0.30258095 -2.84314414],[ 2.45478898  2.38051432 -0.76521077],[1.95889477]
32.766,[-0.01894058 -0.09321524 -3.23894033],[ 0.37386961  0.29959496 -2.84613013],[ 2.46374228  2.38946762 -0.75625746],[1.8616599]
32.814,[-0.01737545 -0.09165011 -3.23737519],[ 0.371566    0.29729134 -2.84843375],[ 2.47308802  2.39881336 -0.74691173],[1.76770293]
32.864,[-0.01565529 -0.08992995 -3.23565504],[ 0.36870003  0.29442537 -2.85129971],[ 2.48192351  2.40764885 -0.73807624],[1.68466899]
32.913,[-0.01287568 -0.08715034 -3.23287542],[ 0.36672912  0.29245446 -2.85327063],[ 2.49262114  2.41834648 -0.72737861],[1.61067992]
32.964,[-0.01091658 -0.08519124 -3.23091633],[ 0.3640606   0.28978594 -2.85593914],[ 2.50140755  2.42713289 -0.7185922 ],[1.54398766]
33.018,[-0.00953367 -0.08380833 -3.22953341],[ 0.3626848   0.28841014 -2.85731495],[ 2.5108855   2.43661084 -0.70911425],[1.49142222]
33.066,[-0.00793825 -0.08221291 -3.227938  ],[ 0.35876483  0.28449017 -2.86123492],[ 2.51949998  2.44522533 -0.70049976],[1.45748781]
33.111,[-3.20310793e-03 -7.74777667e-02 -3.22320286e+00],[ 0.35488797  0.28061331 -2.86511178],[ 2.52947257  2.45519791 -0.69052718],[1.436511]
33.168,[-1.00037781e-03 -7.52750366e-02 -3.22100013e+00],[ 0.35356288  0.27928822 -2.86643687],[ 2.53932991  2.46505526 -0.68066983],[1.4131708]
