timestamp,e_v_x,e_v_y,e_v_a,e_alpha
110.891,[-0.77353489 -0.84780955 -2.99353464],[ 1.29931629  1.22504163 -0.92068346],[4.95483093 4.88055627 2.73483118],[-0.92223357]
110.939,[-0.77340046 -0.84767512 -2.99340021],[ 1.29934923  1.22507457 -0.92065052],[4.9998062  4.92553154 2.77980645],[-0.92272821]
110.988,[-0.77375719 -0.84803185 -2.99375694],[ 1.29972897  1.22545431 -0.92027077],[5.04652179 4.97224713 2.82652204],[-0.92257701]
111.04,[-0.77308855 -0.84736321 -2.9930883 ],[ 1.29980223  1.22552757 -0.92019752],[5.09116879 5.01689413 2.87116904],[-0.92252987]
111.093,[-0.77262554 -0.8469002  -2.99262529],[ 1.29887218  1.22459752 -0.92112757],[5.13843595 5.06416129 2.91843621],[-0.9234566]
111.142,[-0.75090749 -0.82518215 -2.97090724],[ 1.25994642  1.18567176 -0.96005333],[5.19927126 5.1249966  2.97927151],[-0.97701188]
111.191,[-0.72880432 -0.80307898 -2.94880407],[ 1.23185457  1.15757991 -0.98814518],[5.26103133 5.18675667 3.04103158],[-1.14730723]
111.237,[-0.73225305 -0.80652771 -2.9522528 ],[ 1.23211699  1.15784234 -0.98788275],[5.30837419 5.23409953 3.08837444],[-1.40220527]
111.292,[-0.75695871 -0.83123337 -2.97695846],[ 1.23763323  1.16335857 -0.98236652],[5.32675644 5.25248178 3.10675669],[-1.67709644]
111.343,[-0.80758122 -0.88185588 -3.02758097],[ 1.23237152  1.15809686 -0.98762823],[5.34413331 5.26985865 3.12413356],[-1.85398452]
111.388,[-0.8278038  -0.90207846 -3.04780354],[ 1.27103512  1.19676047 -0.94896462],[5.3122521  5.23797744 3.09225235],[-1.84277268]
111.443,[-0.86499109 -0.93926574 -3.08499083],[ 1.2861889   1.21191424 -0.93381085],[5.26333967 5.18906501 3.04333992],[-1.68925188]
111.495,[-0.85415548 -0.92843014 -3.07415523],[ 1.30337317  1.22909851 -0.91662658],[5.20983167 5.13555701 2.98983192],[-1.52056492]
111.542,[-0.81211574 -0.8863904  -3.03211549],[ 1.30507406  1.2307994  -0.91492569],[5.15903407 5.08475941 2.93903432],[-1.39811744]
111.588,[-0.7933221  -0.86759675 -3.01332184],[ 1.3041431   1.22986844 -0.91585665],[5.09318448 5.01890982 2.87318473],[-1.26527924]
111.64,[-0.78037715 -0.85465181 -3.0003769 ],[ 1.29728554  1.22301088 -0.9227142 ],[5.01135    4.93707535 2.79135026],[-1.1511103]
