timestamp,e_v_x,e_v_y,e_v_a,e_alpha
59.736,[ 1.00529758  0.93102292 -3.21470216],[ 1.15803735  1.08376269 -3.0619624 ],[7.02640488 6.95213023 2.80640514],[3.57903303]
59.787,[ 1.00297496  0.9287003  -3.21702479],[ 1.15649861  1.08222395 -3.06350114],[7.06044268 6.98616802 2.84044294],[3.57303762]
59.834,[ 1.00183541  0.92756075 -3.21816434],[ 1.15432343  1.08004877 -3.06567632],[7.09518933 7.02091467 2.87518958],[3.56798784]
59.887,[ 1.00438284  0.93010818 -3.21561691],[ 1.15913619  1.08486153 -3.06086355],[7.16963098 7.09535632 2.94963123],[3.56555501]
59.933,[ 1.00326625  0.92899159 -3.21673349],[ 1.1570187   1.08274404 -3.06298105],[7.19784621 7.12357155 2.97784646],[3.56387242]
59.985,[ 0.99210315  0.91782849 -3.2278966 ],[ 1.15590386  1.0816292  -3.06409588],[7.26167664 7.18740198 3.0416769 ],[3.6013215]
60.034,[ 0.9491248   0.87485014 -3.27087495],[ 1.15780415  1.08352949 -3.0621956 ],[7.32142768 7.24715302 3.10142793],[3.75684708]
60.086,[ 0.9407502   0.86647554 -3.27924954],[ 1.16379839  1.08952373 -3.05620136],[7.36994293 7.29566827 3.14994318],[3.86193941]
60.138,[ 0.94381963  0.86954497 -3.27618012],[ 1.16428544  1.09001078 -3.05571431],[7.37731548 7.30304082 3.15731573],[3.90783778]
60.186,[ 0.95441043  0.88013577 -3.26558931],[ 1.17359404  1.09931938 -3.04640571],[7.40121781 7.32694315 3.18121806],[3.96363207]
60.236,[ 0.96456348  0.89028882 -3.25543627],[ 1.17717067  1.10289602 -3.04282907],[7.40106716 7.3267925  3.18106741],[3.97993763]
60.286,[ 0.98081098  0.90653633 -3.23918876],[ 1.18508951  1.11081485 -3.03491024],[7.41166287 7.33738821 3.19166312],[3.97676148]
60.335,[ 0.9931692   0.91889454 -3.22683055],[ 1.18637676  1.1121021  -3.03362299],[7.40516604 7.33089138 3.18516629],[3.95959412]
