timestamp,e_v_x,e_v_y,e_v_a,e_alpha
353.018,[-0.0096318  -0.08390645 -4.22963154],[ 0.66602216  0.5917475  -3.55397759],[5.19386287 5.11958821 0.97386312],[4.69234476]
353.09,[-4.03110780e-03 -7.83057666e-02 -4.22403086e+00],[ 0.66984692  0.59557226 -3.55015283],[5.30056929 5.22629463 1.08056954],[4.68761283]
353.157,[ 1.96626032e-05 -7.42549962e-02 -4.21998008e+00],[ 0.67363019  0.59935553 -3.54636956],[5.33054487 5.25627021 1.11054513],[4.68900232]
353.239,[ 1.78698966e-05 -7.42567889e-02 -4.21998188e+00],[ 0.66573853  0.59146388 -3.55426121],[5.37505061 5.30077595 1.15505086],[4.69751999]
353.313,[-2.28820856e-03 -7.65628674e-02 -4.22228796e+00],[ 0.65743504  0.58316038 -3.56256471],[5.35255672 5.27828206 1.13255697],[4.65413415]
353.388,[-0.00433059 -0.07860525 -4.22433034],[ 0.66629489  0.59202023 -3.55370486],[5.51601457 5.44173991 1.29601482],[4.68015213]
353.472,[ 1.33276679e-05 -7.42613311e-02 -4.21998642e+00],[ 0.66920131  0.59492665 -3.55079844],[5.62668773 5.55241307 1.40668798],[4.68171289]
353.558,[ 1.19045899e-05 -7.42627542e-02 -4.21998784e+00],[ 0.66919823  0.59492357 -3.55080151],[5.62668819 5.55241353 1.40668845],[4.68170879]
353.641,[ 1.06898808e-05 -7.42639689e-02 -4.21998906e+00],[ 0.66794849  0.59367383 -3.55205125],[5.70537125 5.63109659 1.4853715 ],[4.68170482]
353.725,[-0.00690154 -0.08117619 -4.22690128],[ 0.67397151  0.59969685 -3.54602824],[5.75683826 5.6825636  1.53683851],[4.67762027]
353.811,[-0.01071227 -0.08498693 -4.23071202],[ 0.67142934  0.59715468 -3.54857041],[5.76790195 5.6936273  1.54790221],[4.72275084]
353.892,[-0.00968643 -0.08396108 -4.22968617],[ 0.6601217   0.58584704 -3.55987805],[5.80833578 5.73406112 1.58833603],[4.69559825]
353.973,[-1.41478766e-03 -7.56894465e-02 -4.22141454e+00],[ 0.66419151  0.58991685 -3.55580824],[5.85940855 5.78513389 1.6394088 ],[4.67234779]
354.07,[ 6.37323082e-06 -7.42682856e-02 -4.21999337e+00],[ 0.66444706  0.59017241 -3.55555268],[5.93633526 5.8620606  1.71633552],[4.67347519]
354.155,[-1.98417972e-03 -7.62588385e-02 -4.22198393e+00],[ 0.59641651  0.52214185 -3.62358323],[5.96711795 5.89284329 1.7471182 ],[4.50003811]
354.239,[-0.00666813 -0.08094279 -4.22666788],[ 0.41539646  0.3411218  -3.80460329],[5.9923296  5.91805494 1.77232986],[3.90836519]
354.316,[-0.01548345 -0.08975811 -4.23548319],[ 0.29478904  0.22051438 -3.92521071],[6.13191147 6.05763681 1.91191172],[3.45829001]
354.395,[-0.03609592 -0.11037058 -4.25609567],[ 0.23131174  0.15703708 -3.98868801],[6.19846046 6.1241858  1.97846071],[3.28376332]
354.494,[-0.04969375 -0.12396841 -4.2696935 ],[ 0.24928079  0.17500613 -3.97071896],[6.19596768 6.12169302 1.97596793],[3.40910075]
354.575,[-0.04453499 -0.11880965 -4.26453474],[ 0.27013698  0.19586232 -3.94986277],[6.33325911 6.25898445 2.11325936],[3.46411593]
354.663,[-0.03207044 -0.1063451  -4.25207019],[ 0.31339702  0.23912236 -3.90660273],[6.37937639 6.30510173 2.15937665],[3.61065509]
354.741,[-0.01614369 -0.09041835 -4.23614344],[ 0.38303831  0.30876365 -3.83696144],[6.3653568  6.29108214 2.14535705],[3.84577109]
354.817,[ 0.00564783 -0.06862683 -4.21435192],[ 0.52484773  0.45057307 -3.69515202],[6.37080525 6.29653059 2.1508055 ],[4.23936179]
354.901,[ 0.01018926 -0.0640854  -4.20981049],[ 0.6529437   0.57866905 -3.56705604],[6.52763193 6.45335727 2.30763218],[4.60235482]
354.983,[ 0.00583009 -0.06844456 -4.21416965],[ 0.72157333  0.64729867 -3.49842642],[6.54994463 6.47566997 2.32994488],[4.77763903]
355.063,[-1.16940010e-03 -7.54440589e-02 -4.22116915e+00],[ 0.76154118  0.68726652 -3.45845857],[6.70426611 6.62999145 2.48426636],[-1.41008842]
355.138,[-0.02097079 -0.09524545 -4.24097054],[ 0.81760699  0.74333233 -3.40239276],[6.73485534 6.66058068 2.51485559],[-1.27984345]
355.224,[-0.04086917 -0.11514383 -4.26086892],[ 0.86480145  0.79052679 -3.3551983 ],[6.72907306 6.6547984  2.50907331],[-1.18151023]
355.31,[-0.07236787 -0.14664253 -4.29236762],[ 0.91004991  0.83577525 -3.30994983],[6.72353115 6.64925649 2.5035314 ],[-1.08528586]
355.388,[-0.09951754 -0.1737922  -4.31951729],[ 0.92870637  0.85443171 -3.29129338],[6.83573397 6.76145931 2.61573422],[-1.03957139]
355.461,[-0.1090464  -0.18332106 -4.32904615],[ 0.91880332  0.84452866 -3.30119643],[6.82918403 6.75490937 2.60918428],[-1.03272777]
355.549,[-0.10626705 -0.18054171 -4.3262668 ],[ 0.89742261  0.82314795 -3.32257714],[6.84740376 6.77312911 2.62740402],[-1.05511018]
355.629,[-0.08305292 -0.15732758 -4.30305267],[ 0.8794422   0.80516754 -3.34055754],[7.08240029 7.00812564 2.86240055],[-1.11034859]
355.711,[-0.07064008 -0.14491474 -4.29063983],[ 0.85519849  0.78092383 -3.36480125],[7.19683254 7.12255788 2.97683279],[-1.15949348]
355.784,[-0.05815773 -0.13243239 -4.27815748],[ 0.82519362  0.75091897 -3.39480612],[7.21726487 7.14299021 2.99726512],[-1.21701655]
355.859,[-0.04268178 -0.11695644 -4.26268152],[ 0.78466331  0.71038865 -3.43533643],[7.22177598 7.14750132 3.00177623],[-1.30059035]
355.93,[-0.02942019 -0.10369485 -4.24941993],[ 0.74919364  0.67491898 -3.4708061 ],[7.22572478 7.15145012 3.00572503],[-1.38239694]
356.007,[-0.0180224  -0.09229706 -4.23802215],[ 0.71312615  0.6388515  -3.50687359],[7.34266077 7.26838611 3.12266102],[4.8127728]
356.094,[-0.02639829 -0.10067294 -4.24639803],[ 0.66233072  0.58805607 -3.55766902],[7.47861613 7.40434147 3.25861638],[4.69120307]
356.17,[-0.02761863 -0.10189329 -4.24761838],[ 0.61694294  0.54266829 -3.6030568 ],[7.50939343 7.43511877 3.28939368],[4.60653186]
356.25,[-0.01938072 -0.09365538 -4.23938047],[ 0.56882609  0.49455143 -3.65117366],[7.5830066  7.50873194 3.36300685],[4.46690313]
356.334,[ 0.00810844 -0.06616622 -4.21189131],[ 0.51580751  0.44153285 -3.70419224],[7.67196167 7.59768702 3.45196193],[4.24525816]
356.423,[ 0.01544556 -0.0588291  -4.20455419],[ 0.50647714  0.43220248 -3.71352261],[7.65926851 7.58499385 3.43926877],[4.18482841]
356.502,[ 0.01602147 -0.05825319 -4.20397828],[ 0.51716363  0.44288898 -3.70283611],[7.80571633 7.73144168 3.58571659],[4.23250122]
356.576,[ 0.0184638  -0.05581086 -4.20153595],[ 0.53804703  0.46377237 -3.68195272],[7.83518457 7.76090991 3.61518482],[4.29293618]
356.649,[ 0.02737861 -0.04689605 -4.19262114],[ 0.56378379  0.48950913 -3.65621595],[8.02303864 7.94876398 3.80303889],[4.29865501]
356.717,[ 0.0290196  -0.04525506 -4.19098014],[ 0.61726734  0.54299268 -3.60273241],[8.08687404 8.01259938 3.86687429],[4.43346041]
356.785,[ 0.03886744 -0.03540722 -4.18113231],[ 0.7200849   0.64581024 -3.49991485],[8.06223135 7.98795669 3.8422316 ],[4.59124292]
356.859,[ 0.04321169 -0.03106297 -4.17678806],[ 0.88800615  0.81373149 -3.3319936 ],[8.10876325 8.03448859 3.8887635 ],[-1.4382028]
356.935,[ 0.0324482  -0.04182646 -4.18755155],[ 1.03122253  0.95694787 -3.18877722],[8.11445178 8.04017712 3.89445203],[-1.28073207]
357.011,[ 0.03089373 -0.04338093 -4.18910602],[ 1.17190803  1.09763337 -3.04809171],[8.05050082 7.97622616 3.83050108],[-1.13801021]
357.088,[ 0.00606931 -0.06820535 -4.21393044],[ 1.17078308  1.09650842 -3.04921667],[8.01732414 7.94304948 3.79732439],[-1.09207199]
357.166,[-0.02784409 -0.10211875 -4.24784384],[ 1.1477725   1.07349784 -3.07222725],[8.00448027 7.93020561 3.78448052],[-1.04980529]
357.245,[-0.06042274 -0.13469739 -4.28042248],[ 1.08017991  1.00590525 -3.13981984],[7.98358085 7.90930619 3.7635811 ],[-1.04951356]
357.32,[-0.09941595 -0.17369061 -4.3194157 ],[ 0.97558928  0.90131463 -3.24441046],[7.97040459 7.89612993 3.75040485],[-1.06967502]
357.401,[-0.13138558 -0.20566023 -4.35138532],[ 0.85151383  0.77723917 -3.36848592],[7.96039059 7.88611593 3.74039084],[-1.12349758]
357.477,[-0.15641138 -0.23068604 -4.37641113],[ 0.73286382  0.65858917 -3.48713592],[7.92769314 7.85341848 3.70769339],[-1.20479662]
357.545,[-0.16569696 -0.23997162 -4.38569671],[ 0.63839045  0.56411579 -3.58160929],[7.88402846 7.8097538  3.66402871],[-1.30955585]
357.618,[-0.09045496 -0.16472962 -4.31045471],[ 0.35909957  0.28482491 -3.86090018],[7.68041355 7.60613889 3.4604138 ],[4.04047723]
357.692,[-0.05664719 -0.13092185 -4.27664693],[ 0.33327699  0.25900233 -3.88672276],[7.63876894 7.56449428 3.41876919],[3.79424923]
357.764,[-0.0149809  -0.08925556 -4.23498064],[ 0.30640753  0.23213288 -3.91359221],[7.60892181 7.53464715 3.38892207],[3.53371069]
357.841,[ 0.04233876 -0.0319359  -4.17766099],[ 0.29857253  0.22429787 -3.92142722],[7.54070002 7.46642536 3.32070027],[3.31188812]
357.913,[ 0.06382994 -0.01044472 -4.15616981],[ 0.30691371  0.23263905 -3.91308604],[7.51846719 7.44419253 3.29846744],[3.24952545]
357.981,[ 0.06583218 -0.00844248 -4.15416757],[ 0.29648812  0.22221346 -3.92351163],[7.48782021 7.41354555 3.26782046],[3.19283369]
358.064,[ 0.03217876 -0.0420959  -4.18782098],[ 0.30626135  0.23198669 -3.9137384 ],[7.39716327 7.32288861 3.17716352],[3.17288058]
358.132,[-0.00633346 -0.08060812 -4.22633321],[ 0.30054155  0.22626689 -3.9194582 ],[7.39375986 7.31948521 3.17376012],[3.22722689]
358.202,[-0.05673326 -0.13100792 -4.27673301],[ 0.29750828  0.22323362 -3.92249147],[7.34346635 7.26919169 3.12346661],[3.29104941]
358.269,[-0.10996157 -0.18423623 -4.32996132],[ 0.35153306  0.2772584  -3.86846669],[7.27742573 7.20315107 3.05742598],[3.74340984]
358.351,[-0.11102956 -0.18530422 -4.33102931],[ 0.35683285  0.28255819 -3.8631669 ],[7.25890118 7.18462652 3.03890144],[3.74259533]
358.433,[-0.09664307 -0.17091773 -4.31664282],[ 0.36445757  0.29018291 -3.85554217],[7.22820916 7.1539345  3.00820941],[3.63307954]
358.509,[-0.07853511 -0.15280977 -4.29853486],[ 0.37610646  0.3018318  -3.84389329],[7.21493165 7.14065699 2.9949319 ],[3.53917497]
358.589,[-0.06214356 -0.13641822 -4.28214331],[ 0.38592704  0.31165238 -3.83407271],[7.17875847 7.10448381 2.95875872],[3.4431115]
358.669,[-0.04886022 -0.12313488 -4.26885997],[ 0.41956511  0.34529045 -3.80043463],[7.1375848  7.06331014 2.91758505],[3.4376647]
358.739,[-0.04016231 -0.11443696 -4.26016205],[ 0.43397971  0.35970505 -3.78602004],[7.11111077 7.03683611 2.89111102],[3.42127067]
358.807,[-0.04145495 -0.11572961 -4.2614547 ],[ 0.44874323  0.37446857 -3.77125651],[7.08753897 7.01326431 2.86753923],[3.48781566]
358.885,[-0.05836454 -0.1326392  -4.27836429],[ 0.43652023  0.36224557 -3.78347952],[6.96341911 6.88914445 2.74341936],[3.11338832]
358.962,[-0.06936621 -0.14364087 -4.28936596],[ 0.43447274  0.36019808 -3.78552701],[6.93205615 6.85778149 2.71205641],[2.88227968]
359.05,[-0.07113464 -0.1454093  -4.29113438],[ 0.38722109  0.31294643 -3.83277866],[6.99015321 6.91587855 2.77015347],[2.37372207]
359.131,[-0.07014523 -0.14441989 -4.29014498],[ 0.3094101   0.23513544 -3.91058965],[6.85774179 6.78346713 2.63774204],[2.20918401]
359.21,[-0.06628849 -0.14056314 -4.28628823],[ 0.28019921  0.20592455 -3.93980054],[6.8346153  6.76034064 2.61461555],[2.12941228]
359.284,[-0.06556881 -0.13984347 -4.28556856],[ 0.27214573  0.19787108 -3.94785401],[6.81091765 6.73664299 2.5909179 ],[2.09628479]
359.358,[-0.0537192  -0.12799385 -4.27371894],[ 0.2484379   0.17416324 -3.97156185],[6.75531669 6.68104204 2.53531695],[2.05067987]
359.438,[-0.05863481 -0.13290947 -4.27863456],[ 0.26963287  0.19535821 -3.95036688],[6.72764802 6.65337336 2.50764827],[2.01070685]
359.503,[-0.06032217 -0.13459683 -4.28032192],[ 0.26868399  0.19440933 -3.95131576],[6.70195309 6.62767843 2.48195334],[1.97227539]
359.583,[-0.04367526 -0.11794992 -4.26367501],[ 0.23953895  0.16526429 -3.9804608 ],[6.6569733  6.58269864 2.43697355],[1.99032647]
359.66,[-0.04230445 -0.11657911 -4.2623042 ],[ 0.23611058  0.16183592 -3.98388917],[6.63313248 6.55885783 2.41313274],[1.97546457]
359.736,[-0.04131478 -0.11558944 -4.26131453],[ 0.25179967  0.17752501 -3.96820008],[6.60615411 6.53187945 2.38615436],[1.93322897]
