timestamp,e_v_x,e_v_y,e_v_a,e_alpha
97.268,[ 1.03942258  0.96514792 -2.18057717],[ 1.08217271  1.00789805 -2.13782704],[4.73724353 4.66296887 1.51724379],[3.43887052]
97.336,[ 1.03925211  0.96497745 -2.18074763],[ 1.08235799  1.00808333 -2.13764175],[4.78372339 4.70944873 1.56372365],[3.43661437]
97.408,[ 1.03901283  0.96473817 -2.18098692],[ 1.08254872  1.00827407 -2.13745102],[4.83056892 4.75629426 1.61056917],[3.43933988]
97.481,[ 1.03924211  0.96496745 -2.18075764],[ 1.08194038  1.00766572 -2.13805936],[4.87757735 4.80330269 1.6575776 ],[3.4385127]
97.548,[ 1.03955224  0.96527758 -2.18044751],[ 1.0833277   1.00905304 -2.13667204],[4.92786474 4.85359008 1.70786499],[3.44135575]
97.615,[ 1.03912888  0.96485422 -2.18087086],[ 1.08354451  1.00926985 -2.13645524],[4.97469514 4.90042048 1.75469539],[3.43865673]
97.683,[ 1.0391611   0.96488644 -2.18083865],[ 1.08304346  1.0087688  -2.13695629],[5.01942146 4.9451468  1.79942171],[3.44005562]
97.753,[ 1.03899893  0.96472427 -2.18100082],[ 1.08328119  1.00900653 -2.13671855],[5.06652379 4.99224913 1.84652404],[3.44226646]
97.817,[ 1.0386891   0.96441445 -2.18131064],[ 1.08348364  1.00920898 -2.13651611],[5.11475773 5.04048307 1.89475798],[3.44124591]
97.883,[ 1.03862697  0.96435231 -2.18137278],[ 1.08333074  1.00905608 -2.13666901],[5.16015452 5.08587986 1.94015477],[3.44202791]
97.957,[ 0.99291306  0.9186384  -2.22708669],[ 1.02786096  0.9535863  -2.19213879],[5.24250359 5.16822893 2.02250384],[3.41997685]
98.029,[ 0.85709662  0.78282196 -2.36290312],[ 0.86314005  0.78886539 -2.3568597 ],[5.41971183 5.34543717 2.19971208],[3.35672654]
98.101,[ 0.72790966  0.653635   -2.49209009],[ 0.70706989  0.63279523 -2.51292986],[5.55167665 5.477402   2.33167691],[3.29908455]
98.168,[ 0.67339425  0.59911959 -2.5466055 ],[ 0.64886942  0.57459476 -2.57113033],[5.62490669 5.55063203 2.40490694],[3.29314895]
98.23,[ 0.65152272  0.57724806 -2.56847703],[ 0.63195957  0.55768491 -2.58804018],[5.67812202 5.60384736 2.45812227],[3.30482659]
98.3,[ 0.66918902  0.59491436 -2.55081073],[ 0.64662322  0.57234856 -2.57337653],[5.7174247  5.64315004 2.49742495],[3.30076239]
98.367,[ 0.71021674  0.63594208 -2.50978301],[ 0.66855152  0.59427687 -2.55144822],[5.74350689 5.66923223 2.52350714],[3.25661745]
98.439,[ 0.73895687  0.66468221 -2.48104287],[ 0.67927364  0.60499898 -2.5407261 ],[5.82086046 5.7465858  2.60086072],[3.22384378]
98.511,[ 0.77942782  0.70515316 -2.44057193],[ 0.70176444  0.62748979 -2.5182353 ],[5.8502634  5.77598874 2.63026365],[3.18692187]
98.585,[ 0.88818026  0.8139056  -2.33181949],[ 0.80523235  0.73095769 -2.4147674 ],[5.8355     5.76122534 2.61550025],[3.17324593]
98.648,[ 0.95862879  0.88435413 -2.26137096],[ 0.88866557  0.81439091 -2.33133418],[5.84818816 5.7739135  2.62818842],[3.19992115]
98.722,[ 1.01904581  0.94477115 -2.20095394],[ 0.9672851   0.89301044 -2.25271464],[5.85830124 5.78402658 2.63830149],[3.24011688]
98.796,[ 1.06609811  0.99182345 -2.15390164],[ 1.03227585  0.95800119 -2.1877239 ],[5.87759134 5.80331669 2.6575916 ],[3.2680588]
98.882,[ 1.10942683  1.03515218 -2.11057291],[ 1.12405518  1.04978052 -2.09594457],[5.88613561 5.81186095 2.66613586],[3.37121875]
98.95,[ 1.11029593  1.03602127 -2.10970382],[ 1.16545669  1.09118203 -2.05454306],[5.93478819 5.86051354 2.71478845],[3.46353327]
99.02,[ 1.10064676  1.0263721  -2.11935299],[ 1.20251767  1.12824301 -2.01748208],[5.96431141 5.89003675 2.74431166],[3.57731758]
99.091,[ 1.09790427  1.02362961 -2.12209548],[ 1.31489589  1.24062123 -1.90510386],[6.03361986 5.9593452  2.81362011],[3.86469364]
99.165,[ 1.09893409  1.02465943 -2.12106566],[ 1.37972039  1.30544573 -1.84027936],[6.07906383 6.00478917 2.85906409],[4.03749098]
99.237,[ 1.10289921  1.02862455 -2.11710054],[ 1.39426137  1.31998671 -1.82573837],[6.10956534 6.03529068 2.88956559],[4.07389284]
99.306,[ 1.10952031  1.03524565 -2.11047943],[ 1.38695493  1.31268027 -1.83304482],[6.20651637 6.13224171 2.98651662],[4.0293172]
99.376,[ 1.10545372  1.03117906 -2.11454603],[ 1.31677559  1.24250093 -1.90322416],[6.28484913 6.21057447 3.06484938],[3.84764119]
99.441,[ 1.09521683  1.02094217 -2.12478292],[ 1.2629444   1.18866975 -1.95705534],[6.34159538 6.26732072 3.12159563],[3.73026111]
99.505,[ 1.09137961  1.01710496 -2.12862013],[ 1.22456311  1.15028845 -1.99543664],[6.4322485  6.35797384 3.21224875],[3.64811566]
99.571,[ 1.09511426  1.0208396  -2.12488549],[ 1.20668793  1.13241327 -2.01331182],[6.48794317 6.41366852 3.26794343],[3.59593701]
99.645,[ 1.09473471  1.02046006 -2.12526503],[ 1.17668866  1.10241401 -2.04331108],[6.55766881 6.48339415 3.33766906],[3.5227675]
99.719,[ 1.30028431  1.22600965 -1.91971544],[ 1.36382917  1.28955452 -1.85617057],[6.61429279 6.54001813 3.39429304],[3.45726941]
99.787,[ 1.397896    1.32362134 -1.82210375],[ 1.43385984  1.35958518 -1.78613991],[6.56016055 6.48588589 3.3401608 ],[3.38057191]
99.858,[ 1.46246843  1.38819378 -1.75753131],[ 1.48163969  1.40736503 -1.73836006],[6.53802086 6.46374621 3.31802112],[3.33670552]
99.925,[ 1.46378572  1.38951106 -1.75621403],[ 1.45442959  1.38015494 -1.76557015],[6.53480447 6.46052981 3.31480472],[3.273263]
99.997,[ 1.43830725  1.36403259 -1.7816925 ],[ 1.42230279  1.34802814 -1.79769695],[6.53457894 6.46030428 3.31457919],[3.26901383]
100.062,[ 1.39147814  1.31720349 -1.8285216 ],[ 1.38759131  1.31331665 -1.83240844],[6.53880472 6.46453006 3.31880497],[3.29139476]
100.128,[ 1.29281998  1.21854532 -1.92717977],[ 1.33152456  1.2572499  -1.88847519],[6.54941807 6.47514341 3.32941832],[3.36808121]
100.192,[ 1.21296598  1.13869133 -2.00703376],[ 1.31175199  1.23747734 -1.90824775],[6.5680675  6.49379284 3.34806775],[3.50235266]
100.266,[ 1.15175271  1.07747805 -2.06824703],[ 1.3075425   1.23326784 -1.91245725],[6.54144977 6.46717511 3.32145002],[3.63167156]
100.339,[ 1.0325524   0.95827774 -2.18744735],[ 1.26003183  1.18575717 -1.95996792],[6.48732321 6.41304856 3.26732347],[3.80684926]
100.405,[ 0.95294103  0.87866637 -2.26705872],[ 1.21793986  1.14366521 -2.00205988],[6.47064866 6.396374   3.25064891],[3.90600084]
100.471,[ 0.88434522  0.81007056 -2.33565453],[ 1.17881066  1.104536   -2.04118909],[6.4514665  6.37719184 3.23146675],[3.99166083]
100.534,[ 0.78872822  0.71445356 -2.43127152],[ 1.05707566  0.982801   -2.16292409],[6.38920055 6.31492589 3.16920081],[3.91341842]
100.598,[ 0.77717103  0.70289637 -2.44282872],[ 1.02190341  0.94762875 -2.19809634],[6.33842063 6.26414597 3.11842088],[3.8485703]
100.66,[ 0.77285554  0.69858088 -2.4471442 ],[ 0.99464842  0.92037376 -2.22535132],[6.30841515 6.23414049 3.08841541],[3.79168355]
100.724,[ 0.76097446  0.6866998  -2.45902528],[ 0.81507461  0.74079995 -2.40492514],[6.12972168 6.05544702 2.90972193],[3.44216745]
100.788,[ 0.80944311  0.73516845 -2.41055664],[ 0.77825433  0.70397967 -2.44174542],[6.08881749 6.01454283 2.86881774],[3.30323852]
100.867,[ 0.89269198  0.81841732 -2.32730776],[ 0.76677497  0.69250031 -2.45322478],[6.03607929 5.96180463 2.81607954],[3.15519341]
100.937,[ 0.91833038  0.84405573 -2.30166936],[ 0.75463233  0.68035767 -2.46536741],[5.91198644 5.83771178 2.69198669],[3.10736506]
100.999,[ 0.93543009  0.86115543 -2.28456966],[ 0.78829726  0.71402261 -2.43170248],[5.86016713 5.78589247 2.64016738],[3.10955344]
101.066,[ 0.94648149  0.87220683 -2.27351826],[ 0.83315035  0.75887569 -2.3868494 ],[5.80882059 5.73454593 2.58882084],[3.12999124]
101.138,[ 0.94171247  0.86743781 -2.27828728],[ 0.87093875  0.79666409 -2.349061  ],[5.76171537 5.68744071 2.54171562],[3.18086488]
