timestamp,e_v_x,e_v_y,e_v_a,e_alpha
185.268,[-1.04096676e-03 -7.53156256e-02 -4.22104071e+00],[ 0.65744103  0.58316637 -3.56255872],[6.93674117 6.86246651 2.71674142],[4.69935746]
185.32,[-1.07066384e-05 -7.42853654e-02 -4.22001045e+00],[ 0.67350395  0.59922929 -3.5464958 ],[7.10629074 7.03201609 2.886291  ],[4.68672424]
185.368,[-1.01231248e-05 -7.42847819e-02 -4.22000987e+00],[ 0.67349801  0.59922335 -3.54650173],[7.10629143 7.03201677 2.88629168],[4.68670918]
185.422,[-9.69849905e-06 -7.42843573e-02 -4.22000945e+00],[ 0.67217802  0.59790336 -3.54782173],[7.23430252 7.16002786 3.01430277],[4.6866951]
185.471,[-9.09700313e-06 -7.42837558e-02 -4.22000884e+00],[ 0.67217288  0.59789822 -3.54782687],[7.23430309 7.16002844 3.01430335],[4.68668206]
185.518,[-8.50584828e-06 -7.42831647e-02 -4.22000825e+00],[ 0.67216818  0.59789352 -3.54783156],[7.23430362 7.16002896 3.01430387],[4.68667006]
185.569,[-7.93380844e-06 -7.42825926e-02 -4.22000768e+00],[ 0.67216392  0.59788926 -3.54783582],[7.23430409 7.16002943 3.01430434],[4.68665909]
185.621,[-7.51700959e-06 -7.42821758e-02 -4.22000726e+00],[ 0.67057921  0.59630455 -3.54942053],[7.36461937 7.29034471 3.14461962],[4.68664912]
185.669,[-6.99510901e-06 -7.42816539e-02 -4.22000674e+00],[ 0.67057568  0.59630102 -3.54942407],[7.36461975 7.29034509 3.14462   ],[4.68664007]
185.72,[-6.51067710e-06 -7.42811695e-02 -4.22000626e+00],[ 0.67057249  0.59629783 -3.54942726],[7.36462009 7.29034543 3.14462034],[4.68663187]
185.768,[-6.03894231e-06 -7.42806978e-02 -4.22000579e+00],[ 0.66617478  0.59190012 -3.55382497],[7.34146269 7.26718803 3.12146294],[4.66252765]
185.818,[-1.83802338e-03 -7.61126822e-02 -4.22183777e+00],[ 0.65452461  0.58024995 -3.56547514],[7.49441143 7.42013677 3.27441169],[4.70162002]
185.869,[-5.48327314e-06 -7.42801421e-02 -4.22000523e+00],[ 0.66744962  0.59317496 -3.55255013],[7.64243362 7.56815896 3.42243387],[4.67630998]
185.918,[-5.14038191e-06 -7.42797992e-02 -4.22000489e+00],[ 0.66744732  0.59317266 -3.55255242],[7.64243386 7.5681592  3.42243411],[4.67630392]
185.965,[-4.83028192e-06 -7.42794891e-02 -4.22000458e+00],[ 0.66744519  0.59317053 -3.55255456],[7.64243408 7.56815943 3.42243434],[4.67629832]
186.019,[-4.54802138e-06 -7.42792068e-02 -4.22000430e+00],[ 0.6674432   0.59316854 -3.55255655],[7.64243429 7.56815963 3.42243455],[4.6762931]
186.067,[-4.36662062e-06 -7.42790254e-02 -4.22000411e+00],[ 0.66591683  0.59164217 -3.55408292],[7.79078985 7.71651519 3.5707901 ],[4.67628821]
186.118,[-4.11936748e-06 -7.42787782e-02 -4.22000387e+00],[ 0.66591503  0.59164037 -3.55408471],[7.79079003 7.71651537 3.57079028],[4.67628362]
186.168,[-3.88456876e-06 -7.42785434e-02 -4.22000363e+00],[ 0.66591335  0.59163869 -3.5540864 ],[7.7907902  7.71651554 3.57079045],[4.67627929]
186.219,[-3.65776148e-06 -7.42783166e-02 -4.22000341e+00],[ 0.66591177  0.59163711 -3.55408798],[7.79079036 7.7165157  3.57079061],[4.67627522]
186.267,[-3.46076057e-06 -7.42781196e-02 -4.22000321e+00],[ 0.66438902  0.59011436 -3.55561073],[7.89016017 7.81588551 3.67016042],[4.67627141]
186.318,[-3.27195645e-06 -7.42779308e-02 -4.22000302e+00],[ 0.6640734   0.58979874 -3.55592635],[7.94202369 7.86774904 3.72202395],[4.67626786]
186.369,[-3.04671768e-06 -7.42777055e-02 -4.22000279e+00],[ 0.66407214  0.58979748 -3.55592761],[7.94202381 7.86774916 3.72202407],[4.67626459]
186.418,[-2.82055660e-06 -7.42774794e-02 -4.22000257e+00],[ 0.66407102  0.58979636 -3.55592873],[7.94202392 7.86774926 3.72202417],[4.67626161]
186.47,[-1.13593724e-03 -7.54105960e-02 -4.22113568e+00],[ 0.6852206   0.61094595 -3.53477914],[8.25747511 8.18320045 4.03747536],[4.70579536]
186.519,[-3.30810928e-03 -7.75827681e-02 -4.22330786e+00],[ 0.63578331  0.56150865 -3.58421644],[8.27154853 8.19727387 4.05154878],[4.59626894]
186.573,[-3.95404244e-03 -7.82287012e-02 -4.22395379e+00],[ 0.58873572  0.51446106 -3.63126403],[8.28336334 8.20908868 4.06336359],[4.43839433]
186.621,[ 1.21096030e-03 -7.30636985e-02 -4.21878879e+00],[ 0.59187461  0.51759995 -3.62812513],[8.29827981 8.22400515 4.07828006],[4.36425659]
186.669,[ 0.00434648 -0.06992818 -4.21565326],[ 0.6060491   0.53177445 -3.61395064],[8.26076906 8.1864944  4.04076931],[4.28540306]
186.729,[ 0.01485648 -0.05941818 -4.20514327],[ 0.61050447  0.53622981 -3.60949527],[8.17317993 8.09890527 3.95318018],[4.18795502]
186.788,[ 0.00686168 -0.06741298 -4.21313807],[ 0.64162115  0.56734649 -3.5783786 ],[8.30789471 8.23362005 4.08789496],[4.20175008]
186.845,[ 4.68342477e-04 -7.38063163e-02 -4.21953141e+00],[ 0.68045999  0.60618533 -3.53953976],[8.30022984 8.22595518 4.08023009],[4.27460716]
186.903,[-0.01557792 -0.08985258 -4.23557767],[ 0.71283056  0.6385559  -3.50716919],[8.27982672 8.20555206 4.05982697],[4.43147928]
186.954,[-0.03197526 -0.10624992 -4.25197501],[ 0.71213247  0.63785781 -3.50786728],[8.24611047 8.17183581 4.02611073],[-1.77963887]
187.005,[-0.0463548  -0.12062946 -4.26635455],[ 0.71114668  0.63687202 -3.50885307],[8.20515045 8.13087579 3.9851507 ],[4.56515903]
187.049,[-0.05050425 -0.12477891 -4.270504  ],[ 0.71259561  0.63832095 -3.50740414],[8.20315993 8.12888527 3.98316018],[-1.63501697]
187.093,[-0.05507722 -0.12935188 -4.27507697],[ 0.7009045   0.62662984 -3.51909525],[8.15650051 8.08222585 3.93650076],[-1.58804003]
187.136,[-0.04769469 -0.12196935 -4.26769444],[ 0.68317405  0.60889939 -3.5368257 ],[8.15130907 8.07703441 3.93130933],[4.70302662]
187.179,[-0.04000391 -0.11427857 -4.26000366],[ 0.66324025  0.5889656  -3.55675949],[8.10833078 8.03405612 3.88833103],[4.68534012]
187.224,[-0.03524243 -0.10951708 -4.25524217],[ 0.65571342  0.58143876 -3.56428632],[8.10328388 8.02900923 3.88328414],[4.69417876]
187.267,[-0.03437664 -0.1086513  -4.25437638],[ 0.63859275  0.56431809 -3.58140699],[8.06412889 7.98985424 3.84412915],[4.68479598]
187.313,[-0.03947984 -0.1137545  -4.25947959],[ 0.62944912  0.55517446 -3.59055063],[8.02660684 7.95233218 3.80660709],[4.70904812]
187.364,[-0.05217545 -0.12645011 -4.2721752 ],[ 0.62425865  0.549984   -3.59574109],[8.00038134 7.92610668 3.78038159],[4.76314311]
187.416,[-0.05335398 -0.12762863 -4.27335372],[ 0.61643836  0.5421637  -3.60356139],[7.97212321 7.89784855 3.75212346],[4.79125712]
187.465,[-0.05013173 -0.12440639 -4.27013148],[ 0.60291772  0.52864306 -3.61708202],[7.95226967 7.87799501 3.73226992],[4.77715069]
187.512,[-0.04786633 -0.12214099 -4.26786608],[ 0.57346218  0.49918752 -3.64653757],[7.91912936 7.8448547  3.69912961],[4.72731181]
187.569,[-0.04895597 -0.12323063 -4.26895572],[ 0.55854864  0.48427398 -3.66145111],[7.88722601 7.81295135 3.66722626],[4.69045852]
187.616,[-0.04703459 -0.12130925 -4.26703434],[ 0.53357508  0.45930043 -3.68642466],[7.84779931 7.77352465 3.62779956],[4.61138074]
187.674,[-0.04561062 -0.11988528 -4.26561037],[ 0.50650969  0.43223503 -3.71349006],[7.82246204 7.74818738 3.60246229],[4.49799645]
187.72,[-0.04293546 -0.11721012 -4.26293521],[ 0.50133308  0.42705842 -3.71866667],[7.80708696 7.7328123  3.58708721],[4.45445598]
187.771,[-0.04128011 -0.11555477 -4.26127985],[ 0.49256267  0.41828802 -3.72743707],[7.7626315  7.68835684 3.54263175],[4.38176785]
187.819,[-0.04031702 -0.11459168 -4.26031677],[ 0.48771161  0.41343695 -3.73228814],[7.7232582  7.64898355 3.50325846],[4.33332168]
187.866,[-0.03994385 -0.1142185  -4.25994359],[ 0.48426573  0.40999107 -3.73573402],[7.70679034 7.63251569 3.4867906 ],[4.27833855]
187.916,[-0.04393522 -0.11820988 -4.26393496],[ 0.47942622  0.40515156 -3.74057352],[7.67365668 7.59938202 3.45365694],[4.23934937]
187.967,[-0.05286928 -0.12714394 -4.27286903],[ 0.47240687  0.39813221 -3.74759288],[7.64052737 7.56625271 3.42052762],[4.21898448]
188.017,[-0.06074738 -0.13502204 -4.28074713],[ 0.4640924   0.38981774 -3.75590734],[7.60187251 7.52759785 3.38187276],[4.18568699]
188.065,[-0.06893754 -0.1432122  -4.28893729],[ 0.46062745  0.38635279 -3.75937229],[7.58510541 7.51083075 3.36510566],[4.16874815]
188.122,[-0.07153735 -0.14581201 -4.2915371 ],[ 0.4540717   0.37979704 -3.76592805],[7.56383864 7.48956398 3.34383889],[4.11170789]
188.171,[-0.07687618 -0.15115083 -4.29687592],[ 0.45705463  0.38277997 -3.76294512],[7.51707579 7.44280114 3.29707605],[4.13553413]
188.219,[-0.08232019 -0.15659485 -4.30231994],[ 0.45751335  0.3832387  -3.76248639],[7.4925837  7.41830904 3.27258395],[4.14519086]
188.266,[-0.08758527 -0.16185993 -4.30758502],[ 0.46056842  0.38629376 -3.75943133],[7.45410684 7.37983218 3.2341071 ],[4.20050413]
188.317,[-0.09314737 -0.16742203 -4.31314712],[ 0.46086623  0.38659157 -3.75913352],[7.41581784 7.34154318 3.19581809],[4.21473024]
188.369,[-0.09461895 -0.16889361 -4.3146187 ],[ 0.45550162  0.38122696 -3.76449813],[7.39468951 7.32041485 3.17468977],[4.21330618]
188.421,[-0.09227904 -0.16655369 -4.31227878],[ 0.44896597  0.37469131 -3.77103378],[7.35828695 7.28401229 3.1382872 ],[4.16984328]
188.468,[-0.09172349 -0.16599815 -4.31172324],[ 0.44386812  0.36959346 -3.77613163],[7.31843957 7.24416491 3.09843982],[4.14622595]
188.519,[-0.09177906 -0.16605372 -4.31177881],[ 0.43871162  0.36443696 -3.78128813],[7.29814904 7.22387438 3.07814929],[4.0995486]
188.569,[-0.08936957 -0.16364423 -4.30936932],[ 0.43343949  0.35916483 -3.78656026],[7.26769898 7.19342432 3.04769923],[4.03865547]
188.616,[-0.08789985 -0.16217451 -4.3078996 ],[ 0.4291113   0.35483664 -3.79088844],[7.23178947 7.15751481 3.01178973],[3.98398069]
188.667,[-0.08809701 -0.16237167 -4.30809676],[ 0.42486916  0.3505945  -3.79513059],[7.16223824 7.08796358 2.94223849],[3.93587829]
188.714,[-0.08943819 -0.16371285 -4.30943794],[ 0.42178776  0.34751311 -3.79821198],[7.1636738  7.08939914 2.94367405],[3.90885855]
188.764,[-0.08831133 -0.16258599 -4.30831108],[ 0.41422015  0.33994549 -3.8057796 ],[7.13183627 7.05756161 2.91183652],[3.79072616]
188.817,[-0.08546282 -0.15973748 -4.30546257],[ 0.40408983  0.32981517 -3.81590992],[7.0987837  7.02450904 2.87878395],[3.6204099]
188.871,[-0.08237778 -0.15665244 -4.30237753],[ 0.39282468  0.31855002 -3.82717507],[7.06061718 6.98634252 2.84061743],[3.41537858]
188.92,[-0.07954471 -0.15381937 -4.29954446],[ 0.38340853  0.30913387 -3.83659122],[7.05014619 6.97587154 2.83014645],[3.22215701]
188.969,[-0.07479539 -0.14907005 -4.29479514],[ 0.37313808  0.29886342 -3.84686167],[7.02060649 6.94633184 2.80060675],[3.01896274]
189.019,[-0.07257442 -0.14684908 -4.29257416],[ 0.36578574  0.29151108 -3.85421401],[6.99592285 6.92164819 2.7759231 ],[2.88489382]
189.067,[-0.07085213 -0.14512679 -4.29085188],[ 0.35965356  0.2853789  -3.86034619],[6.96598962 6.89171496 2.74598987],[2.75790304]
189.113,[-0.07072535 -0.14500001 -4.29072509],[ 0.35485501  0.28058035 -3.86514474],[6.94070183 6.86642717 2.72070208],[2.63751555]
189.165,[-0.07258633 -0.14686099 -4.29258608],[ 0.35303325  0.27875859 -3.86696649],[6.94593004 6.87165538 2.72593029],[2.63987881]
189.218,[-0.07112436 -0.14539902 -4.29112411],[ 0.34487898  0.27060432 -3.87512077],[6.87272805 6.79845339 2.6527283 ],[2.29014795]
189.266,[-0.07313253 -0.14740719 -4.29313228],[ 0.33762934  0.26335468 -3.88237041],[6.85095667 6.77668201 2.63095693],[2.29026066]
