timestamp,e_v_x,e_v_y,e_v_a,e_alpha
1179.225,[ 1.24556177  1.17128711 -1.97443798],[ 0.19729329  0.12301864 -3.02270645],[4.26926801 4.19499335 1.04926826],[2.93843506]
1179.291,[ 1.2464713   1.17219664 -1.97352844],[ 0.19751466  0.12324    -3.02248509],[4.31971992 4.24544526 1.09972018],[2.93899041]
1179.366,[ 1.24499136  1.1707167  -1.97500839],[ 0.19796755  0.1236929  -3.02203219],[4.40826111 4.33398646 1.18826137],[2.94015083]
1179.437,[ 1.24632454  1.17204988 -1.97367521],[ 0.19844363  0.12416898 -3.02155611],[4.46097312 4.38669846 1.24097337],[2.94040934]
1179.512,[ 1.2461781   1.17190344 -1.97382164],[ 0.19819438  0.12391972 -3.02180537],[4.50651646 4.43224181 1.28651672],[2.93735062]
1179.587,[ 1.24706437  1.17278971 -1.97293537],[ 0.19873836  0.1244637  -3.02126139],[4.55808272 4.48380806 1.33808297],[2.93948918]
1179.663,[ 1.24588099  1.17160633 -1.97411876],[ 0.19884537  0.12457071 -3.02115437],[4.60198065 4.52770599 1.3819809 ],[2.94071646]
1179.73,[ 1.24576371  1.17148905 -1.97423604],[ 0.19873627  0.12446162 -3.02126347],[4.69504306 4.6207684  1.47504331],[2.94031641]
1179.804,[ 1.24597945  1.17170479 -1.9740203 ],[ 0.19958808  0.12531342 -3.02041167],[4.74398616 4.6697115  1.52398641],[2.94145159]
1179.881,[ 1.24576553  1.17149087 -1.97423422],[ 0.19921439  0.12493973 -3.02078536],[4.78927449 4.71499983 1.56927474],[2.93841558]
1179.957,[ 1.24551148  1.17123682 -1.97448827],[ 0.19984285  0.12556819 -3.0201569 ],[4.83554417 4.76126951 1.61554442],[2.94058557]
1180.027,[ 1.24595956  1.1716849  -1.97404018],[ 0.19977036  0.1254957  -3.02022939],[4.88465149 4.81037683 1.66465174],[2.94021051]
1180.104,[ 1.24485218  1.17057752 -1.97514757],[ 0.19994155  0.12566689 -3.0200582 ],[4.92832938 4.85405472 1.70832963],[2.94193098]
1180.174,[ 1.24587958  1.17160492 -1.97412017],[ 0.20069125  0.12641659 -3.0193085 ],[5.02723921 4.95296455 1.80723946],[2.93958196]
