timestamp,e_v_x,e_v_y,e_v_a,e_alpha
621.7,[-0.0047239  -0.07899856 -2.22472365],[ 0.65607005  0.58179539 -1.56392969],[ 1.27629317  1.20201852 -0.94370657],[4.70733711]
621.749,[-0.0048756  -0.07915026 -2.22487535],[ 0.65542855  0.58115389 -1.5645712 ],[ 1.32412867  1.24985401 -0.89587108],[4.70643862]
621.802,[-0.00496468 -0.07923933 -2.22496442],[ 0.65443066  0.580156   -1.56556909],[ 1.36925454  1.29497988 -0.85074521],[4.70501569]
621.852,[-0.00495461 -0.07922927 -2.22495436],[ 0.6541685   0.57989384 -1.56583125],[ 1.41718764  1.34291298 -0.80281211],[4.70258567]
621.902,[-0.00489381 -0.07916847 -2.22489356],[ 0.65401836  0.5797437  -1.56598139],[ 1.46342212  1.38914746 -0.75657763],[4.70065422]
621.954,[-0.00502433 -0.07929899 -2.22502408],[ 0.65286856  0.5785939  -1.56713119],[ 1.50898055  1.43470589 -0.7110192 ],[4.69945565]
622.007,[-0.00494052 -0.07921518 -2.22494027],[ 0.6525081   0.57823344 -1.56749165],[ 1.55583349  1.48155883 -0.66416626],[4.69994422]
622.052,[-0.00495668 -0.07923133 -2.22495642],[ 0.6507035   0.57642884 -1.56929625],[ 1.60244317  1.52816851 -0.61755658],[4.69510591]
622.11,[-0.00812252 -0.08239718 -2.22812227],[ 0.63761782  0.56334316 -1.58238193],[ 1.65722267  1.58294801 -0.56277708],[4.65306089]
622.156,[-0.00770447 -0.08197913 -2.22770421],[ 0.62900218  0.55472752 -1.59099757],[ 1.70586633  1.63159167 -0.51413341],[4.58277072]
622.202,[-0.0064336  -0.08070825 -2.22643334],[ 0.62865081  0.55437615 -1.59134893],[ 1.74627743  1.67200277 -0.47372231],[4.5200364]
622.253,[-0.00597004 -0.0802447  -2.22596979],[ 0.632119    0.55784434 -1.58788075],[ 1.77954948  1.70527482 -0.44045027],[4.45990962]
622.303,[-0.00610171 -0.08037637 -2.22610146],[ 0.63445995  0.5601853  -1.58553979],[ 1.80588767  1.73161301 -0.41411208],[4.39882336]
622.354,[-0.00884425 -0.08311891 -2.228844  ],[ 0.6338296   0.55955494 -1.58617015],[ 1.82793093  1.75365627 -0.39206882],[4.34524927]
622.406,[-0.01646008 -0.09073474 -2.23645983],[ 0.63165785  0.55738319 -1.5883419 ],[ 1.84445201  1.77017736 -0.37554773],[4.31884056]
622.453,[-0.02476928 -0.09904394 -2.24476903],[ 0.6274374   0.55316274 -1.59256235],[ 1.85678197  1.78250731 -0.36321778],[4.32017887]
622.502,[-0.03297579 -0.10725045 -2.25297554],[ 0.62177745  0.54750279 -1.5982223 ],[ 1.86348661  1.78921195 -0.35651313],[4.34890856]
622.553,[-0.03942111 -0.11369577 -2.25942086],[ 0.61022818  0.53595352 -1.60977157],[ 1.86881068  1.79453602 -0.35118906],[4.38040615]
622.603,[-0.0461609  -0.12043556 -2.26616065],[ 0.60453655  0.53026189 -1.6154632 ],[ 1.86529347  1.79101882 -0.35470627],[4.466935]
622.653,[-0.05028655 -0.12456121 -2.2702863 ],[ 0.59211578  0.51784112 -1.62788397],[ 1.86312277  1.78884811 -0.35687698],[4.52786818]
622.706,[-0.05442924 -0.1287039  -2.27442899],[ 0.57307733  0.49880267 -1.64692242],[ 1.86193627  1.78766161 -0.35806348],[4.5596216]
