timestamp,e_v_x,e_v_y,e_v_a,e_alpha
220.889,[ 1.14843757  1.07416291 -2.07156218],[ 0.8936646   0.81938995 -2.32633514],[6.03901692 5.96474226 2.81901717],[3.21299706]
220.937,[ 1.14808846  1.0738138  -2.07191129],[ 0.89316358  0.81888892 -2.32683617],[6.08469566 6.010421   2.86469591],[3.21319738]
220.988,[ 1.14761361  1.07333895 -2.07238614],[ 0.8929376   0.81866294 -2.32706215],[6.1273824  6.05310774 2.90738265],[3.21364752]
221.037,[ 1.14608565  1.07181099 -2.0739141 ],[ 0.89141068  0.81713602 -2.32858907],[6.16850102 6.09422636 2.94850127],[3.20934578]
221.09,[ 1.1470956   1.07282094 -2.07290414],[ 0.89283554  0.81856088 -2.32716421],[6.22005511 6.14578045 3.00005537],[3.2112141]
221.136,[ 1.14745948  1.07318482 -2.07254027],[ 0.89376119  0.81948653 -2.32623856],[6.26945217 6.19517751 3.04945242],[3.21186122]
221.188,[ 1.14761544  1.07334078 -2.07238431],[ 0.89321622  0.81894156 -2.32678353],[6.31751269 6.24323803 3.09751294],[3.21435594]
221.235,[ 1.12845198  1.05417733 -2.09154776],[ 0.87187205  0.79759739 -2.3481277 ],[6.37121171 6.29693705 3.15121196],[3.21011629]
221.287,[ 1.11009209  1.03581743 -2.10990765],[ 0.85287025  0.77859559 -2.3671295 ],[6.42603392 6.35175926 3.20603417],[3.2037651]
221.334,[ 1.0944436   1.02016894 -2.12555614],[ 0.84764365  0.77336899 -2.3723561 ],[6.46929129 6.39501663 3.24929154],[3.21707055]
221.385,[ 1.09405265  1.01977799 -2.1259471 ],[ 0.85520033  0.78092567 -2.36479942],[6.50181337 6.42753872 3.28181363],[3.23764009]
221.437,[ 1.10431633  1.03004168 -2.11568341],[ 0.86816774  0.79389308 -2.351832  ],[6.52492845 6.45065379 3.3049287 ],[3.25211641]
221.485,[ 1.11421373  1.03993907 -2.10578602],[ 0.87337577  0.79910111 -2.34662398],[6.53174608 6.45747142 3.31174633],[3.25115655]
221.534,[ 1.12841356  1.0541389  -2.09158619],[ 0.88243688  0.80816222 -2.33756287],[6.54082955 6.4665549  3.32082981],[3.24959288]
221.586,[ 1.13666193  1.06238727 -2.08333782],[ 0.89106999  0.81679533 -2.32892976],[6.52450686 6.45023221 3.30450712],[3.2484488]
221.637,[ 1.14479213  1.07051748 -2.07520761],[ 0.90254056  0.8282659  -2.31745919],[6.51144319 6.43716854 3.29144345],[3.24598696]
221.684,[ 1.15128515  1.07701049 -2.0687146 ],[ 0.91180157  0.83752692 -2.30819817],[6.48988329 6.41560863 3.26988354],[3.24277325]
221.737,[ 1.15006309  1.07578843 -2.06993666],[ 0.91470522  0.84043057 -2.30529452],[6.4601598  6.38588514 3.24016005],[3.23989311]
221.785,[ 1.14705808  1.07278342 -2.07294167],[ 0.9138234   0.83954874 -2.30617635],[6.4434049  6.36913024 3.22340515],[3.23878137]
221.833,[ 1.13806078  1.06378612 -2.08193897],[ 0.907183    0.83290834 -2.31281675],[6.41261068 6.33833602 3.19261093],[3.23126082]
221.886,[ 1.12493771  1.05066306 -2.09506203],[ 0.89556005  0.82128539 -2.32443969],[6.38067613 6.30640147 3.16067639],[3.23128831]
221.934,[ 1.11262368  1.03834902 -2.10737606],[ 0.88157537  0.80730071 -2.33842438],[6.36524445 6.29096979 3.14524471],[3.21918595]
221.985,[ 1.09728943  1.02301477 -2.12271032],[ 0.86554209  0.79126743 -2.35445766],[6.34065596 6.2663813  3.12065621],[3.21001864]
222.036,[ 1.08292992  1.00865526 -2.13706983],[ 0.84824046  0.7739658  -2.37175928],[6.32390122 6.24962656 3.10390147],[3.19580504]
222.084,[ 1.06774771  0.99347305 -2.15225204],[ 0.83699559  0.76272093 -2.38300416],[6.30971311 6.23543845 3.08971336],[3.19455528]
222.13,[ 1.05222635  0.97795169 -2.1677734 ],[ 0.82232663  0.74805197 -2.39767312],[6.29305248 6.21877782 3.07305273],[3.19249178]
222.182,[ 1.03592958  0.96165492 -2.18407017],[ 0.80582475  0.73155009 -2.414175  ],[6.26926096 6.1949863  3.04926121],[3.19036656]
222.231,[ 1.01900852  0.94473386 -2.20099123],[ 0.789353    0.71507834 -2.43064675],[6.24391812 6.16964346 3.02391837],[3.19125798]
222.284,[ 1.00371614  0.92944148 -2.21628361],[ 0.77717059  0.70289593 -2.44282916],[6.22854415 6.15426949 3.0085444 ],[3.19137416]
222.333,[ 0.98953158  0.91525693 -2.23046816],[ 0.76326955  0.68899489 -2.4567302 ],[6.20681225 6.13253759 2.98681251],[3.19371318]
222.382,[ 0.97788492  0.90361027 -2.24211482],[ 0.75299197  0.67871731 -2.46700778],[6.19032849 6.11605383 2.97032874],[3.20262445]
222.434,[ 0.967273    0.89299834 -2.25272675],[ 0.74709101  0.67281635 -2.47290874],[6.16233878 6.08806413 2.94233904],[3.21499779]
222.483,[ 0.95715244  0.88287778 -2.26284731],[ 0.73857726  0.6643026  -2.48142249],[6.13338251 6.05910785 2.91338276],[3.2281997]
222.534,[ 0.95179226  0.8775176  -2.26820749],[ 0.73204502  0.65777036 -2.48795473],[6.11272865 6.03845399 2.8927289 ],[3.23832008]
222.584,[ 0.94750872  0.87323406 -2.27249103],[ 0.72741073  0.65313607 -2.49258902],[6.09485115 6.02057649 2.87485141],[3.25095208]
222.631,[ 0.94366024  0.86938558 -2.27633951],[ 0.72269638  0.64842172 -2.49730337],[6.07191757 5.99764291 2.85191782],[3.25955544]
222.682,[ 0.9401644   0.86588974 -2.27983535],[ 0.71729706  0.6430224  -2.50270269],[6.04718251 5.97290785 2.82718276],[3.2627607]
222.732,[ 0.93878265  0.86450799 -2.2812171 ],[ 0.71339946  0.6391248  -2.50660029],[6.02169055 5.94741589 2.8016908 ],[3.26543405]
222.783,[ 0.93630066  0.862026   -2.28369908],[ 0.70896081  0.63468615 -2.51103894],[6.00093216 5.9266575  2.78093241],[3.26494493]
222.831,[ 0.93193933  0.85766467 -2.28806042],[ 0.70347396  0.6291993  -2.51652579],[5.97322286 5.8989482  2.75322311],[3.26685467]
222.88,[ 0.92823435  0.85395969 -2.2917654 ],[ 0.69787874  0.62360408 -2.52212101],[5.95345996 5.8791853  2.73346022],[3.26406924]
222.933,[ 0.9237147   0.84944004 -2.29628505],[ 0.69220132  0.61792667 -2.52779842],[5.93565405 5.86137939 2.7156543 ],[3.26046913]
222.981,[ 0.91768981  0.84341515 -2.30230994],[ 0.68580287  0.61152821 -2.53419687],[5.91703008 5.84275542 2.69703033],[3.2517186]
223.034,[ 0.91097284  0.83669819 -2.3090269 ],[ 0.6808224   0.60654774 -2.53917735],[5.89949555 5.82522089 2.67949581],[3.25063954]
223.084,[ 0.90268496  0.8284103  -2.31731479],[ 0.67427958  0.60000492 -2.54572017],[5.87669859 5.80242393 2.65669884],[3.24621521]
223.133,[ 0.89487683  0.82060217 -2.32512292],[ 0.66712119  0.59284653 -2.55287856],[5.8593459  5.78507124 2.63934615],[3.24168647]
223.188,[ 0.88533186  0.8110572  -2.33466788],[ 0.65977169  0.58549704 -2.56022805],[5.8380452  5.76377054 2.61804546],[3.24162072]
223.244,[ 0.87859194  0.80431728 -2.34140781],[ 0.65403541  0.57976076 -2.56596433],[5.82388027 5.74960561 2.60388052],[3.23821306]
223.289,[ 0.86749399  0.79321933 -2.35250576],[ 0.64541903  0.57114438 -2.57458071],[5.80248671 5.72821205 2.58248696],[3.23956869]
223.34,[ 0.85967081  0.78539615 -2.36032894],[ 0.63574228  0.56146762 -2.58425746],[5.7904886  5.71621394 2.57048886],[3.22691758]
223.383,[ 0.85109364  0.77681898 -2.36890611],[ 0.62854005  0.55426539 -2.59145969],[5.78031934 5.70604468 2.56031959],[3.22592771]
223.432,[ 0.84198467  0.76771001 -2.37801508],[ 0.6213809   0.54710624 -2.59861885],[5.76877661 5.69450195 2.54877686],[3.22391823]
223.49,[ 0.83182438  0.75754972 -2.38817537],[ 0.61439888  0.54012422 -2.60560087],[5.75571371 5.68143905 2.53571397],[3.22689012]
223.537,[ 0.82284694  0.74857228 -2.3971528 ],[ 0.60808996  0.53381531 -2.61190978],[5.73190521 5.65763055 2.51190546],[3.22862151]
223.59,[ 0.81224161  0.73796695 -2.40775814],[ 0.60062121  0.52634656 -2.61937853],[5.71806752 5.64379286 2.49806777],[3.23485956]
223.643,[ 0.80427157  0.72999691 -2.41572818],[ 0.59430733  0.52003267 -2.62569241],[5.7028671  5.62859244 2.48286735],[3.24199016]
223.689,[ 0.79674579  0.72247113 -2.42325396],[ 0.58835379  0.51407913 -2.63164596],[5.68720463 5.61292997 2.46720488],[3.25397471]
223.738,[ 0.79185805  0.71758339 -2.4281417 ],[ 0.58074055  0.50646589 -2.6392592 ],[5.67148836 5.59721371 2.45148862],[3.25377051]
223.792,[ 0.78372713  0.70945248 -2.43627261],[ 0.57198023  0.49770557 -2.64801952],[5.65576011 5.58148545 2.43576036],[3.25967063]
223.837,[ 0.77828233  0.70400767 -2.44171742],[ 0.56459506  0.4903204  -2.65540469],[5.63939502 5.56512036 2.41939527],[3.25827718]
223.891,[ 0.77203467  0.69776001 -2.44796508],[ 0.5581191   0.48384444 -2.66188064],[5.6247966  5.55052194 2.40479685],[3.26041976]
223.94,[ 0.76636277  0.69208811 -2.45363698],[ 0.55248655  0.47821189 -2.66751319],[5.61149788 5.53722322 2.39149814],[3.2598828]
223.988,[ 0.75863965  0.684365   -2.46136009],[ 0.54388585  0.46961119 -2.6761139 ],[5.5921849  5.51791024 2.37218515],[3.26395308]
224.043,[ 0.7525109   0.67823624 -2.46748885],[ 0.53769003  0.46341537 -2.68230972],[5.57989712 5.50562246 2.35989737],[3.26373135]
224.092,[ 0.74477029  0.67049563 -2.47522946],[ 0.53026167  0.45598701 -2.68973808],[5.56041526 5.4861406  2.34041551],[3.26370744]
224.139,[ 0.73656564  0.66229099 -2.4834341 ],[ 0.52329044  0.44901578 -2.69670931],[5.54899147 5.47471681 2.32899172],[3.26735785]
224.192,[ 0.73011311  0.65583845 -2.48988664],[ 0.51794373  0.44366908 -2.70205601],[5.5316443  5.45736964 2.31164455],[3.26978014]
224.24,[ 0.7202083   0.64593364 -2.49979145],[ 0.50944058  0.43516592 -2.71055917],[5.52040647 5.44613181 2.30040672],[3.27428545]
224.287,[ 0.71103312  0.63675846 -2.50896663],[ 0.50220157  0.42792691 -2.71779818],[5.50217838 5.42790372 2.28217863],[3.2794081]
224.34,[ 0.7041132   0.62983854 -2.51588655],[ 0.49787727  0.42360261 -2.72212247],[5.48806277 5.41378811 2.26806302],[3.28433306]
224.394,[ 0.69447079  0.62019613 -2.52552896],[ 0.48815704  0.41388238 -2.73184271],[5.47271747 5.39844281 2.25271772],[3.28429835]
224.439,[ 0.68508168  0.61080702 -2.53491806],[ 0.47804549  0.40377083 -2.74195426],[5.46264915 5.3883745  2.24264941],[3.28604476]
224.487,[ 0.67778981  0.60351515 -2.54220994],[ 0.4692572   0.39498254 -2.75074255],[5.44816046 5.37388581 2.22816072],[3.27736544]
224.536,[ 0.66938703  0.59511237 -2.55061272],[ 0.46196769  0.38769303 -2.75803205],[5.43190415 5.35762949 2.2119044 ],[3.2745661]
224.588,[ 0.66192509  0.58765043 -2.55807466],[ 0.45629461  0.38201995 -2.76370514],[5.42217186 5.3478972  2.20217211],[3.26643979]
224.637,[ 0.65394859  0.57967393 -2.56605116],[ 0.45081943  0.37654477 -2.76918031],[5.40387011 5.32959545 2.18387036],[3.25891347]
224.687,[ 0.64630633  0.57203167 -2.57369342],[ 0.44852536  0.3742507  -2.77147439],[5.39424489 5.31997023 2.17424515],[3.25784687]
224.744,[ 0.63804475  0.56377009 -2.58195499],[ 0.44359872  0.36932406 -2.77640103],[5.37855434 5.30427969 2.1585546 ],[3.25468176]
224.791,[ 0.62900145  0.55472679 -2.59099829],[ 0.44199844  0.36772378 -2.77800131],[5.36458914 5.29031448 2.14458939],[3.25671906]
224.835,[ 0.62083413  0.54655947 -2.59916562],[ 0.43842682  0.36415216 -2.78157293],[5.34583718 5.27156252 2.12583743],[3.25745409]
224.886,[ 0.61283336  0.5385587  -2.60716639],[ 0.43730199  0.36302733 -2.78269776],[5.32930609 5.25503143 2.10930634],[3.26440489]
224.937,[ 0.60444712  0.53017247 -2.61555262],[ 0.43541261  0.36113795 -2.78458714],[5.30526156 5.2309869  2.08526181],[3.27246606]
224.986,[ 0.59795701  0.52368235 -2.62204274],[ 0.43351771  0.35924305 -2.78648204],[5.29383111 5.21955645 2.07383136],[3.27941651]
225.033,[ 0.59064906  0.5163744  -2.62935069],[ 0.43100184  0.35672718 -2.78899791],[5.27056304 5.19628839 2.0505633 ],[3.28876129]
225.083,[ 0.58591543  0.51164077 -2.63408432],[ 0.43084418  0.35656952 -2.78915557],[5.2618952  5.18762054 2.04189545],[3.29789789]
225.131,[ 0.58030129  0.50602663 -2.63969846],[ 0.42941088  0.35513622 -2.79058887],[5.24187548 5.16760082 2.02187573],[3.30142201]
225.183,[ 0.5735925   0.49931784 -2.64640725],[ 0.42709564  0.35282098 -2.7929041 ],[5.21589578 5.14162112 1.99589603],[3.30992816]
225.232,[ 0.56914521  0.49487055 -2.65085453],[ 0.42606758  0.35179292 -2.79393217],[5.19966898 5.12539433 1.97966924],[3.31170615]
225.282,[ 0.56424978  0.48997512 -2.65574996],[ 0.42395403  0.34967937 -2.79604571],[5.18077195 5.10649729 1.9607722 ],[3.31663641]
225.331,[ 0.5596716   0.48539694 -2.66032815],[ 0.42289198  0.34861732 -2.79710777],[5.16588206 5.0916074  1.94588231],[3.31399796]
225.384,[ 0.5522917   0.47801704 -2.66770805],[ 0.420457    0.34618235 -2.79954274],[5.1331879  5.05891324 1.91318816],[3.31941288]
225.432,[ 0.54903846  0.47476381 -2.67096128],[ 0.42061519  0.34634053 -2.79938456],[5.12490117 5.05062651 1.90490143],[3.31820099]
225.485,[ 0.54392449  0.46964983 -2.67607526],[ 0.42113707  0.34686242 -2.79886267],[5.10296419 5.02868953 1.88296444],[3.31907457]
225.531,[ 0.53919256  0.4649179  -2.68080719],[ 0.42099444  0.34671978 -2.79900531],[5.08285067 5.00857601 1.86285092],[3.31922371]
225.582,[ 0.53363057  0.45935591 -2.68636917],[ 0.42166428  0.34738962 -2.79833547],[5.05885861 4.98458395 1.83885886],[3.31955482]
225.635,[ 0.52891783  0.45464317 -2.69108192],[ 0.42250691  0.34823225 -2.79749284],[5.04120794 4.96693328 1.82120819],[3.31906097]
225.686,[ 0.52480165  0.45052699 -2.6951981 ],[ 0.4236782   0.34940354 -2.79632155],[5.01825899 4.94398433 1.79825924],[3.32352549]
225.733,[ 0.52176792  0.44749326 -2.69823183],[ 0.42512675  0.35085209 -2.794873  ],[5.00451561 4.93024095 1.78451586],[3.32114317]
225.781,[ 0.51602785  0.44175319 -2.7039719 ],[ 0.42631559  0.35204093 -2.79368416],[4.97791436 4.9036397  1.75791461],[3.3237576]
225.832,[ 0.51234126  0.4380666  -2.70765849],[ 0.42793184  0.35365718 -2.79206791],[4.961347   4.88707234 1.74134725],[3.32437917]
225.882,[ 0.50670662  0.43243196 -2.71329313],[ 0.42914997  0.35487531 -2.79084978],[4.93975475 4.86548009 1.719755  ],[3.3288284]
225.93,[ 0.50259475  0.42832009 -2.717405  ],[ 0.4308077   0.35653304 -2.78919204],[4.92516784 4.85089318 1.70516809],[3.33108941]
225.982,[ 0.49754     0.42326534 -2.72245975],[ 0.43214062  0.35786596 -2.78785913],[4.90289629 4.82862163 1.68289654],[3.32930029]
226.033,[ 0.49227893  0.41800427 -2.72772082],[ 0.43281918  0.35854452 -2.78718057],[4.88020832 4.80593366 1.66020857],[3.33420711]
226.08,[ 0.48789434  0.41361968 -2.73210541],[ 0.43354981  0.35927515 -2.78644994],[4.86354679 4.78927213 1.64354704],[3.33262961]
226.133,[ 0.48354536  0.4092707  -2.73645439],[ 0.4353495   0.36107484 -2.78465025],[4.85348593 4.77921127 1.63348618],[3.33062305]
226.18,[ 0.47713855  0.40286389 -2.7428612 ],[ 0.4344761   0.36020144 -2.78552365],[4.82860053 4.75432587 1.60860078],[3.33341476]
226.23,[ 0.47208185  0.39780719 -2.7479179 ],[ 0.43546258  0.36118792 -2.78453717],[4.80838851 4.73411386 1.58838877],[3.33406707]
226.282,[ 0.46637136  0.3920967  -2.75362839],[ 0.43541415  0.3611395  -2.78458559],[4.79438172 4.72010706 1.57438197],[3.3342324]
226.334,[ 0.46217169  0.38789703 -2.75782805],[ 0.4370515   0.36277684 -2.78294825],[4.77523158 4.70095692 1.55523183],[3.33261918]
226.382,[ 0.45773565  0.38346099 -2.7622641 ],[ 0.43801319  0.36373854 -2.78198655],[4.75855692 4.68428226 1.53855717],[3.32687514]
226.432,[ 0.45279302  0.37851836 -2.76720673],[ 0.43815889  0.36388423 -2.78184085],[4.74224796 4.6679733  1.52224821],[3.33116668]
226.483,[ 0.44716351  0.37288885 -2.77283624],[ 0.43739783  0.36312317 -2.78260192],[4.72312334 4.64884869 1.5031236 ],[3.32454609]
226.534,[ 0.44171812  0.36744346 -2.77828163],[ 0.43803537  0.36376071 -2.78196438],[4.70650991 4.63223525 1.48651016],[3.32646488]
226.587,[ 0.43768596  0.36341131 -2.78231378],[ 0.43989841  0.36562375 -2.78010134],[4.68814294 4.61386829 1.4681432 ],[3.32476923]
226.638,[ 0.43456313  0.36028847 -2.78543662],[ 0.44296923  0.36869457 -2.77703051],[4.67423996 4.5999653  1.45424021],[3.32802089]
226.684,[ 0.43099133  0.35671667 -2.78900842],[ 0.44424923  0.36997457 -2.77575052],[4.65711798 4.58284332 1.43711823],[3.32347307]
226.737,[ 0.42740341  0.35312875 -2.79259634],[ 0.44672688  0.37245222 -2.77327286],[4.63914687 4.56487221 1.41914712],[3.32704406]
226.79,[ 0.42511302  0.35083836 -2.79488673],[ 0.44870836  0.3744337  -2.77129139],[4.63045978 4.55618512 1.41046004],[3.33250393]
226.835,[ 0.42044861  0.34617395 -2.79955114],[ 0.44704847  0.37277381 -2.77295128],[4.60560798 4.53133332 1.38560823],[3.33103203]
226.885,[ 0.41539303  0.34111837 -2.80460672],[ 0.44688368  0.37260902 -2.77311607],[4.58936448 4.51508982 1.36936473],[3.33829791]
226.939,[ 0.4123124   0.33803774 -2.80768735],[ 0.44581837  0.37154372 -2.77418137],[4.57820237 4.50392772 1.35820263],[3.33953652]
226.986,[ 0.40442432  0.33014966 -2.81557543],[ 0.43936282  0.36508816 -2.78063693],[4.56453054 4.49025588 1.34453079],[3.32870684]
227.036,[ 0.39812367  0.32384901 -2.82187608],[ 0.43407513  0.35980047 -2.78592462],[4.55176788 4.47749322 1.33176813],[3.3233003]
227.085,[ 0.39231848  0.31804382 -2.82768127],[ 0.42884277  0.35456812 -2.79115697],[4.53979904 4.46552438 1.31979929],[3.32622152]
227.133,[ 0.3861083   0.31183364 -2.83389145],[ 0.42381785  0.34954319 -2.79618189],[4.53097219 4.45669754 1.31097245],[3.31414042]
227.186,[ 0.37996001  0.30568535 -2.84003974],[ 0.41956063  0.34528598 -2.80043911],[4.51745813 4.44318347 1.29745839],[3.30677843]
227.235,[ 0.37456498  0.30029032 -2.84543477],[ 0.41451865  0.34024399 -2.8054811 ],[4.50288539 4.42861074 1.28288565],[3.2915911]
227.286,[ 0.37065342  0.29637876 -2.84934633],[ 0.41268722  0.33841256 -2.80731253],[4.49596475 4.42169009 1.275965  ],[3.29450191]
227.337,[ 0.3655604   0.29128574 -2.85443935],[ 0.41007422  0.33579956 -2.80992553],[4.47996664 4.40569198 1.25996689],[3.28650097]
227.388,[ 0.36086437  0.28658971 -2.85913538],[ 0.40660503  0.33233037 -2.81339472],[4.46928832 4.39501366 1.24928857],[3.27511394]
227.434,[ 0.35726625  0.28299159 -2.8627335 ],[ 0.40481415  0.33053949 -2.8151856 ],[4.45444318 4.38016852 1.23444343],[3.2801604]
