timestamp,e_v_x,e_v_y,e_v_a,e_alpha
47.866,[-3.09949082e-03 -7.73741496e-02 -4.22309924e+00],[ 0.65321578  0.57894112 -3.56678397],[6.89224275 6.81796809 2.67224301],[4.63857737]
47.91,[-3.01802185e-05 -7.43048390e-02 -4.22002993e+00],[ 0.67349753  0.59922287 -3.54650222],[7.10629149 7.03201683 2.88629174],[4.68675432]
47.96,[-2.90147032e-05 -7.43036735e-02 -4.22002876e+00],[ 0.67231223  0.59803757 -3.54768751],[7.21158331 7.13730865 2.99158356],[4.6867377]
48.011,[-2.74551110e-05 -7.43021139e-02 -4.22002720e+00],[ 0.67217215  0.5978975  -3.54782759],[7.23430317 7.16002852 3.01430343],[4.68672202]
48.061,[-2.58136070e-05 -7.43004724e-02 -4.22002556e+00],[ 0.67216733  0.59789267 -3.54783242],[7.23430371 7.16002905 3.01430396],[4.68670735]
48.116,[-2.38787502e-05 -7.42985376e-02 -4.22002363e+00],[ 0.67216212  0.59788746 -3.54783763],[7.23430429 7.16002963 3.01430455],[4.68669113]
48.163,[ 3.66325359e-03 -7.06114052e-02 -4.21633649e+00],[ 0.64490738  0.57063272 -3.57509237],[7.23734116 7.1630665  3.01734141],[4.61392372]
48.215,[ 0.01756214 -0.05671252 -4.20243761],[ 0.62381914  0.54954448 -3.59618061],[7.37661953 7.30234487 3.15661978],[4.49362995]
48.261,[ 0.00431803 -0.06995663 -4.21568172],[ 0.63791645  0.56364179 -3.5820833 ],[7.38767627 7.31340161 3.16767653],[4.47861707]
48.312,[ 2.15080517e-03 -7.21238536e-02 -4.21784894e+00],[ 0.63905824  0.56478358 -3.58094151],[7.40681553 7.33254087 3.18681578],[4.37947031]
48.366,[-0.00457274 -0.0788474  -4.22457249],[ 0.60860434  0.53432968 -3.61139541],[7.32871931 7.25444465 3.10871956],[4.2163538]
48.414,[-0.01073574 -0.0850104  -4.23073549],[ 0.62229951  0.54802485 -3.59770024],[7.34773766 7.273463   3.12773791],[4.1795289]
48.46,[-0.0146969  -0.08897156 -4.23469665],[ 0.63879425  0.56451959 -3.5812055 ],[7.40822187 7.33394721 3.18822213],[4.17373392]
48.512,[-0.02052239 -0.09479704 -4.24052213],[ 0.6437871   0.56951245 -3.57621264],[7.39215628 7.31788162 3.17215654],[4.14501497]
48.567,[-0.02587195 -0.10014661 -4.2458717 ],[ 0.64461752  0.57034287 -3.57538222],[7.34709354 7.27281888 3.12709379],[4.16330108]
48.614,[-0.02774237 -0.10201703 -4.24774212],[ 0.66052541  0.58625075 -3.55947433],[7.32901659 7.25474193 3.10901684],[4.23749391]
48.665,[-0.03625576 -0.11053042 -4.25625551],[ 0.66603083  0.59175617 -3.55396892],[7.28739842 7.21312376 3.06739867],[4.32906422]
48.715,[-0.04410211 -0.11837677 -4.26410186],[ 0.66426025  0.58998559 -3.5557395 ],[7.25076225 7.17648759 3.0307625 ],[4.43781193]
48.764,[-0.04893707 -0.12321173 -4.26893681],[ 0.65031245  0.57603779 -3.5696873 ],[7.19756398 7.12328933 2.97756424],[4.51170174]
48.81,[-0.05531135 -0.12958601 -4.2753111 ],[ 0.62498902  0.55071436 -3.59501072],[7.1791686  7.10489394 2.95916885],[4.52839557]
48.857,[-0.06372272 -0.13799738 -4.28372247],[ 0.61096257  0.53668791 -3.60903717],[7.13268927 7.05841461 2.91268952],[4.59420696]
48.911,[-0.06914144 -0.1434161  -4.28914119],[ 0.59805925  0.52378459 -3.6219405 ],[7.10813812 7.03386346 2.88813837],[4.65481132]
48.964,[-0.07482015 -0.14909481 -4.29481989],[ 0.58979806  0.5155234  -3.63020169],[7.07032677 6.99605211 2.85032702],[4.71170532]
49.02,[-0.07529285 -0.14956751 -4.2952926 ],[ 0.57454781  0.50027315 -3.64545194],[7.0353739  6.96109924 2.81537416],[4.71669426]
49.064,[-0.07672232 -0.15099698 -4.29672207],[ 0.56042633  0.48615167 -3.65957342],[7.00120881 6.92693415 2.78120906],[4.71779756]
49.111,[-0.08047855 -0.15475321 -4.3004783 ],[ 0.53287234  0.45859768 -3.68712741],[6.97094515 6.89667049 2.75094541],[4.67071496]
49.165,[-0.07887185 -0.15314651 -4.2988716 ],[ 0.53138457  0.45710991 -3.68861518],[6.89869233 6.82441767 2.67869258],[4.70701086]
49.216,[-0.07608159 -0.15035625 -4.29608134],[ 0.51170037  0.43742571 -3.70829938],[6.91398114 6.83970649 2.6939814 ],[4.63782786]
49.264,[-0.07687294 -0.1511476  -4.29687269],[ 0.49632406  0.4220494  -3.72367568],[6.87677634 6.80250168 2.65677659],[4.58615218]
49.317,[-0.07850264 -0.1527773  -4.29850239],[ 0.47712977  0.40285511 -3.74286998],[6.86092438 6.78664972 2.64092463],[4.48876091]
49.361,[-0.0781469  -0.15242156 -4.29814665],[ 0.45563474  0.38136008 -3.76436501],[6.83468994 6.76041528 2.61469019],[4.33095538]
49.414,[-0.07814697 -0.15242163 -4.29814672],[ 0.43608036  0.3618057  -3.78391939],[6.80468309 6.73040843 2.58468334],[4.15406382]
49.463,[-0.0745312  -0.14880586 -4.29453095],[ 0.42533953  0.35106487 -3.79466022],[6.79278558 6.71851092 2.57278583],[3.99712045]
49.513,[-0.07331605 -0.14759071 -4.2933158 ],[ 0.41980552  0.34553086 -3.80019423],[6.74548093 6.67120627 2.52548118],[3.85526627]
49.566,[-0.06993516 -0.14420982 -4.2899349 ],[ 0.40633105  0.33205639 -3.81366869],[6.72687398 6.65259932 2.50687423],[3.64173712]
49.61,[-0.0702204  -0.14449506 -4.29022015],[ 0.40124579  0.32697113 -3.81875396],[6.70086513 6.62659047 2.48086538],[3.51131352]
49.667,[-0.06871849 -0.14299315 -4.28871824],[ 0.38780709  0.31353244 -3.83219265],[6.67272263 6.59844797 2.45272288],[3.29388702]
49.717,[-0.06976774 -0.1440424  -4.28976749],[ 0.38228921  0.30801456 -3.83771053],[6.64189968 6.56762503 2.42189994],[3.17598747]
49.766,[-0.07114725 -0.14542191 -4.291147  ],[ 0.37943663  0.30516197 -3.84056312],[6.61572826 6.5414536  2.39572852],[3.0930715]
49.81,[-0.07258116 -0.14685582 -4.2925809 ],[ 0.38482694  0.31055229 -3.8351728 ],[6.5954258  6.52115114 2.37542605],[3.01612573]
49.862,[-0.07136619 -0.14564085 -4.29136594],[ 0.38330826  0.3090336  -3.83669149],[6.56063375 6.48635909 2.340634  ],[2.88707038]
49.913,[-0.06838033 -0.14265499 -4.28838007],[ 0.37690484  0.30263018 -3.84309491],[6.53821727 6.46394262 2.31821753],[2.7364825]
49.963,[-0.06640632 -0.14068098 -4.28640607],[ 0.37941339  0.30513873 -3.84058635],[6.51142518 6.43715052 2.29142543],[2.6717784]
50.011,[-0.06692308 -0.14119774 -4.28692283],[ 0.37132062  0.29704596 -3.84867913],[6.43656225 6.3622876  2.21656251],[2.43577276]
50.064,[-0.05905878 -0.13333344 -4.27905853],[ 0.37078716  0.2965125  -3.84921258],[6.45696667 6.38269201 2.23696693],[2.23077319]
50.118,[-0.05892457 -0.13319923 -4.27892432],[ 0.36910528  0.29483062 -3.85089447],[6.43179538 6.35752073 2.21179564],[2.20036356]
50.167,[-0.06099777 -0.13527243 -4.28099751],[ 0.37092615  0.29665149 -3.8490736 ],[6.40299483 6.32872017 2.18299508],[2.01793842]
50.217,[-0.06215885 -0.13643351 -4.2821586 ],[ 0.37194119  0.29766653 -3.84805856],[6.37922131 6.30494665 2.15922156],[1.88625003]
50.264,[-0.06278523 -0.13705989 -4.28278498],[ 0.36932041  0.29504576 -3.85067933],[6.34079536 6.2665207  2.12079561],[1.79534884]
50.311,[-0.06175229 -0.13602695 -4.28175204],[ 0.36232048  0.28804582 -3.85767927],[6.31333239 6.23905773 2.09333264],[1.70461804]
50.365,[-0.06197689 -0.13625155 -4.28197664],[ 0.36127868  0.28700402 -3.85872107],[6.28695511 6.21268045 2.06695536],[1.64474979]
50.411,[-0.05738798 -0.13166264 -4.27738773],[ 0.35144667  0.27717201 -3.86855307],[6.25092445 6.17664979 2.03092471],[1.64009083]
50.464,[-0.05400033 -0.12827499 -4.27400008],[ 0.34610212  0.27182746 -3.87389763],[6.24011674 6.16584208 2.02011699],[1.59387731]
50.514,[-0.05050173 -0.12477638 -4.27050147],[ 0.33696707  0.26269241 -3.88303267],[6.2011339  6.12685924 1.98113415],[1.58063137]
50.563,[-0.04659905 -0.12087371 -4.2665988 ],[ 0.33221319  0.25793853 -3.88778656],[6.17782434 6.10354968 1.95782459],[1.53640773]
50.615,[-0.04272839 -0.11700305 -4.26272814],[ 0.32651804  0.25224338 -3.89348171],[6.15150805 6.0772334  1.93150831],[1.47897856]
