timestamp,e_v_x,e_v_y,e_v_a,e_alpha
435.368,[ 1.24938811  1.17511346 -1.97061163],[ 0.54618792  0.47191326 -2.67381183],[6.00011583 5.92584117 2.78011608],[3.03176352]
435.417,[ 1.24847894  1.17420428 -1.97152081],[ 0.54645648  0.47218183 -2.67354326],[6.04718332 5.97290866 2.82718357],[3.02931433]
435.464,[ 1.25009084  1.17581619 -1.9699089 ],[ 0.54469304  0.47041838 -2.67530671],[6.09457561 6.02030095 2.87457586],[3.02952559]
435.51,[ 1.24881965  1.17454499 -1.97118009],[ 0.54697683  0.47270217 -2.67302292],[6.15161636 6.0773417  2.93161662],[3.03106251]
435.561,[ 1.2469379   1.17266324 -1.97306185],[ 0.54539717  0.47112251 -2.67460257],[6.17263353 6.09835887 2.95263378],[3.02748177]
435.611,[ 1.24216052  1.16788586 -1.97783923],[ 0.54325743  0.46898277 -2.67674232],[6.20049577 6.12622111 2.98049602],[3.03195768]
435.662,[ 1.24633539  1.17206073 -1.97366435],[ 0.54519392  0.47091926 -2.67480583],[6.29194416 6.2176695  3.07194441],[3.03283217]
435.714,[ 1.23749974  1.16322508 -1.9825    ],[ 0.54701839  0.47274374 -2.67298135],[6.31918091 6.24490625 3.09918116],[3.046066]
435.765,[ 1.23486209  1.16058743 -1.98513766],[ 0.54417187  0.46989721 -2.67582787],[6.38342744 6.30915278 3.16342769],[3.05918113]
435.814,[ 1.24068902  1.16641436 -1.97931073],[ 0.54431666  0.470042   -2.67568309],[6.40072867 6.32645401 3.18072892],[3.0637806]
435.863,[ 1.23561171  1.16133705 -1.98438804],[ 0.5481685   0.47389384 -2.67183125],[6.40823488 6.33396022 3.18823513],[3.08074538]
435.911,[ 1.24356965  1.16929499 -1.9764301 ],[ 0.55587911  0.48160446 -2.66412063],[6.45838231 6.38410766 3.23838257],[3.09054525]
435.961,[ 1.24036381  1.16608915 -1.97963594],[ 0.55755124  0.48327658 -2.66244851],[6.45408744 6.37981278 3.2340877 ],[3.10050847]
436.021,[ 1.24381137  1.16953671 -1.97618838],[ 0.56192498  0.48765032 -2.65807477],[6.45833618 6.38406152 3.23833644],[3.1086115]
436.067,[ 1.24806969  1.17379504 -1.97193005],[ 0.56245411  0.48817945 -2.65754564],[6.45374547 6.37947081 3.23374572],[3.0967135]
436.112,[ 1.24620487  1.17193021 -1.97379488],[ 0.56392442  0.48964976 -2.65607533],[6.46585697 6.39158232 3.24585723],[3.0954164]
436.168,[ 1.24942502  1.17515037 -1.97057472],[ 0.56689865  0.49262399 -2.6531011 ],[6.45756508 6.38329042 3.23756533],[3.08410129]
436.215,[ 1.24442121  1.17014656 -1.97557853],[ 0.56887865  0.49460399 -2.6511211 ],[6.45719626 6.3829216  3.23719651],[3.07330057]
436.265,[ 1.2350493   1.16077464 -1.98495045],[ 0.57058932  0.49631466 -2.64941043],[6.4688625  6.39458784 3.24886275],[3.06953625]
436.318,[ 1.23489324  1.16061858 -1.98510651],[ 0.57388364  0.49960898 -2.64611611],[6.466181   6.39190634 3.24618125],[3.06018743]
436.366,[ 1.23144128  1.15716662 -1.98855847],[ 0.57525731  0.50098265 -2.64474244],[6.4708437  6.39656904 3.25084395],[3.05205208]
436.414,[ 1.22030104  1.14602638 -1.99969871],[ 0.57625756  0.5019829  -2.64374219],[6.46645425 6.39217959 3.2464545 ],[3.04508305]
436.464,[ 1.21395172  1.13967706 -2.00604802],[ 0.57924269  0.50496803 -2.64075706],[6.4690644  6.39478974 3.24906465],[3.04028622]
436.519,[ 1.21155522  1.13728056 -2.00844453],[ 0.58123356  0.5069589  -2.63876619],[6.47781764 6.40354298 3.2578179 ],[3.02862424]
436.568,[ 1.20264569  1.12837103 -2.01735406],[ 0.58236383  0.50808917 -2.63763591],[6.45998655 6.38571189 3.2399868 ],[3.02649987]
436.615,[ 1.19763773  1.12336307 -2.02236202],[ 0.58549966  0.511225   -2.63450008],[6.46254775 6.38827309 3.242548  ],[3.02232947]
436.663,[ 1.19122567  1.11695101 -2.02877408],[ 0.5903111   0.51603644 -2.62968865],[6.46605311 6.39177845 3.24605336],[3.02276389]
436.712,[ 1.18699484  1.11272018 -2.03300491],[ 0.59442102  0.52014636 -2.62557873],[6.47211776 6.3978431  3.25211801],[3.02607216]
436.766,[ 1.1767493   1.10247464 -2.04325045],[ 0.59517893  0.52090427 -2.62482082],[6.46381299 6.38953833 3.24381324],[3.03966119]
436.816,[ 1.17279938  1.09852472 -2.04720036],[ 0.60190249  0.52762783 -2.61809726],[6.46707063 6.39279597 3.24707088],[3.05366469]
436.865,[ 1.17145641  1.09718175 -2.04854334],[ 0.60647885  0.53220419 -2.6135209 ],[6.46253324 6.38825858 3.24253349],[3.06120043]
436.913,[ 1.16928298  1.09500833 -2.05071676],[ 0.61021444  0.53593978 -2.60978531],[6.46392459 6.38964994 3.24392485],[3.07566115]
436.966,[ 1.16385709  1.08958243 -2.05614265],[ 0.6144525   0.54017784 -2.60554725],[6.46056086 6.3862862  3.24056111],[3.0897742]
437.016,[ 1.160444    1.08616934 -2.05955575],[ 0.61860097  0.54432631 -2.60139878],[6.45613763 6.38186297 3.23613788],[3.10016699]
437.063,[ 1.16219515  1.08792049 -2.0578046 ],[ 0.62284218  0.54856752 -2.59715756],[6.4624338  6.38815914 3.24243405],[3.10713334]
437.112,[ 1.16215349  1.08787883 -2.05784626],[ 0.62654459  0.55226993 -2.59345516],[6.46566914 6.39139448 3.24566939],[3.11196892]
437.167,[ 1.1583629   1.08408824 -2.06163685],[ 0.63104838  0.55677372 -2.58895137],[6.46154605 6.38727139 3.2415463 ],[3.12512031]
437.215,[ 1.15591483  1.08164017 -2.06408492],[ 0.63467291  0.56039825 -2.58532684],[6.46101715 6.38674249 3.2410174 ],[3.1308943]
437.265,[ 1.1545529   1.08027824 -2.06544685],[ 0.63723536  0.5629607  -2.58276439],[6.45598907 6.38171442 3.23598933],[3.13352549]
437.313,[ 1.15323007  1.07895541 -2.06676968],[ 0.63998385  0.5657092  -2.58001589],[6.46038839 6.38611374 3.24038865],[3.13354712]
437.362,[ 1.14985609  1.07558143 -2.07014366],[ 0.64286281  0.56858815 -2.57713694],[6.45751868 6.38324402 3.23751893],[3.1361625]
437.414,[ 1.14679312  1.07251846 -2.07320663],[ 0.64580904  0.57153439 -2.5741907 ],[6.46017835 6.38590369 3.2401786 ],[3.13588706]
437.464,[ 1.14188346  1.0676088  -2.07811629],[ 0.64801877  0.57374411 -2.57198098],[6.44853093 6.37425627 3.22853118],[3.13574955]
437.515,[ 1.13877082  1.06449616 -2.08122893],[ 0.65231229  0.57803763 -2.56768746],[6.45753063 6.38325597 3.23753089],[3.13671114]
437.567,[ 1.13448078  1.06020612 -2.08551897],[ 0.6535563   0.57928164 -2.56644344],[6.44923396 6.3749593  3.22923421],[3.13085782]
437.614,[ 1.12677512  1.05250047 -2.09322462],[ 0.65522185  0.58094719 -2.56477789],[6.43602488 6.36175023 3.21602514],[3.13110068]
437.667,[ 1.12259742  1.04832276 -2.09740233],[ 0.65769344  0.58341878 -2.56230631],[6.43615812 6.36188346 3.21615837],[3.13188245]
437.718,[ 1.12401053  1.04973587 -2.09598922],[ 0.66668307  0.59240841 -2.55331668],[6.47065689 6.39638223 3.25065714],[3.13595902]
437.764,[ 1.1166809   1.04240624 -2.10331885],[ 0.66988861  0.59561395 -2.55011114],[6.46941319 6.39513853 3.24941344],[3.14140125]
437.811,[ 1.11901503  1.04474038 -2.10098471],[ 0.67606369  0.60178903 -2.54393606],[6.48341702 6.40914236 3.26341727],[3.13619607]
437.866,[ 1.10832086  1.0340462  -2.11167889],[ 0.67532421  0.60104955 -2.54467553],[6.44783055 6.37355589 3.22783081],[3.14609896]
437.913,[ 1.10475274  1.03047808 -2.11524701],[ 0.6800087   0.60573404 -2.53999105],[6.4577975  6.38352284 3.23779775],[3.14124207]
437.96,[ 1.10145445  1.0271798  -2.11854529],[ 0.68300383  0.60872918 -2.53699591],[6.45746665 6.383192   3.23746691],[3.15208841]
438.012,[ 1.09783033  1.02355567 -2.12216942],[ 0.68649857  0.61222391 -2.53350118],[6.46401306 6.3897384  3.24401331],[3.16067885]
438.068,[ 1.09327089  1.01899623 -2.12672886],[ 0.69085631  0.61658165 -2.52914343],[6.4724876  6.39821294 3.25248786],[3.16822949]
438.112,[ 1.08947744  1.01520278 -2.1305223 ],[ 0.69246374  0.61818908 -2.527536  ],[6.45734738 6.38307272 3.23734763],[3.17707657]
438.166,[ 1.08331632  1.00904166 -2.13668343],[ 0.69433911  0.62006445 -2.52566064],[6.45269837 6.37842371 3.23269863],[3.18845227]
438.215,[ 1.08036106  1.0060864  -2.13963868],[ 0.69659879  0.62232413 -2.52340096],[6.4481886  6.37391394 3.22818886],[3.18970291]
438.266,[ 1.07770627  1.00343161 -2.14229348],[ 0.69924458  0.62496992 -2.52075517],[6.44545706 6.3711824  3.22545731],[3.19486376]
438.316,[ 1.07565084  1.00137618 -2.14434891],[ 0.70208677  0.62781211 -2.51791298],[6.45032542 6.37605076 3.23032568],[3.20101416]
438.367,[ 1.07385508  0.99958042 -2.14614467],[ 0.70477076  0.63049611 -2.51522898],[6.44909354 6.37481888 3.22909379],[3.20481851]
438.416,[ 1.0685748   0.99430014 -2.15142495],[ 0.70702229  0.63274763 -2.51297746],[6.43464549 6.36037083 3.21464574],[3.20571693]
438.465,[ 1.06752308  0.99324842 -2.15247667],[ 0.71013575  0.6358611  -2.50986399],[6.44271949 6.36844483 3.22271974],[3.20225559]
438.511,[ 1.06262995  0.98835529 -2.1573698 ],[ 0.71224938  0.63797472 -2.50775037],[6.43815233 6.36387767 3.21815258],[3.21187304]
438.567,[ 1.05980359  0.98552893 -2.16019616],[ 0.71494183  0.64066717 -2.50505792],[6.44178289 6.36750823 3.22178314],[3.20782135]
438.613,[ 1.05169396  0.9774193  -2.16830579],[ 0.71552869  0.64125403 -2.50447106],[6.42289088 6.34861622 3.20289114],[3.21494837]
438.662,[ 1.05071046  0.9764358  -2.16928929],[ 0.71949433  0.64521967 -2.50050542],[6.43390384 6.35962918 3.21390409],[3.21793974]
438.71,[ 1.04706587  0.97279121 -2.17293387],[ 0.7204602   0.64618554 -2.49953955],[6.42787307 6.35359842 3.20787333],[3.21934356]
438.766,[ 1.04602441  0.97174975 -2.17397534],[ 0.72125274  0.64697808 -2.49874701],[6.42295409 6.34867943 3.20295434],[3.21657661]
438.814,[ 1.04263662  0.96836197 -2.17736312],[ 0.72393859  0.64966393 -2.49606115],[6.41942565 6.34515099 3.1994259 ],[3.21091901]
438.865,[ 1.03699515  0.96272049 -2.1830046 ],[ 0.72514424  0.65086958 -2.49485551],[6.41449271 6.34021805 3.19449296],[3.21611238]
438.913,[ 1.0320656   0.95779094 -2.18793415],[ 0.72553844  0.65126378 -2.49446131],[6.40595033 6.33167568 3.18595059],[3.21262458]
438.965,[ 1.02815736  0.9538827  -2.19184239],[ 0.72622604  0.65195138 -2.49377371],[6.40248916 6.3282145  3.18248941],[3.21418265]
439.012,[ 1.02458728  0.95031262 -2.19541247],[ 0.72970284  0.65542818 -2.49029691],[6.40022798 6.32595333 3.18022824],[3.21645429]
439.063,[ 1.01903347  0.94475881 -2.20096627],[ 0.73108776  0.65681311 -2.48891198],[6.39270383 6.31842917 3.17270408],[3.22632436]
439.112,[ 1.01576189  0.94148724 -2.20423785],[ 0.73261232  0.65833766 -2.48738743],[6.38646839 6.31219373 3.16646864],[3.22908285]
439.165,[ 1.01181966  0.937545   -2.20818009],[ 0.73442909  0.66015443 -2.48557065],[6.38126525 6.30699059 3.1612655 ],[3.24033831]
439.219,[ 1.01138379  0.93710913 -2.20861596],[ 0.73664981  0.66237515 -2.48334994],[6.37676928 6.30249462 3.15676953],[3.24658438]
439.265,[ 1.00619351  0.93191885 -2.21380624],[ 0.73475004  0.66047538 -2.48524971],[6.35507386 6.28079921 3.13507412],[3.24903826]
439.314,[ 1.00290765  0.92863299 -2.2170921 ],[ 0.7355101   0.66123544 -2.48448965],[6.35420573 6.27993107 3.13420598],[3.25559314]
439.363,[ 0.99993685  0.9256622  -2.22006289],[ 0.73584958  0.66157492 -2.48415017],[6.3487494  6.27447474 3.12874965],[3.25818711]
439.414,[ 0.99551437  0.92123971 -2.22448538],[ 0.73811215  0.66383749 -2.4818876 ],[6.3379366  6.26366194 3.11793685],[3.26601329]
439.466,[ 0.99124568  0.91697102 -2.22875407],[ 0.73888541  0.66461075 -2.48111434],[6.32994696 6.25567231 3.10994722],[3.27719374]
439.515,[ 0.98834645  0.91407179 -2.2316533 ],[ 0.73990649  0.66563183 -2.48009326],[6.3230653  6.24879064 3.10306555],[3.28134113]
439.564,[ 0.98517333  0.91089867 -2.23482642],[ 0.74077603  0.66650137 -2.47922372],[6.31910585 6.24483119 3.0991061 ],[3.2862171]
439.612,[ 0.98139682  0.90712217 -2.23860292],[ 0.74061567  0.66634101 -2.47938408],[6.30748934 6.23321468 3.08748959],[3.29273819]
439.664,[ 0.97756445  0.90328979 -2.2424353 ],[ 0.74186593  0.66759127 -2.47813382],[6.30004724 6.22577258 3.08004749],[3.29814231]
439.712,[ 0.97590313  0.90162847 -2.24409662],[ 0.74290966  0.66863501 -2.47709008],[6.30026094 6.22598628 3.08026119],[3.30333123]
439.765,[ 0.97242894  0.89815428 -2.24757081],[ 0.74291652  0.66864186 -2.47708323],[6.29148404 6.21720938 3.07148429],[3.30125258]
439.812,[ 0.96683697  0.89256231 -2.25316278],[ 0.74388414  0.66960949 -2.4761156 ],[6.2764185  6.20214384 3.05641875],[3.30362821]
439.862,[ 0.96483695  0.89056229 -2.2551628 ],[ 0.74523879  0.67096413 -2.47476096],[6.27329016 6.1990155  3.05329041],[3.30259978]
439.913,[ 0.96067348  0.88639882 -2.25932627],[ 0.7452549   0.67098024 -2.47474485],[6.26656293 6.19228827 3.04656319],[3.30524994]
439.962,[ 0.95491545  0.88064079 -2.26508429],[ 0.74552575  0.67125109 -2.474474  ],[6.24901421 6.17473955 3.02901446],[3.30894311]
440.017,[ 0.95529292  0.88101826 -2.26470683],[ 0.7476839   0.67340924 -2.47231585],[6.25509776 6.1808231  3.03509801],[3.30228752]
440.064,[ 0.94998146  0.8757068  -2.27001829],[ 0.75048687  0.67621221 -2.46951288],[6.24744549 6.17317083 3.02744575],[3.30591732]
440.114,[ 0.94624524  0.87197059 -2.2737545 ],[ 0.75232109  0.67804644 -2.46767865],[6.24476073 6.17048607 3.02476099],[3.30649849]
440.165,[ 0.94216308  0.86788842 -2.27783667],[ 0.75273458  0.67845992 -2.46726517],[6.23278286 6.1585082  3.01278311],[3.3032693]
440.215,[ 0.93541433  0.86113967 -2.28458542],[ 0.75178257  0.67750791 -2.46821717],[6.21215373 6.13787907 2.99215398],[3.30532661]
440.266,[ 0.93296606  0.8586914  -2.28703369],[ 0.75563544  0.68136078 -2.46436431],[6.21745195 6.14317729 2.9974522 ],[3.3084596]
440.316,[ 0.9273977   0.85312304 -2.29260205],[ 0.75716893  0.68289427 -2.46283082],[6.20608396 6.1318093  2.98608421],[3.31454301]
440.364,[ 0.9225519   0.84827725 -2.29744784],[ 0.76002563  0.68575097 -2.45997412],[6.19661243 6.12233777 2.97661268],[3.32690517]
440.415,[ 0.91664663  0.84237197 -2.30335312],[ 0.76122622  0.68695156 -2.45877353],[6.18275786 6.10848321 2.96275812],[3.33557623]
440.462,[ 0.91379767  0.83952301 -2.30620208],[ 0.76310331  0.68882865 -2.45689644],[6.17933951 6.10506485 2.95933976],[3.34453774]
440.508,[ 0.91201438  0.83773972 -2.30798537],[ 0.76517934  0.69090469 -2.4548204 ],[6.17445889 6.10018423 2.95445915],[3.35348768]
440.566,[ 0.9067926   0.83251794 -2.31320715],[ 0.76764218  0.69336753 -2.45235756],[6.16094585 6.08667119 2.9409461 ],[3.37163449]
440.615,[ 0.90407607  0.82980141 -2.31592368],[ 0.76923754  0.69496288 -2.45076221],[6.15643951 6.08216486 2.93643977],[3.37261755]
440.662,[ 0.90402137  0.82974671 -2.31597837],[ 0.77092856  0.6966539  -2.44907118],[6.16615386 6.0918792  2.94615411],[3.38088262]
440.712,[ 0.89899138  0.82471672 -2.32100837],[ 0.77213192  0.69785726 -2.44786783],[6.14781306 6.0735384  2.92781331],[3.3898589]
440.766,[ 0.89118371  0.81690905 -2.32881604],[ 0.76928304  0.69500838 -2.45071671],[6.1203653  6.04609064 2.90036555],[3.39532388]
440.815,[ 0.89342192  0.81914726 -2.32657782],[ 0.77302568  0.69875102 -2.44697407],[6.11929296 6.0450183  2.89929321],[3.39815993]
440.862,[ 0.88593911  0.81166445 -2.33406064],[ 0.77005882  0.69578416 -2.44994093],[6.11337066 6.039096   2.89337091],[3.40136627]
440.916,[ 0.88228829  0.80801363 -2.33771145],[ 0.77098672  0.69671206 -2.44901303],[6.10283973 6.02856507 2.88283998],[3.407339]
440.966,[ 0.88064568  0.80637102 -2.33935407],[ 0.77188073  0.69760607 -2.44811902],[6.09354142 6.01926676 2.87354167],[3.40452442]
441.013,[ 0.87518997  0.80091531 -2.34480978],[ 0.77222108  0.69794642 -2.44777867],[6.08056519 6.00629053 2.86056544],[3.40062453]
441.063,[ 0.8711768   0.79690214 -2.34882295],[ 0.7745873   0.70031264 -2.44541245],[6.07703122 6.00275656 2.85703148],[3.40354971]
441.115,[ 0.86593802  0.79166336 -2.35406172],[ 0.77564243  0.70136777 -2.44435732],[6.0649187  5.99064404 2.84491895],[3.40475146]
441.167,[ 0.85989788  0.78562322 -2.36010187],[ 0.7745618   0.70028714 -2.44543795],[6.05362108 5.97934642 2.83362133],[3.40360206]
441.213,[ 0.85507814  0.78080349 -2.3649216 ],[ 0.77761975  0.70334509 -2.44238   ],[6.04310501 5.96883036 2.82310527],[3.41198392]
441.262,[ 0.85034278  0.77606812 -2.36965696],[ 0.77923826  0.7049636  -2.44076149],[6.03241877 5.95814411 2.81241902],[3.41954762]
441.316,[ 0.84698518  0.77271052 -2.37301457],[ 0.7813829   0.70710824 -2.43861685],[6.02696712 5.95269246 2.80696737],[3.42076342]
441.367,[ 0.84330639  0.76903173 -2.37669336],[ 0.78291903  0.70864437 -2.43708072],[6.01137277 5.93709811 2.79137302],[3.42313711]
441.415,[ 0.83816106  0.7638864  -2.38183869],[ 0.78490376  0.7106291  -2.43509599],[5.99791246 5.9236378  2.77791271],[3.42696329]
441.463,[ 0.83247075  0.75819609 -2.387529  ],[ 0.78739123  0.71311657 -2.43260852],[5.98537247 5.91109781 2.76537272],[3.43465839]
441.518,[ 0.82687367  0.75259901 -2.39312608],[ 0.79081778  0.71654313 -2.42918196],[5.97407586 5.8998012  2.75407612],[3.45312249]
441.565,[ 0.81988142  0.74560676 -2.40011833],[ 0.7925725   0.71829784 -2.42742724],[5.95661764 5.88234298 2.73661789],[3.46618052]
441.613,[ 0.81713292  0.74285826 -2.40286683],[ 0.79471423  0.72043957 -2.42528552],[5.94993431 5.87565965 2.72993456],[3.47284767]
441.666,[ 0.81178039  0.73750573 -2.40821936],[ 0.79762479  0.72335013 -2.42237496],[5.93373448 5.85945982 2.71373473],[3.49312918]
441.711,[ 0.80905558  0.73478092 -2.41094417],[ 0.79844121  0.72416655 -2.42155854],[5.92280688 5.84853222 2.70280713],[3.49947226]
441.759,[ 0.80510949  0.73083483 -2.41489026],[ 0.80004283  0.72576817 -2.41995692],[5.90837743 5.83410277 2.68837768],[3.50954409]
441.812,[ 0.79988653  0.72561187 -2.42011321],[ 0.80115775  0.7268831  -2.41884199],[5.8912825  5.81700784 2.67128275],[3.51856208]
441.864,[ 0.79559778  0.72132313 -2.42440196],[ 0.80324811  0.72897345 -2.41675164],[5.88179249 5.80751783 2.66179274],[3.52532661]
441.915,[ 0.79097088  0.71669622 -2.42902887],[ 0.80366581  0.72939115 -2.41633394],[5.86110345 5.78682879 2.6411037 ],[3.53041902]
441.964,[ 0.78590341  0.71162875 -2.43409634],[ 0.80736271  0.73308805 -2.41263704],[5.85222376 5.7779491  2.63222401],[3.54616596]
442.014,[ 0.78337276  0.7090981  -2.43662699],[ 0.80971784  0.73544318 -2.41028191],[5.83799547 5.76372081 2.61799572],[3.54274783]
442.065,[ 0.78109983  0.70682517 -2.43889992],[ 0.81394244  0.73966778 -2.40605731],[5.82708449 5.75280983 2.60708474],[3.55351558]
