timestamp,e_v_x,e_v_y,e_v_a,e_alpha
180.061,[-1.27015277e-05 -7.42873603e-02 -4.22001245e+00],[ 0.66430844  0.59003378 -3.55569131],[5.95766253 5.88338787 1.73766279],[4.67365357]
180.133,[-1.15841036e-05 -7.42862429e-02 -4.22001133e+00],[ 0.66429923  0.59002457 -3.55570051],[5.95766382 5.88338916 1.73766407],[4.6736284]
180.2,[-1.08344914e-05 -7.42854933e-02 -4.22001058e+00],[ 0.66289487  0.58862021 -3.55710488],[6.04591112 5.97163646 1.82591137],[4.67361067]
180.272,[-1.00450444e-05 -7.42847039e-02 -4.22000979e+00],[ 0.66288992  0.58861526 -3.55710983],[6.04591179 5.97163713 1.82591204],[4.67359687]
180.342,[-9.01959368e-06 -7.42836784e-02 -4.22000877e+00],[ 0.66288413  0.58860947 -3.55711562],[6.04591257 5.97163791 1.82591282],[4.67358051]
180.425,[-8.42198644e-06 -7.42830808e-02 -4.22000817e+00],[ 0.68226322  0.60798856 -3.53773653],[6.33002019 6.25574553 2.11002045],[4.70303305]
180.497,[-7.50639135e-06 -7.42821652e-02 -4.22000725e+00],[ 0.66010014  0.58582548 -3.55989961],[6.23189813 6.15762347 2.01189838],[4.66419191]
180.562,[-6.80076616e-06 -7.42814596e-02 -4.22000655e+00],[ 0.66009685  0.58582219 -3.55990289],[6.23189857 6.15762391 2.01189882],[4.66418211]
180.639,[-6.27421443e-06 -7.42809330e-02 -4.22000602e+00],[ 0.65872147  0.58444681 -3.56127828],[6.33002064 6.25574598 2.11002089],[4.66417353]
180.707,[-5.65458508e-06 -7.42803134e-02 -4.22000540e+00],[ 0.65871854  0.58444388 -3.56128121],[6.33002101 6.25574635 2.11002126],[4.66416494]
180.776,[-5.25054714e-06 -7.42799094e-02 -4.22000500e+00],[ 0.65871655  0.58444189 -3.56128319],[6.33002127 6.25574661 2.11002152],[4.66415917]
180.846,[-4.90367494e-06 -7.42795625e-02 -4.22000465e+00],[ 0.65713487  0.58286021 -3.56286488],[6.42968738 6.35541272 2.20968763],[4.66415303]
180.912,[-4.52033432e-06 -7.42791791e-02 -4.22000427e+00],[ 0.65713289  0.58285824 -3.56286685],[6.42968762 6.35541296 2.20968787],[4.66414742]
180.987,[-4.29063860e-06 -7.42789494e-02 -4.22000404e+00],[ 0.67867074  0.60439608 -3.54132901],[6.64044215 6.56616749 2.4204424 ],[4.69537741]
181.056,[-3.99980806e-06 -7.42786586e-02 -4.22000375e+00],[ 0.67752271  0.60324805 -3.54247704],[6.75202268 6.67774802 2.53202293],[4.69537265]
181.122,[-3.64667003e-06 -7.42783055e-02 -4.22000339e+00],[ 0.67752119  0.60324653 -3.54247856],[6.75202286 6.67774821 2.53202312],[4.69536834]
181.192,[-3.29353787e-06 -7.42779523e-02 -4.22000304e+00],[ 0.67751988  0.60324522 -3.54247987],[6.75202302 6.67774837 2.53202328],[4.69536453]
181.268,[-2.93885034e-06 -7.42775977e-02 -4.22000269e+00],[ 0.6775188   0.60324414 -3.54248095],[6.75202316 6.6777485  2.53202341],[4.69536124]
181.329,[-2.58440421e-06 -7.42772432e-02 -4.22000233e+00],[ 0.65241754  0.57814288 -3.56758221],[6.75202219 6.67774753 2.53202244],[4.65334602]
181.4,[-2.23440970e-06 -7.42768932e-02 -4.22000198e+00],[ 0.65241695  0.57814229 -3.5675828 ],[6.75202226 6.6777476  2.53202251],[4.65334377]
181.468,[-1.89439705e-06 -7.42765532e-02 -4.22000164e+00],[ 0.65241661  0.57814195 -3.56758314],[6.7520223  6.67774764 2.53202255],[4.65334214]
181.539,[-1.63819395e-06 -7.42762970e-02 -4.22000139e+00],[ 0.65061806  0.5763434  -3.56938169],[6.86547645 6.79120179 2.6454767 ],[4.65334122]
181.607,[-0.0129843  -0.08725896 -4.23298405],[ 0.66193079  0.58765613 -3.55806896],[6.98485011 6.91057545 2.76485036],[4.69112116]
181.683,[-1.02626047e-06 -7.42756851e-02 -4.22000077e+00],[ 0.67344036  0.5991657  -3.54655939],[7.10629811 7.03202345 2.88629836],[4.68655491]
181.76,[ 7.11414458e-04 -7.35632444e-02 -4.21928833e+00],[ 0.66891335  0.59463869 -3.55108639],[7.10682264 7.03254798 2.88682289],[4.67437096]
181.825,[ 0.01496377 -0.05931089 -4.20503598],[ 0.57768847  0.50341381 -3.64231128],[7.24483378 7.17055913 3.02483404],[4.40554517]
181.899,[ 0.04620688 -0.02806778 -4.17379287],[ 0.38823161  0.31395695 -3.83176814],[7.26597815 7.19170349 3.0459784 ],[3.66029927]
181.969,[ 0.08299252  0.00871786 -4.13700723],[ 0.26805454  0.19377988 -3.95194521],[7.27942106 7.2051464  3.05942132],[3.0996073]
182.037,[ 0.12523193  0.05095727 -4.09476782],[ 0.24289122  0.16861656 -3.97710853],[7.28225396 7.2079793  3.06225421],[2.87790131]
182.117,[ 0.15644656  0.0821719  -4.06355319],[ 0.25978044  0.18550578 -3.96021931],[7.40887775 7.33460309 3.18887801],[2.86875386]
182.195,[ 0.10977425  0.03549959 -4.1102255 ],[ 0.28623681  0.21196215 -3.93376294],[7.4060009  7.33172624 3.18600115],[3.10502608]
182.276,[ 0.03584159 -0.03843307 -4.18415816],[ 0.34041112  0.26613646 -3.87958863],[7.40012905 7.32585439 3.1801293 ],[3.55248708]
182.371,[-0.06058475 -0.13485941 -4.2805845 ],[ 0.4466326   0.37235794 -3.77336715],[7.3886622  7.31438754 3.16866245],[4.25121164]
