timestamp,e_v_x,e_v_y,e_v_a,e_alpha
939.264,[ 1.23550053  1.16122588 -1.98449921],[ 0.123242    0.04896734 -3.09675775],[3.75837424 3.68409958 0.53837449],[2.92347419]
939.354,[ 1.23594498  1.16167033 -1.98405476],[ 0.123448    0.04917334 -3.09655175],[3.80709159 3.73281693 0.58709184],[2.92264096]
939.44,[ 1.23603764  1.16176298 -1.98396211],[ 0.12363539  0.04936073 -3.09636436],[3.85566811 3.78139345 0.63566837],[2.92328721]
939.525,[ 1.23553545  1.1612608  -1.98446429],[ 0.12379155  0.04951689 -3.0962082 ],[3.90105576 3.8267811  0.68105601],[2.92374322]
939.608,[ 1.23566184  1.16138719 -1.9843379 ],[ 0.12385043  0.04957577 -3.09614931],[3.9474931  3.87321844 0.72749335],[2.92295172]
939.689,[ 1.23618013  1.16190547 -1.98381962],[ 0.12417449  0.04989984 -3.09582525],[3.99693873 3.92266407 0.77693898],[2.92398783]
939.773,[ 1.2359991   1.16172445 -1.98400064],[ 0.12515437  0.05087971 -3.09484538],[4.18570593 4.11143127 0.96570618],[2.9236527]
939.854,[ 1.23519363  1.16091897 -1.98480612],[ 0.12516304  0.05088838 -3.09483671],[4.23114231 4.15686766 1.01114257],[2.92414263]
939.939,[ 1.23645692  1.16218226 -1.98354283],[ 0.12544631  0.05117165 -3.09455344],[4.2850845  4.21080984 1.06508475],[2.92271742]
940.025,[ 1.23589076  1.1616161  -1.98410899],[ 0.12523044  0.05095578 -3.0947693 ],[4.32860066 4.254326   1.10860091],[2.92369839]
940.112,[ 1.23552411  1.16124946 -1.98447563],[ 0.12609928  0.05182462 -3.09390046],[4.37589468 4.30162002 1.15589494],[2.92355289]
940.193,[ 1.23543994  1.16116528 -1.98455981],[ 0.12602737  0.05175272 -3.09397237],[4.42137816 4.3471035  1.20137841],[2.9233674]
940.282,[ 1.23639998  1.16212533 -1.98359976],[ 0.1265244   0.05224974 -3.09347535],[4.56749697 4.49322232 1.34749723],[2.92514454]
940.365,[ 1.23564526  1.16137061 -1.98435448],[ 0.12678648  0.05251182 -3.09321327],[4.6117218  4.53744714 1.39172205],[2.92524955]
940.451,[ 1.23596842  1.16169376 -1.98403133],[ 0.12739947  0.05312481 -3.09260028],[4.65980489 4.58553023 1.43980514],[2.92433879]
940.536,[ 1.23551753  1.16124287 -1.98448222],[ 0.12757181  0.05329716 -3.09242793],[4.70679573 4.63252107 1.48679599],[2.92363389]
940.631,[ 1.23588454  1.16160988 -1.98411521],[ 0.12745762  0.05318296 -3.09254213],[4.75356868 4.67929402 1.53356893],[2.92487051]
940.722,[ 1.23524285  1.16096819 -1.9847569 ],[ 0.12769781  0.05342315 -3.09230194],[4.80049495 4.72622029 1.5804952 ],[2.92474379]
