timestamp,e_v_x,e_v_y,e_v_a,e_alpha
145.741,[-1.18723727e-05 -7.42865312e-02 -2.22001162e+00],[ 0.63484398  0.56056932 -1.58515577],[4.92832998 4.85405532 2.70833023],[4.66381157]
145.789,[-1.11112829e-05 -7.42857701e-02 -2.22001086e+00],[ 0.63459205  0.56031739 -1.5854077 ],[4.94538047 4.87110581 2.72538072],[4.66376713]
145.84,[-0.00289591 -0.07717057 -2.22289566],[ 0.63701565  0.56274099 -1.58298409],[5.03011059 4.95583593 2.81011084],[4.67370801]
145.886,[-1.01938659e-05 -7.42848527e-02 -2.22000994e+00],[ 0.6321756   0.55790095 -1.58782414],[5.07381608 4.99954142 2.85381634],[4.65524937]
145.936,[-9.79155188e-06 -7.42844504e-02 -2.22000954e+00],[ 0.63211904  0.55784438 -1.58788071],[5.07606377 5.00178911 2.85606402],[4.65521179]
145.983,[ 0.00287585 -0.07139881 -2.2171239 ],[ 0.62547253  0.55119787 -1.59452722],[5.14174781 5.06747315 2.92174806],[4.63607854]
146.03,[ 1.01888666e-03 -7.32557721e-02 -2.21898086e+00],[ 0.61634102  0.54206636 -1.60365873],[5.1823787  5.10810404 2.96237895],[4.57918972]
146.084,[ 2.15706266e-03 -7.21175962e-02 -2.21784268e+00],[ 0.61289503  0.53862037 -1.60710471],[5.16222643 5.08795178 2.94222669],[4.54847577]
146.136,[ 0.0100294  -0.06424525 -2.20997034],[ 0.60481767  0.53054301 -1.61518208],[5.23731249 5.16303783 3.01731274],[4.46667216]
146.185,[ 0.00602716 -0.0682475  -2.21397258],[ 0.60426014  0.52998548 -1.61573961],[5.25114614 5.17687148 3.03114639],[4.4171365]
146.237,[ 0.00579771 -0.06847695 -2.21420204],[ 0.60646948  0.53219482 -1.61353027],[5.26026981 5.18599515 3.04027006],[4.36680616]
146.284,[-0.00370354 -0.0779782  -2.22370329],[ 0.61726253  0.54298787 -1.60273722],[5.25616039 5.18188573 3.03616064],[4.35105098]
146.331,[-0.00749475 -0.08176941 -2.2274945 ],[ 0.61695275  0.5426781  -1.60304699],[5.23703194 5.16275728 3.01703219],[4.3340257]
146.386,[-0.01202509 -0.08629974 -2.23202483],[ 0.61243903  0.53816437 -1.60756072],[5.21581149 5.14153683 2.99581175],[4.29932999]
146.433,[-0.01444697 -0.08872163 -2.23444672],[ 0.61410654  0.53983188 -1.6058932 ],[5.18832174 5.11404708 2.96832199],[4.304303]
146.485,[-0.02075586 -0.09503052 -2.2407556 ],[ 0.61473103  0.54045637 -1.60526872],[5.15337064 5.07909598 2.93337089],[4.32769545]
146.536,[-0.02210987 -0.09638453 -2.24210962],[ 0.61787426  0.5435996  -1.60212549],[5.11178078 5.03750612 2.89178103],[4.36841566]
146.59,[-0.02310781 -0.09738247 -2.24310755],[ 0.61799918  0.54372452 -1.60200057],[5.07286997 4.99859531 2.85287022],[4.42108696]
146.635,[-0.01924349 -0.09351815 -2.23924324],[ 0.60978368  0.53550903 -1.61021606],[5.02593235 4.95165769 2.8059326 ],[4.4577764]
146.685,[-0.01799306 -0.09226772 -2.2379928 ],[ 0.60706513  0.53279047 -1.61293462],[4.9811449  4.90687024 2.76114515],[4.49958014]
146.737,[-0.01453983 -0.08881449 -2.23453958],[ 0.60857194  0.53429728 -1.61142781],[4.92482159 4.85054693 2.70482184],[4.55849846]
146.786,[-0.01060776 -0.08488242 -2.23060751],[ 0.59816287  0.52388821 -1.62183688],[4.87592089 4.80164624 2.65592115],[4.58869704]
146.836,[-0.00967516 -0.08394981 -2.2296749 ],[ 0.5779924   0.50371775 -1.64200734],[4.83030934 4.75603468 2.6103096 ],[4.57809637]
146.888,[-0.01214932 -0.08642398 -2.23214906],[ 0.5596932   0.48541854 -1.66030655],[4.78799252 4.71371786 2.56799277],[4.57234808]
146.934,[-0.00734881 -0.08162347 -2.22734856],[ 0.53257368  0.45829902 -1.68742607],[4.74783951 4.67356485 2.52783977],[4.50606836]
146.992,[-0.00840407 -0.08267873 -2.22840382],[ 0.52579704  0.45152239 -1.6942027 ],[4.71403454 4.63975989 2.4940348 ],[4.50993018]
147.037,[-0.00551603 -0.07979069 -2.22551578],[ 0.50660184  0.43232718 -1.7133979 ],[4.67609684 4.60182218 2.45609709],[4.45141284]
147.086,[-1.20128857e-03 -7.54759474e-02 -2.22120104e+00],[ 0.49304232  0.41876766 -1.72695743],[4.64326535 4.56899069 2.4232656 ],[4.39253012]
147.134,[ 0.00267668 -0.07159798 -2.21732307],[ 0.47467918  0.40040452 -1.74532057],[4.60825953 4.53398487 2.38825978],[4.31080934]
147.186,[ 0.00249296 -0.0717817  -2.21750679],[ 0.46353589  0.38926123 -1.75646386],[4.5722441  4.49796944 2.35224435],[4.25990655]
147.234,[ 0.00408168 -0.07019298 -2.21591807],[ 0.45512968  0.38085503 -1.76487006],[4.54852122 4.47424656 2.32852147],[4.21309879]
147.286,[ 0.00661685 -0.06765781 -2.2133829 ],[ 0.44270411  0.36842945 -1.77729564],[4.51549178 4.44121712 2.29549203],[4.13844815]
147.337,[ 0.0076156  -0.06665906 -2.21238415],[ 0.43377897  0.35950431 -1.78622078],[4.48474038 4.41046573 2.26474064],[4.08393926]
147.391,[ 0.00867353 -0.06560113 -2.21132622],[ 0.42688043  0.35260577 -1.79311932],[4.45035062 4.37607596 2.23035087],[4.02797144]
147.438,[ 0.00935971 -0.06491495 -2.21064004],[ 0.4240803   0.34980564 -1.79591945],[4.42547579 4.35120113 2.20547604],[3.98918463]
147.488,[ 0.00697844 -0.06729622 -2.2130213 ],[ 0.42337343  0.34909877 -1.79662632],[4.3962269  4.32195224 2.17622715],[3.9659965]
147.535,[ 0.00595918 -0.06831548 -2.21404057],[ 0.42325058  0.34897592 -1.79674917],[4.36851937 4.29424471 2.14851962],[3.93369346]
147.585,[-1.87288937e-03 -7.61475482e-02 -2.22187264e+00],[ 0.43472521  0.36045055 -1.78527453],[4.34512233 4.27084767 2.12512258],[3.9769128]
147.641,[-1.69486722e-03 -7.59695260e-02 -2.22169461e+00],[ 0.43134021  0.35706555 -1.78865953],[4.32079609 4.24652143 2.10079634],[3.91462613]
147.685,[-0.01146633 -0.08574098 -2.23146607],[ 0.44279001  0.36851535 -1.77720974],[4.29519595 4.22092129 2.0751962 ],[3.97518193]
147.739,[-0.01405206 -0.08832672 -2.23405181],[ 0.44175419  0.36747953 -1.77824556],[4.27573706 4.2014624  2.05573731],[3.94183719]
147.784,[-0.01741736 -0.09169202 -2.23741711],[ 0.44463637  0.37036171 -1.77536338],[4.25274048 4.17846582 2.03274073],[3.93610831]
147.837,[-0.01392441 -0.08819907 -2.23392416],[ 0.43695606  0.3626814  -1.78304369],[4.23597105 4.16169639 2.0159713 ],[3.83094086]
147.885,[-0.01762637 -0.09190103 -2.23762612],[ 0.4393978   0.36512314 -1.78060194],[4.20773755 4.13346289 1.9877378 ],[3.80496714]
147.937,[-0.02202345 -0.09629811 -2.2420232 ],[ 0.44337044  0.36909578 -1.77662931],[4.19641034 4.12213568 1.97641059],[3.78461448]
