timestamp,e_v_x,e_v_y,e_v_a,e_alpha
383.443,[-0.00618287 -0.08045752 -3.22618261],[ 0.6641169   0.58984224 -2.55588285],[6.05544947 5.98117481 2.83544972],[4.67125713]
383.494,[-0.01130643 -0.08558109 -3.23130618],[ 0.66884381  0.59456915 -2.55115594],[6.09867603 6.02440137 2.87867628],[4.71382398]
383.54,[-0.01127595 -0.08555061 -3.2312757 ],[ 0.66263703  0.58836237 -2.55736272],[6.08145099 6.00717633 2.86145125],[4.72451235]
383.592,[-0.01137701 -0.08565167 -3.23137676],[ 0.65471144  0.58043678 -2.56528831],[6.13500572 6.06073106 2.91500597],[4.71737776]
383.641,[-0.00740072 -0.08167538 -3.22740047],[ 0.65171882  0.57744416 -2.56828092],[6.13939858 6.06512392 2.91939883],[4.68557327]
383.692,[-2.07332484e-03 -7.63479836e-02 -3.22207307e+00],[ 0.6537217   0.57944704 -2.56627805],[6.18921844 6.11494378 2.96921869],[4.66964962]
383.747,[ 0.00450006 -0.0697746  -3.21549969],[ 0.64603715  0.57176249 -2.5739626 ],[6.25765884 6.18338418 3.03765909],[4.63992266]
383.802,[-0.00393262 -0.07820728 -3.22393237],[ 0.64374178  0.56946712 -2.57625797],[6.31363326 6.2393586  3.09363351],[4.61593091]
383.843,[ 1.19441544e-04 -7.41552173e-02 -3.21988031e+00],[ 0.64284629  0.56857163 -2.57715346],[6.33087196 6.2565973  3.11087222],[4.5570957]
383.891,[-0.00529385 -0.07956851 -3.2252936 ],[ 0.64715868  0.57288403 -2.57284106],[6.37569428 6.30141962 3.15569453],[4.59972151]
383.944,[-8.85584291e-04 -7.51602431e-02 -3.22088533e+00],[ 0.64700122  0.57272656 -2.57299852],[6.37192763 6.29765298 3.15192789],[4.53150586]
383.994,[-0.00372639 -0.07800105 -3.22372614],[ 0.65526602  0.58099136 -2.56473373],[6.39288009 6.31860543 3.17288035],[4.54613566]
384.043,[-0.00352607 -0.07780073 -3.22352582],[ 0.65709282  0.58281816 -2.56290693],[6.37546103 6.30118637 3.15546129],[4.51259335]
384.097,[-0.00864488 -0.08291954 -3.22864463],[ 0.66027973  0.58600508 -2.55972001],[6.38081019 6.30653553 3.16081044],[4.55745074]
384.147,[-0.01346803 -0.08774269 -3.23346778],[ 0.66238583  0.58811117 -2.55761392],[6.37778266 6.303508   3.15778291],[4.58342985]
