timestamp,e_v_x,e_v_y,e_v_a,e_alpha
27.698,[-5.46587515e-05 -7.43293176e-02 -2.22005441e+00],[ 0.63460704  0.56033238 -1.58539271],[4.94537837 4.87110371 2.72537862],[4.6638977]
27.746,[-5.12279596e-05 -7.43258868e-02 -2.22005098e+00],[ 0.61763173  0.54335707 -1.60236801],[4.88395483 4.80968018 2.66395509],[4.63111459]
27.794,[-5.01478425e-05 -7.43248067e-02 -2.22004990e+00],[ 0.63219222  0.55791756 -1.58780753],[5.07381379 4.99953914 2.85381405],[4.65537872]
27.845,[-4.77151132e-05 -7.43223739e-02 -2.22004746e+00],[ 0.63217547  0.55790081 -1.58782428],[5.0738161  4.99954144 2.85381635],[4.6553348]
27.897,[-4.64491831e-05 -7.43211080e-02 -2.22004620e+00],[ 0.63097549  0.55670083 -1.58902426],[5.14101384 5.06673919 2.9210141 ],[4.65529379]
27.951,[ 2.70822489e-04 -7.40038363e-02 -2.21972893e+00],[ 0.63039601  0.55612136 -1.58960373],[5.14109112 5.06681646 2.92109137],[4.65326649]
27.996,[ 0.00882725 -0.06544741 -2.2111725 ],[ 0.61303355  0.53875889 -1.6069662 ],[5.14340811 5.06913345 2.92340836],[4.59281489]
28.049,[ 0.01258902 -0.06168564 -2.20741073],[ 0.59073835  0.51646369 -1.6292614 ],[5.22018559 5.14591094 3.00018585],[4.5032839]
28.095,[-6.30364099e-04 -7.49050229e-02 -2.22063011e+00],[ 0.61035514  0.53608048 -1.60964461],[5.3006877  5.22641304 3.08068795],[4.52830354]
28.146,[ 1.82323769e-03 -7.24514211e-02 -2.21817651e+00],[ 0.61290836  0.53863371 -1.60709138],[5.31347376 5.2391991  3.09347401],[4.48094939]
28.194,[ 0.00366746 -0.0706072  -2.21633229],[ 0.60935773  0.53508307 -1.61064202],[5.29158592 5.21731126 3.07158617],[4.44131199]
28.246,[ 2.01660156e-03 -7.22580573e-02 -2.21798315e+00],[ 0.60431824  0.53004358 -1.61568151],[5.29751601 5.22324135 3.07751626],[4.3728464]
28.297,[-0.00508402 -0.07935868 -2.22508377],[ 0.6092431   0.53496845 -1.61075664],[5.29171362 5.21743896 3.07171387],[4.32591425]
28.35,[-0.0094538  -0.08372846 -2.22945355],[ 0.60373889  0.52946423 -1.61626085],[5.26559292 5.19131826 3.04559317],[4.28847975]
28.396,[-0.01155296 -0.08582762 -2.23155271],[ 0.60820122  0.53392656 -1.61179853],[5.24090642 5.16663176 3.02090667],[4.28235877]
28.448,[-0.01854914 -0.09282379 -2.23854888],[ 0.60957491  0.53530025 -1.61042484],[5.21991774 5.14564308 2.99991799],[4.28261208]
28.502,[-0.0238232  -0.09809786 -2.24382295],[ 0.61384037  0.53956571 -1.60615938],[5.18104614 5.10677149 2.9610464 ],[4.32215621]
